img,sample,blinded_name,n_acidic,mito_mass,mito_number,acidic_normalized_neutral_mass,acidic_normalized_neutral_numbers
241206_MS3_mtkeima_TSB_006,TSB,A_30,6,89166,993,6.729022273063724e-05,0.006042296072507553
241206_MS3_mtkeima_1229_006,1229,A_20,3,120713,1379,2.4852335705350707e-05,0.002175489485134155
241206_MS3_mtkeima_Control_006,control,A_17,3,97052,1150,3.091126406462515e-05,0.0026086956521739132
241206_MS3_mtkeima_Control_002,control,A_28,18,97127,1132,0.0001853243691249601,0.015901060070671377
241206_MS3_mtkeima_Control_003,control,A_13,9,85877,994,0.00010480105266835125,0.009054325955734407
241206_MS3_mtkeima_TSB_002,TSB,A_25,12,113023,1313,0.00010617307981561275,0.00913937547600914
241206_MS3_mtkeima_TSB_004,TSB,A_12,9,113666,1413,7.917935002551334e-05,0.006369426751592357
241206_MS3_mtkeima_1229_008,1229,A_7,8,112924,1306,7.084410754135524e-05,0.006125574272588055
241206_MS3_mtkeima_1229_009,1229,A_4,2,135132,1547,1.4800343367966137e-05,0.001292824822236587
241206_MS3_mtkeima_TSB_007,TSB,A_14,8,96423,1101,8.296775665556972e-05,0.007266121707538601
241206_MS3_mtkeima_TSB_008,TSB,A_16,12,95566,1101,0.0001255676705104326,0.010899182561307902
241206_MS3_mtkeima_Control_005,control,A_11,8,113319,1263,7.059716375894598e-05,0.006334125098970704
241206_MS3_mtkeima_Control_010,control,A_3,14,139491,1573,0.00010036489809378383,0.008900190718372537
241206_MS3_mtkeima_TSB_005,TSB,A_23,6,90467,1182,6.632252644610742e-05,0.005076142131979695
241206_MS3_mtkeima_TSB_009,TSB,A_9,9,85086,985,0.00010577533319229955,0.009137055837563452
241206_MS3_mtkeima_1229_010,1229,A_21,0,133903,1586,0.0,0.0
241206_MS3_mtkeima_Control_008,control,A_26,10,130788,1426,7.645961403186837e-05,0.0070126227208976155
241206_MS3_mtkeima_Control_009,control,A_18,5,100521,1148,4.974085017061112e-05,0.004355400696864111
241206_MS3_mtkeima_TSB,TSB,A_8,6,97757,1278,6.137667890790429e-05,0.004694835680751174
241206_MS3_mtkeima_1229_003,1229,A_15,0,194947,2124,0.0,0.0
241206_MS3_mtkeima_TSB001,TSB,A_27,18,148109,1766,0.0001215321148613521,0.010192525481313703
241206_MS3_mtkeima_1229_001,1229,A_2,10,107326,1313,9.317406779345173e-05,0.007616146230007616
241206_MS3_mtkeima_1229_002,1229,A_1,10,106187,1286,9.417348639663989e-05,0.007776049766718507
241206_MS3_mtkeima_TSB_003,TSB,A_19,5,87107,1095,5.7400668143777195e-05,0.0045662100456621
