Day,file_name,Differentiation,condition,series,input
~day40,2023_05_22_0002.abf,M1,pLNA1229,13.93212187,1284.59071
~day40,2023_05_22_0004.abf,M1,pLNA1229,14.6571764,1457.978121
~day40,2023_05_22_0006.abf,M1,pLNA1229,13.5398399,1293.383755
~day40,2023_05_22_0009.abf,M1,pLNA1229,14.36930534,1076.76127
~day40,2023_05_22_0011.abf,M1,pLNA1229,10.66088245,803.7160852
~day40,2023_05_22_0013.abf,M1,pLNA1229,13.19062817,1416.627043
~day40,2023_05_22_0017.abf,M1,pLNA Ctrl,13.82603653,1434.195824
~day40,2023_05_22_0020.abf,M1,pLNA Ctrl,10.33914059,689.9609827
~day40,2023_05_22_0022.abf,M1,pLNA Ctrl,13.99247715,1443.735222
~day40,2023_05_22_0025.abf,M1,pLNA1229,11.87026993,480.2922722
~day40,2023_05_22_0027.abf,M1,pLNA1229,12.44242146,593.0669824
~day40,2023_05_23_0000.abf,M1,pLNA1229,11.00375957,419.6873218
~day40,2023_05_23_0004.abf,M1,pLNA1229,19.48417183,751.1987546
~day40,2023_05_23_0007.abf,M1,pLNA1229,16.73987881,477.0707652
~day40,2023_05_23_0009.abf,M1,pLNA1229,11.19273228,700.712605
~day40,2023_05_23_0016.abf,M1,pLNA Ctrl,15.23303235,1016.233294
~day40,2023_05_23_0018.abf,M1,pLNA Ctrl,13.07067123,1457.452993
~day40,2023_05_23_0020.abf,M1,pLNA Ctrl,14.59309479,1390.637793
~day40,2023_05_23_0025.abf,M1,pLNA Ctrl,12.36930714,911.9668872
~day40,2023_05_31_0000.abf,M2,pLNA Ctrl,14.41295231,382.381225
~day40,2023_05_31_0005.abf,M2,pLNA Ctrl,15.1361356,827.0927658
~day40,2023_05_31_0009.abf,M2,pLNA1229,15.84411404,476.7071644
~day40,2023_05_31_0011.abf,M2,pLNA1229,15.59811409,390.0272389
~day40,2023_05_31_0015.abf,M2,pLNA1229,12.01071514,730.9502996
~day40,2023_05_31_0017.abf,M2,pLNA1229,9.872326851,594.6736323
~day40,2023_05_31_0019.abf,M2,pLNA1229,13.15240196,784.816788
~day40,2023_05_31_0021.abf,M2,pLNA1229,16.03009338,668.0235171
~day40,2023_06_05_0008.abf,M3,pLNA Ctrl,19.85144528,740.7034607
~day40,2023_06_05_0010.abf,M3,pLNA Ctrl,16.72889946,548.0913251
~day40,2023_06_06_0011.abf,M3,pLNA1229,12.21174217,502.5922812
~day40,2023_06_06_0014.abf,M3,pLNA1229,14.54074154,952.0898119
~day40,2023_06_06_0016.abf,M3,pLNA1229,17.46986008,760.8843413
~day40,2023_06_05_0001.abf,M3,pLNA Ctrl,15.84614857,802.7446109
~day40,2023_06_05_0003.abf,M3,pLNA Ctrl,16.17033436,1058.465845
~day40,2023_06_06_0002.abf,M3,pLNA Ctrl,18.06418671,989.4147631
~day40,2023_06_06_0008.abf,M3,pLNA Ctrl,13.3222438,1014.99939
