"Table.ID","Cell.Trace","Peak.Time[Frame]","Peak.Intensity[df/F]","Table","Peak.Start[Frame]","Peak.Stop[Frame]","Start.Intensity[df/F]","Stop.Intensity[df/F]","Peak.Duration[s]","Duration.To.Peak[s]","Time.To.Decay[s]","Baseline.Intensity[df/F]","Amplitude","Peak.Time[s]","Peak.Start[s]","Peak.Stop[s]"
"1","Mean1",112,0.117301637836499,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",109,117,0.000419439769965072,0.00904069576466896,3.176,1.191,1.985,0.00473006776731701,6.39675914269701,44.464,43.273,46.449
"1","Mean1",134,0.115896767281677,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",133,138,0.00284006205687191,0.0181016054941556,1.985,0.397,1.588,0.0104708337755138,5.99071598289392,53.198,52.801,54.786
"1","Mean1",153,0.108200300177378,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",152,157,0.00578624742903626,0.0187383453859098,1.985,0.397,1.588,0.0122622964074731,5.45157451717236,60.741,60.344,62.329
"1","Mean1",190,0.111065629690271,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",188,193,0.00166765209745159,0.0133108958323857,1.985,0.794,1.191,0.00748927396491866,5.88561570249227,75.43,74.636,76.621
"1","Mean1",212,0.127383352789274,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",209,220,0.00481092362658742,0.00782785787561326,4.367,1.191,3.176,0.00631939075110034,6.87933023891277,84.164,82.973,87.34
"1","Mean1",231,0.105966657065033,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",226,235,5.05349120440832e-05,0.00948034949945158,3.573,1.985,1.588,0.00476544220574783,5.75065086153934,91.707,89.722,93.295
"1","Mean1",254,0.0870514394869696,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",253,258,0.00615009879575297,0.00329992975647236,1.985,0.397,1.588,0.00472501427611266,4.6781111148176,100.838,100.441,102.426
"1","Mean1",281,0.110302552518407,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",278,285,0.000742863207046688,0.00894467943178536,2.779,1.191,1.588,0.00484377131941602,5.99258251792838,111.557,110.366,113.145
"1","Mean1",322,0.12486166067828,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",321,327,0.00333530419490303,0.0036890485792109,2.382,0.397,1.985,0.00351217638705696,6.89555473575073,127.834,127.437,129.819
"1","Mean1",34,0.132790588377981,"M2_2_tif_clean_M2_MA_1229_Day37_CS1.czi #1_1_1.csv",33,39,0.0332115441953073,0.0264297589990044,2.382,0.397,1.985,0.0298206515971559,5.85115659416386,13.498,13.101,15.483
