"Table.ID","Cell.Trace","Peak.Time[Frame]","Peak.Intensity[df/F]","Table","Peak.Start[Frame]","Peak.Stop[Frame]","Start.Intensity[df/F]","Stop.Intensity[df/F]","Peak.Duration[s]","Duration.To.Peak[s]","Time.To.Decay[s]","Baseline.Intensity[df/F]","Amplitude","Peak.Time[s]","Peak.Start[s]","Peak.Stop[s]"
"1","Mean2",31,0.0772549825354428,"TIFF_LV16_CA imaging_LV16_DAY15_CS1_1_200820.csv",29,32,0.00804250198127333,0.0194213703562378,1.473,0.982,0.491,0.0137319361687556,3.58311311796642,15.221,14.239,15.712
"1","Mean7",13,0.0767296493871402,"TIFF_LV16_CA imaging_LV16_DAY15_CS1_1_200820.csv",12,17,0.0243820499246652,0.0190678828847172,2.455,0.491,1.964,0.0217249664046912,3.10262199968033,6.383,5.892,8.347
"2","Mean7",7,0.0959967867184362,"TIFF_LV16_CA imaging_LV16_DAY15_CS1_2_200820.csv",6,9,0.0674597861637626,0.0383489853298394,1.473,0.491,0.982,0.052904385746801,1.09666458177247,3.437,2.946,4.419
"2","Mean9",22,0.0920902140979592,"TIFF_LV16_CA imaging_LV16_DAY15_CS1_2_200820.csv",21,23,0.0241888556694824,0.0271786022433131,0.982,0.491,0.491,0.0256837289563977,1.68998799353711,10.802,10.311,11.293
"3","Mean5",6,0.0844067729945525,"TIFF_LV16_CA imaging_LV16_DAY15_CS1_3_200820.csv",5,7,0.00327440067651294,0.0357922476351551,0.982,0.491,0.491,0.019533324155834,3.32116788321167,2.946,2.455,3.437
"4",NA,NA,NA,"TIFF_LV16_CA imaging_LV16_DAY15_CS1_4_200820.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Mean2",18,0.0753081664098613,"TIFF_LV16_CA imaging_LV16_DAY15_CS1_5_200820.csv",16,19,0.0191488930338173,0.0425756224150515,1.473,0.982,0.491,0.0308622577244344,1.44013795368697,8.838,7.856,9.329
"6","Mean6",306,0.0880710077282118,"TIFF_LV16_CA imaging_LV16_DAY15_CS2_1_200820.csv",302,308,0.0100783752172534,0.0620880382147502,2.946,1.964,0.982,0.0360832067160018,1.44077552256892,150.246,148.282,151.228
"7","Mean1",8,0.0991869918699188,"TIFF_LV16_CA imaging_LV16_DAY15_CS2_2_200820.csv",6,12,0.0160646290007203,0.0509519398991458,2.946,0.982,1.964,0.033508284449933,2.17304824226781,3.928,2.946,5.892
"7","Mean11",34,0.0859768604257523,"TIFF_LV16_CA imaging_LV16_DAY15_CS2_2_200820.csv",33,36,0.045482605492164,0.0312643128820917,1.473,0.491,0.982,0.0383734591871279,1.57500796606853,16.694,16.203,17.676
"7","Mean9",36,0.0754856057224131,"TIFF_LV16_CA imaging_LV16_DAY15_CS2_2_200820.csv",35,38,0.0200990417657258,0.0174828441805178,1.473,0.491,0.982,0.0187909429731218,1.87580179441571,17.676,17.185,18.658
"8","Mean1",34,0.113162268578183,"TIFF_LV16_CA imaging_LV16_DAY15_CS2_3_200820.csv",33,35,0.0578610091457725,0.0818586627085352,0.982,0.491,0.491,0.0698598359271538,0.757241942064462,16.694,16.203,17.185
