"","Mimic","Reporter","Replicate","Fluc","Rluc","Condition","Fluc_Rluc_ratio"
"1","cntrl_mimic","SYNJ2BP_3'UTR","N1",187400,124400,"SYNJ2BP_3'UTR x cntrl_mimic",1.5064308681672
"2","cntrl_mimic","SYNJ2BP_3'UTR","N1",176100,133200,"SYNJ2BP_3'UTR x cntrl_mimic",1.32207207207207
"3","cntrl_mimic","SYNJ2BP_3'UTR","N1",169100,121100,"SYNJ2BP_3'UTR x cntrl_mimic",1.39636663914121
"4","cntrl_mimic","SYNJ2BP_3'UTR_mut","N1",197500,142000,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.39084507042254
"5","cntrl_mimic","SYNJ2BP_3'UTR_mut","N1",215200,155400,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.38481338481338
"6","cntrl_mimic","SYNJ2BP_3'UTR_mut","N1",174800,109800,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.591985428051
"7","1229_mimic","SYNJ2BP_3'UTR","N1",124600,156300,"SYNJ2BP_3'UTR x 1229_mimic",0.797184900831734
"8","1229_mimic","SYNJ2BP_3'UTR","N1",134400,166200,"SYNJ2BP_3'UTR x 1229_mimic",0.808664259927798
"9","1229_mimic","SYNJ2BP_3'UTR","N1",96650,133400,"SYNJ2BP_3'UTR x 1229_mimic",0.724512743628186
"10","1229_mimic","SYNJ2BP_3'UTR_mut","N1",97840,69710,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.4035289054655
"11","1229_mimic","SYNJ2BP_3'UTR_mut","N1",86480,80790,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.07042950860255
"12","1229_mimic","SYNJ2BP_3'UTR_mut","N1",104000,79010,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.31628907733198
"13","cntrl_mimic","SYNJ2BP_3'UTR","N2",235300,174300,"SYNJ2BP_3'UTR x cntrl_mimic",1.34997131382674
"14","cntrl_mimic","SYNJ2BP_3'UTR","N2",208700,179300,"SYNJ2BP_3'UTR x cntrl_mimic",1.16397099832683
"15","cntrl_mimic","SYNJ2BP_3'UTR","N2",121400,108300,"SYNJ2BP_3'UTR x cntrl_mimic",1.12096029547553
"16","cntrl_mimic","SYNJ2BP_3'UTR_mut","N2",85370,62090,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.37493960380093
"17","cntrl_mimic","SYNJ2BP_3'UTR_mut","N2",130400,107400,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.21415270018622
"18","cntrl_mimic","SYNJ2BP_3'UTR_mut","N2",131000,106100,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.23468426013195
"19","1229_mimic","SYNJ2BP_3'UTR","N2",125600,117300,"SYNJ2BP_3'UTR x 1229_mimic",1.07075873827792
"20","1229_mimic","SYNJ2BP_3'UTR","N2",94700,105700,"SYNJ2BP_3'UTR x 1229_mimic",0.89593188268685
"21","1229_mimic","SYNJ2BP_3'UTR","N2",74800,69390,"SYNJ2BP_3'UTR x 1229_mimic",1.07796512465773
"22","1229_mimic","SYNJ2BP_3'UTR_mut","N2",65150,57760,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.1279432132964
"23","1229_mimic","SYNJ2BP_3'UTR_mut","N2",57510,49140,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.17032967032967
"24","1229_mimic","SYNJ2BP_3'UTR_mut","N2",60600,44290,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.36825468503048
"25","cntrl_mimic","SYNJ2BP_3'UTR","N3",343100,280000,"SYNJ2BP_3'UTR x cntrl_mimic",1.22535714285714
"26","cntrl_mimic","SYNJ2BP_3'UTR","N3",312900,242400,"SYNJ2BP_3'UTR x cntrl_mimic",1.29084158415842
"27","cntrl_mimic","SYNJ2BP_3'UTR","N3",250200,240500,"SYNJ2BP_3'UTR x cntrl_mimic",1.04033264033264
"28","cntrl_mimic","SYNJ2BP_3'UTR_mut","N3",171800,108200,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.58780036968577
"29","cntrl_mimic","SYNJ2BP_3'UTR_mut","N3",162500,120600,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.34742951907131
"30","cntrl_mimic","SYNJ2BP_3'UTR_mut","N3",193900,149300,"SYNJ2BP_3'UTR_mut x cntrl_mimic",1.2987273945077
"31","1229_mimic","SYNJ2BP_3'UTR","N3",215200,213700,"SYNJ2BP_3'UTR x 1229_mimic",1.00701918577445
"32","1229_mimic","SYNJ2BP_3'UTR","N3",165800,174600,"SYNJ2BP_3'UTR x 1229_mimic",0.949599083619702
"33","1229_mimic","SYNJ2BP_3'UTR","N3",169100,179400,"SYNJ2BP_3'UTR x 1229_mimic",0.942586399108138
"34","1229_mimic","SYNJ2BP_3'UTR_mut","N3",183100,128500,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.42490272373541
"35","1229_mimic","SYNJ2BP_3'UTR_mut","N3",170100,134800,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.26186943620178
"36","1229_mimic","SYNJ2BP_3'UTR_mut","N3",275700,152300,"SYNJ2BP_3'UTR_mut x 1229_mimic",1.81024294156271
