"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","AveExpr","PValue","FDR","GeneName"
"A0A024QZX5.SERPINB6",-0.4420587414437,-0.174750599037196,0.0456487987836447,0.335744389616074,0.585145735323833,0.698764292380755,15.5181349921984,3.93742254393171e-05,6.57895879277524e-05,"SERPINB6"
"A0A024R4E5.HDLBP",-0.663429299053214,-0.783726456346836,-0.830144211771289,-0.773556941819539,-0.902262131268581,-0.943674983527956,16.3283767781295,3.33701059078192e-08,9.05088953127578e-08,"HDLBP"
"A0A024R4K9.TMEM120A",0.672335551660907,0.526724705448779,0.657608120865017,0.892970843936921,0.795926169563071,0.920374779186224,13.4599229976223,0.0505628631247202,0.0565124615807345,"TMEM120A"
"A0A024RA52.PSMA2",0.14855978436485,0.149491394139029,0.110973532114914,0.100939412680932,0.0587612568754071,-0.0399472471653839,17.4147193433703,0.345237234211596,0.357831488515636,"PSMA2"
"A0A024RCM4.BAG6",-0.504187421917714,-0.444984706665552,-0.496088169216909,-0.565376033821151,-0.758983126121709,-0.791240507702744,16.8301424619725,1.79377613784867e-06,3.65526323403073e-06,"BAG6"
"A0A024RCX6.PPT2",1.41881495292292,1.07999720935644,0.981207080842286,1.2366705794165,0.875716922343616,0.906235531834363,14.2689185589264,0.000621645054561313,0.000882924065654065,"PPT2;PPT2;PPT2;PPT2;PPT2;PPT2;;;PPT2;PPT2;PPT2;PPT2"
"A0A067XG54.ATP11C",0.128910772700039,0.383509151227232,0.483747713833541,0.0617339329291494,0.0149176722147271,-0.222689336203463,13.5276960083224,0.00158527939127626,0.00212970549495803,"ATP11C"
"A0A075B6F6.HM13",-0.775697915672066,-1.03224180900799,-1.15341590519399,-1.07343019099499,-0.931631359111503,-0.86065243824625,15.1141869759786,6.94542849447691e-09,2.14352004703294e-08,"HM13"
"A0A075B6G3.DMD",-2.12761198383584,-0.516432744086275,-0.48567386640977,-0.0529835719822879,0.181076830328634,0.310499568066989,12.9862509345462,1.22221547916497e-05,2.18715797625157e-05,"DMD"
"A0A075B6P0.NDUFAF6",-0.249736412253461,-0.132597709576206,0.204961661502165,0.548251749971887,0.657408518469366,1.08398625723604,12.0358471041472,0.00529833897576726,0.00665554389858838,"NDUFAF6"
"A0A075B730.EPPK1",-0.872574879495938,-1.18755466472648,-1.11313887417272,-0.854459728561257,-0.416232030666858,-0.148435359167184,14.9204406761119,0.0112479957828641,0.0135814569769606,"EPPK1"
"A0A075B749.PDE4DIP",1.54591923973081,1.76287583207962,1.69345713814935,1.66185862550502,1.46872753172169,1.3756481518522,14.1091217059203,9.17010887043374e-12,6.60778256536928e-11,"PDE4DIP"
"A0A075B763.RASSF5",0.302179531000348,0.972690870739207,1.25090172495273,1.83628183690533,2.17548825421824,2.67587640569698,12.6073602902935,9.39516440996145e-07,1.99285772913328e-06,"RASSF5"
"A0A087WT20.DCAF13",-2.13908793815508,-3.04957439612438,-3.2669000146006,-2.62396869082,-2.65653312196114,-3.01332471227113,12.4364425694466,2.12082086519985e-05,3.67246125762219e-05,"DCAF13"
"A0A087WT38.RCC1L",-2.31630450105095,-2.43236892946276,-2.67224385852412,-2.7062667121938,-2.6855485218999,-2.86723016644297,12.1637218250276,1.21838468027418e-08,3.58433058983477e-08,"RCC1L"
"A0A087WT44.HMOX2",0.519690116076169,0.303006300331524,0.800530664750727,1.07142213219076,1.26884963879899,1.49363917606544,14.6195738413122,1.96208530100155e-09,7.00296891453887e-09,"HMOX2"
"A0A087WT67.ZNF195",-0.940834403931547,-1.26291446604438,-1.13243246008179,-1.51114607234465,-0.976984595449739,-1.55266821732513,12.0318586173898,0.0105707794744052,0.0128091113795729,"ZNF195"
"A0A087WTA1.CNTNAP4",1.91202242676492,3.86624983461458,3.81411697539858,3.59400579080873,3.47539311083799,3.28332056735015,14.6244692692891,1.33583871766017e-08,3.90503755099395e-08,"CNTNAP4"
"A0A087WTN6.ADAP1",2.17082279962041,2.83004948118583,3.17999625325487,3.43777447993961,3.46577775842252,3.54903579602054,15.1909388897029,5.26007333914828e-10,2.14576543394223e-09,"ADAP1"
"A0A087WTT2.TMEM230",-0.285056508731332,-0.600361140331468,-0.581229585634595,-0.773451684600704,-0.844819558285842,-0.948635506720304,15.349540033719,7.19638708181889e-06,1.33653083474836e-05,"TMEM230"
"A0A087WTU1.LRRC41",-0.800290453757042,-0.681422579621843,-0.531779039346246,-0.787023065388597,-0.679243064488142,-0.642896253711294,12.1584809863184,0.0337269908288373,0.0385808664293145,"LRRC41"
"A0A087WTU9.ALMS1",-2.19957325239383,-2.38835238125721,-2.07481083475904,-2.55477904263296,-2.21488720956541,-2.01863768046181,12.0367161815235,0.00021079283918951,0.00031778357278791,"ALMS1"
"A0A087WTW0.UHRF1",-2.08285327369659,-2.78896781146812,-2.32014227286026,-3.04260870028322,-2.68606016619493,-1.60304019039939,11.9689571434789,0.0373336489263965,0.0424547489180344,"UHRF1"
"A0A087WU13.CD9",-1.28709393019906,-1.54921372068628,-1.47306396068873,-2.43613159786283,-2.12516628591185,-1.88834777447503,13.8099649195363,2.01617139483126e-08,5.70089842676426e-08,"CD9"
"A0A087WU53.MAGT1",-1.54788494489256,-4.19353112856481,-4.47383987236413,-4.45965071898159,-4.95970577431974,-4.54136289773365,12.5335366431264,7.81528921848543e-11,4.11605232173566e-10,"MAGT1"
"A0A087WUH1.TRIM46",1.70333301139184,2.58743213573846,2.79728142431895,2.82148437345003,2.67163213923512,2.54024556762308,15.9924094326351,9.18067807991375e-14,1.44701782485842e-12,"TRIM46"
"A0A087WUK2.HNRNPDL",0.77810836929241,0.924968332388636,0.656060435810122,0.328124336765468,0.167133211574093,-0.370056093144302,16.440467546495,0.00116287358085758,0.00158959591829402,"HNRNPDL"
"A0A087WUL4.PEG10",0.829197696103936,0.304060496699776,0.0382346499023597,-0.033743152613194,-0.252295715777759,-0.191407118020051,14.6295236673285,5.43141057072456e-09,1.72220644528408e-08,"PEG10"
"A0A087WUY7.PIAS2",-1.72413434878168,-1.81482968678444,-1.31961827521587,-2.12759930113456,-1.20767303501812,-2.05664346584113,11.8810341730354,0.0051017811922952,0.00642483253570923,"PIAS2"
"A0A087WV05.MYCBP",-1.1524507284832,-2.48941730398571,-3.42273519706199,-4.0888007672823,-3.46926298937661,-3.97368072163591,13.0876897834831,3.03184741003474e-06,5.96788438839413e-06,NA
"A0A087WV25.CEP43",-1.64278711364403,-1.58481858057714,-1.38340822649412,-1.40757288129999,-1.67485307768934,-1.3850241548296,13.7227615516572,8.56565198602723e-09,2.60753259236299e-08,"CEP43;CEP43;CEP43;;CEP43;;CEP43;CEP43;CEP43"
"A0A087WV34.GLMP",-2.36071277315604,-2.09861757129358,-2.63007562988685,-2.44360361717444,-2.67078593649904,-2.58540550134068,11.9621860454584,0.00027935476617446,0.000414869366180227,"GLMP"
"A0A087WV97.SMAP2",1.58237567703841,1.95033040238772,2.0081883329042,2.10778327217829,2.07093395494505,2.28559402849018,15.5474735777916,1.13999805985631e-10,5.7425407711891e-10,"SMAP2"
"A0A087WVF4.CHD1",-1.81750384548303,-2.03868757166107,-1.45615426285166,-3.20286851795273,-3.06289543943291,-3.31708661534969,12.4962432388809,0.0509337194503231,0.0569171355182324,"CHD1"
"A0A087WVM4.MTHFD1L",-1.57923322654365,-1.64935441305135,-1.59259303506975,-1.51102445501646,-1.5375251361089,-1.57415329907869,15.9938369660629,3.27707244551491e-12,2.80843615159895e-11,"MTHFD1L"
"A0A087WVP4.SMTN",-1.05719732282484,-1.15987416327844,-0.243236752574251,-1.97947400980124,-1.92145498102795,-0.85017541485358,11.5742123468681,0.00553555064167924,0.00694543812837461,"SMTN"
"A0A087WVQ6.CLTC",0.822371170244489,1.08988187714043,1.26994753989949,1.48913738468098,1.49684495442807,1.57732363216807,20.7251656125352,2.23359466956655e-11,1.43972400691066e-10,"CLTC"
"A0A087WVQ9.EEF1A1",-1.17476464773107,-1.36245875865253,-1.47268297258362,-1.47296754711979,-1.8312099847342,-1.95099298464329,23.4898698533004,1.624290303591e-11,1.08812332850698e-10,"EEF1A1"
"A0A087WVZ6.ZMYND8",-0.274646254660721,-0.739556060785496,-0.715638718315486,-1.57764431700701,-1.19037767556726,-1.91461142738427,12.8032581133975,4.13943005487859e-06,8.00215693688556e-06,"ZMYND8"
"A0A087WW00.UBE2D1",0.492646331343461,0.255668747740582,-0.479952871990372,0.356393864912494,0.269296185636431,-0.143418346555394,16.0969082504664,0.599677330215326,0.60946183638765,"UBE2D1"
"A0A087WW06.TTC28",1.26963478633941,1.86288350904351,1.94888659119909,1.77837588201672,1.46371722492479,1.32733589390431,14.3173486204505,2.1738269477293e-09,7.67414221656154e-09,"TTC28"
"A0A087WW38.CRYL1",-0.776595029800713,-0.543141971476002,1.19216383661957,1.52681669582212,1.46960944882027,1.6300020171294,12.8750249769769,3.38444300234552e-06,6.62442845033003e-06,"CRYL1"
"A0A087WW40.SH3GLB1",2.01494472035566,2.20354440204181,2.47483099296139,2.70546821516417,2.85712486674151,2.98086173001742,16.9403043760793,4.94348426387137e-15,1.57820813179164e-13,"SH3GLB1"
"A0A087WWA3.KIF1B",0.0788867984479287,0.247409401907388,0.244251834929783,0.416711653563252,0.132513657524588,0.18897464264224,14.3330395877553,0.000985700965000942,0.00135801166552023,"KIF1B"
"A0A087WWF6.POLD2",-2.26221274044328,-2.93207330921859,-2.13367429868339,-2.98543829775036,-3.31868635591393,-3.41844534942578,12.2719768945765,1.8518128212492e-06,3.76641866752036e-06,"POLD2"
"A0A087WWI6.DCAF7",0.497933428583248,0.571367831937745,0.252791881922434,0.191734475603798,-0.00973866090972838,0.0315683527128281,16.0725369194812,1.34790000554518e-06,2.80491366396455e-06,"DCAF7"
"A0A087WWM0.TRAPPC3",-0.135108064532162,-0.350296635924054,-0.184603955870087,-0.187004595931798,0.015322820560618,0.152191450039951,15.1496774055032,0.490146944187094,0.502003463153201,"TRAPPC3"
"A0A087WWP4.RBM15",-0.410910077838744,-0.538349431732223,-0.800713584179209,-1.04050819239338,-1.23757565261427,-1.51099611079225,13.7581387048413,2.90860689997424e-09,9.96928862329797e-09,"RBM15"
"A0A087WWT1.SDHB",0.0988967864829019,-0.101466551161062,0.0725508962481722,0.495642287965235,0.730055111927778,1.04082020894998,16.7461349462172,6.67537917316769e-08,1.70651563866536e-07,"SDHB"
"A0A087WWU8.TPM3",0.22526020883252,-0.40146327326001,-0.320387051227346,-0.378277576678209,-0.252008039838971,-0.354452803320566,17.1960454677345,0.0305286806746537,0.0350584636430432,"TPM3"
"A0A087WX20.MLH1",-2.15416094847976,-1.82925021747513,-1.96123308253071,-2.05875321433371,-2.33675841816681,-2.22402147354815,13.5843343554596,1.30526351395208e-10,6.43003577443466e-10,"MLH1"
