"","iPSC_1","iPSC_2","iPSC_3","N_09_1","N_09_2","N_09_3","N_15_1","N_15_2","N_15_3","N_21_1","N_21_2","N_21_3","N_27_1","N_27_2","N_27_3","N_33_1","N_33_2","N_33_3","N_40_1","N_40_2","N_40_3"
"A0A024QZX5.SERPINB6",15.3672471984232,15.1079664493542,15.6298368106934,15.0168301640018,14.5667359170871,15.1953081530508,15.0767804491808,15.0825793166309,15.4214388955476,15.4849972947167,15.4643789970782,15.2926205630268,15.9346237453548,15.5068447600441,15.6708151219201,16.0200656217485,16.0766887413912,15.7637333013026,16.1666406274335,16.0251720428665,16.009530665313
"A0A024R4E5.HDLBP",16.9976666249982,17.0724542359822,17.0136354836025,16.3679497295892,16.2831307711597,16.4423879466744,16.20077856663,16.2313586660079,16.3004397429045,16.0478358756609,16.2556778313108,16.2898100022974,16.3259614288676,16.3014752896467,16.13564880061,16.0346526296252,16.1142315397724,16.2280857813796,16.1149068286637,16.0354542872028,16.1023702781327
"A0A024R4K9.TMEM120A",12.4574254179284,12.3554645225908,13.6529046934931,13.2736003901068,13.5484971970106,13.6607037018776,13.4500993124937,13.5344907341281,13.0613787037369,13.4122286340331,13.4210282827632,13.6053620798111,13.5024539095936,13.6808470990946,13.9614061571349,13.3844871022923,13.7448722251484,13.7242138152608,14.0855766437602,13.5621102751011,13.5792320527097
"A0A024RA52.PSMA2",17.2636699464727,17.2249174786151,17.5289514051619,17.4532950923597,17.4014532385677,17.6084698524168,17.4429228932174,17.4946165687983,17.528473550651,17.4745605361613,17.4953427497449,17.3805561406882,17.5642647470366,17.3455606164453,17.4105317048107,17.507145319289,17.4559155527813,17.2307617288056,17.243190106031,17.3632677966702,17.2912391860524
"A0A024RCM4.BAG6",17.2568412645398,17.3922092292678,17.3674597344439,16.8209843925057,16.7745485082125,16.9084150617802,16.9423770129308,16.7770092510943,16.9621698442298,16.748706634007,16.9059120228342,16.8736270637596,16.8423515744652,16.7433619734689,16.7346685788539,16.6345433507191,16.4806364366184,16.6243810625489,16.7219056893475,16.4375583090646,16.4833247067312
"A0A024RCX6.PPT2",13.4598872493836,13.5751154962555,12.9866205268331,14.7325568513848,14.9171749682142,14.628336311642,14.2894422356351,14.5356515710742,14.4365210938323,14.3717542914491,14.376753948772,14.216736274778,14.0128542924171,14.6068892521549,15.1118914661496,13.9213928851088,14.5857256535234,14.1416555008709,14.4810389026215,14.2435179195479,14.0157730458058
"A0A067XG54.ATP11C",13.4067374173208,13.3952280326994,13.4167811863608,13.4722845736081,13.7210015017745,13.4121928790986,13.8718745106204,13.6396172936392,13.8577822858031,13.8631887517802,13.8225722887276,13.9842287373739,13.4616513648493,13.5623988504578,13.3798982198615,13.432654705627,13.0877420246958,13.7431029227025,13.1987947954319,13.0068445683015,13.3450392640372
"A0A075B6F6.HM13",16.0505970570819,15.934575130023,15.8547042914996,15.1647332843523,15.3227624805936,15.0252869666423,14.9241917263303,14.8533701970296,14.9655891282206,14.7905747982996,14.7920672461876,14.7969867185353,14.8235490340396,14.8241505303249,14.971886341255,15.0530223081312,14.9383499410564,15.0536101520824,15.1757743950046,14.9463547972704,15.1357899715907
"A0A075B6G3.DMD",13.2605095746178,13.4465089728396,13.4050738710034,10.5715460941659,11.5040773366997,11.6536330360877,12.5655843612644,13.1277412837556,12.869468541182,12.11610490593,13.4732519347957,13.0657139785058,13.1486839219225,13.4020654456263,13.4023923349651,13.5697999450343,13.2859369029863,13.7995860614261,13.4287176643776,13.657665462367,13.9572079959172
"A0A075B6P0.NDUFAF6",12.1099302757357,11.4056075426035,11.6867431803809,11.7838470335834,11.7640335164667,10.9051912119097,12.11789552753,10.763206806207,11.9233855362545,12.0515359947771,12.0417448001547,11.7238851882949,12.1632727027029,12.098737121135,12.5850264247979,12.2953893179534,12.5114316383322,12.3676855978426,12.6213566731575,13.0835284160765,12.7493546811943
"A0A075B730.EPPK1",15.5603519513933,15.6696240050186,15.4995155876912,14.0781353707378,14.7065171903568,15.3271143445207,13.7066764573744,14.461320473359,14.9988306191903,14.0023496651185,14.6267904403344,14.760934816132,14.4657830017127,14.7846575827989,14.9156717739077,14.703810206288,15.2757586046681,15.5012266411465,15.2572838600326,15.4456462306398,15.5812553759292
"A0A075B749.PDE4DIP",12.7370965630771,12.8824711127695,12.6327317908977,14.2320396574576,14.2622396182564,14.3957779102227,14.4586842479541,14.4002327953441,14.682009919685,14.4007788674948,14.4558780531547,14.4760139605429,14.3644403203099,14.5328933654698,14.3405416574797,14.1879552445309,14.2542896564084,14.21623716097,14.1311651822048,14.0568545637966,14.1912241762996
"A0A075B763.RASSF5",10.8847767639229,10.8713484692593,12.1173476561926,11.3676748229211,11.797752997849,11.6145836616059,12.1244794776692,11.8878139433413,12.7792520805821,12.8661638985345,12.0971539503798,12.6628602153188,13.0069012666144,13.0131624191559,13.3622547143205,13.5713808836452,13.3170907132495,13.5114660551349,13.8010852520419,14.0066678865384,14.0933489678856
