"","SC1_0","SC2_0","SC3_0","SC1_9","SC2_9","SC3_9","SC1_15","SC2_15","SC3_15","SC1_21","SC2_21","SC3_21","SC1_27","SC2_27","SC3_27","SC1_33","SC2_33","SC3_33","SC1_40","SC2_40","SC3_40"
"ENSG00000278267.MIR6859-1",27,29,18,17,22,31,21,16,25,50,16,16,38,19,16,29,14,0,30,2,8
"ENSG00000238009.ENSG00000238009",7,3,7,6,5,3,4,3,11,10,4,11,18,8,3,6,13,14,16,0,13
"ENSG00000239945.ENSG00000239945",2,1,1,4,4,2,1,3,9,5,4,5,6,7,0,2,8,14,7,0,12
"ENSG00000241860.ENSG00000241860",4,17,5,11,3,2,12,4,7,13,6,4,10,2,5,19,1,9,9,1,5
"ENSG00000237094.ENSG00000237094",71,77,55,41,24,23,34,19,39,49,26,22,52,22,19,35,25,27,53,18,27
"ENSG00000230021.ENSG00000230021",7,9,3,7,8,9,2,1,11,7,8,11,11,13,15,7,4,0,10,9,11
"ENSG00000228327.ENSG00000228327",138,164,102,77,78,102,90,47,84,69,65,67,90,39,41,60,51,5,69,35,35
"ENSG00000237491.LINC01409",116,182,72,71,57,41,71,37,76,91,83,50,98,77,74,82,54,100,125,65,50
"ENSG00000230092.ENSG00000230092",16,30,12,47,89,101,71,69,90,99,102,72,67,58,47,61,59,101,39,45,47
"ENSG00000228794.LINC01128",488,519,432,5663,7024,9940,4884,4813,6817,5340,6725,5714,5179,4849,4744,4292,5854,5113,4492,4090,3984
"ENSG00000225880.LINC00115",71,91,82,72,80,94,110,80,87,115,66,47,88,46,50,68,83,72,93,52,37
"ENSG00000272438.ENSG00000272438",4,30,4,79,86,116,72,37,38,30,48,27,36,15,31,26,33,13,40,19,25
"ENSG00000230699.ENSG00000230699",81,250,73,632,513,722,479,338,313,291,255,236,266,102,95,227,210,143,205,127,140
"ENSG00000241180.ENSG00000241180",12,34,13,104,87,124,65,55,51,52,33,42,36,16,20,45,45,0,42,16,24
"ENSG00000223764.LINC02593",2,3,11,1571,1837,2442,1180,1192,1695,958,727,694,513,382,394,775,793,611,884,627,566
"ENSG00000187634.SAMD11",5,15,16,3381,3906,5970,2823,2963,4246,2324,2083,2070,2018,1577,1722,2380,2902,2059,3175,2449,2238
"ENSG00000188976.NOC2L",19682,23150,16049,6417,8906,11124,6439,6371,9620,7886,9602,7859,8974,8130,8504,6466,9618,7455,6877,6988,6597
"ENSG00000187961.KLHL17",1935,2016,1670,2042,2103,3211,2107,1644,2443,2236,1881,1465,2120,1413,1469,1675,1822,1154,1793,1308,979
"ENSG00000187583.PLEKHN1",41,69,32,22,13,36,39,14,35,37,25,21,33,18,18,22,8,0,20,9,7
"ENSG00000187642.PERM1",0,6,0,3,7,3,11,8,3,7,11,2,11,3,5,9,17,9,11,22,9
"ENSG00000272512.ENSG00000272512",0,1,3,268,185,292,197,154,177,198,154,136,196,100,101,157,142,67,154,96,106
"ENSG00000188290.HES4",5,7,1,2409,3279,5082,1967,2475,2765,2643,2569,2028,3005,2398,2044,1881,3453,1637,2360,2532,2063
"ENSG00000187608.ISG15",566,689,521,123,108,161,98,65,92,96,100,98,122,87,80,126,152,86,144,145,122
"ENSG00000188157.AGRN",17567,20404,16252,27539,21536,40001,24797,16608,21845,27315,17874,18126,33384,14860,17672,26173,21144,14216,26485,16108,19327
"ENSG00000242590.ENSG00000242590",973,1088,962,1552,1235,2402,1386,1000,1261,1557,1115,1093,1895,914,1167,1492,1443,823,1567,972,1192
"ENSG00000217801.ENSG00000217801",19,34,16,165,155,383,141,142,353,310,498,518,964,819,867,555,868,640,919,877,871
"ENSG00000273443.ENSG00000273443",0,0,0,0,0,1,3,1,8,11,20,26,51,51,46,78,79,56,131,126,90
"ENSG00000237330.RNF223",0,1,0,9,5,41,3,1,0,2,0,0,3,0,2,1,1,10,6,7,7
"ENSG00000131591.C1orf159",1086,1466,995,765,719,1092,725,618,895,1036,853,722,1187,688,720,808,905,625,837,624,567
"ENSG00000272141.ENSG00000272141",17,26,18,0,1,0,0,1,0,1,0,6,1,0,0,2,1,0,0,0,2
"ENSG00000162571.TTLL10",31,35,30,6,4,13,1,2,3,2,3,3,2,2,0,2,0,0,2,7,2
"ENSG00000186891.TNFRSF18",22,30,22,0,5,15,0,0,0,2,0,1,1,1,3,4,6,19,11,10,13
"ENSG00000186827.TNFRSF4",8,13,10,7,2,8,5,3,11,5,6,5,6,1,3,5,2,3,16,2,2
"ENSG00000078808.SDF4",6767,7783,5676,3266,3701,5288,3262,3018,4115,4136,4314,3568,4947,3742,3743,3219,4531,3221,3551,3405,2986
"ENSG00000176022.B3GALT6",3027,3405,2577,2573,3688,4545,2853,3212,4640,4163,4751,3958,4496,4038,3809,3168,4514,3045,3231,3294,2769
"ENSG00000184163.C1QTNF12",93,134,88,12,27,27,24,17,6,29,19,22,45,26,26,27,39,7,58,34,32
"ENSG00000260179.ENSG00000260179",44,29,25,16,28,19,26,22,25,31,17,12,15,13,16,32,16,23,26,16,10
"ENSG00000160087.UBE2J2",4607,4916,3834,2531,3477,4429,2452,2653,3820,2885,3423,2764,3223,2853,2865,2292,3451,2677,2507,2620,2114
"ENSG00000230415.LINC01786",21,46,24,63,46,82,95,49,57,65,63,59,74,55,40,98,90,16,108,65,71
"ENSG00000162572.SCNN1D",199,303,176,432,457,755,443,306,452,460,412,326,680,362,404,619,599,455,744,546,427
"ENSG00000131584.ACAP3",4028,4526,3343,30885,27450,43496,30476,20684,29072,33847,25654,22888,31325,19683,18968,24433,26469,18667,24349,17769,16189
"ENSG00000278073.MIR6726",3,9,0,34,15,18,38,1,18,29,12,9,29,9,7,23,10,16,16,1,4
"ENSG00000169972.PUSL1",3144,3558,2730,794,979,1213,644,665,965,977,878,767,1098,792,921,809,1116,694,952,857,810
"ENSG00000127054.INTS11",8102,9378,6760,2953,2894,4122,3053,2622,3672,3611,3518,3180,4054,3042,3253,3021,3804,2870,3240,2946,2405
"ENSG00000283712.MIR6727",11,7,1,3,5,0,6,1,1,11,6,5,3,2,3,6,2,0,0,1,3
"ENSG00000240731.ENSG00000240731",137,113,95,62,34,42,103,44,55,108,33,51,92,32,29,87,42,45,69,36,31
"ENSG00000224051.CPTP",1282,1171,1069,1027,1389,1552,1261,1342,1664,1890,1608,1302,1973,1378,1609,1646,1861,1451,1732,1489,1365
"ENSG00000169962.TAS1R3",32,26,28,88,48,89,136,94,117,165,145,89,134,91,73,134,79,45,76,34,55
"ENSG00000107404.DVL1",6834,7245,5622,4673,6221,9776,4798,4825,7531,6554,7286,5963,9340,7290,8357,5991,9663,5993,8328,8017,7206
"ENSG00000162576.MXRA8",275,389,237,248,575,1653,181,248,755,306,342,442,396,350,538,572,1056,967,733,1037,1011
"ENSG00000175756.AURKAIP1",8705,10418,6919,3326,5455,7234,2996,3493,5425,3836,4852,4076,4289,4134,4068,3193,5083,3426,3369,3813,3056
"ENSG00000221978.CCNL2",14571,14756,11405,13791,16192,19548,14995,11904,16608,15154,16177,12433,13876,11242,10178,10683,12015,10402,9330,7666,6035
"ENSG00000224870.MRPL20-AS1",2889,2972,2331,1679,2275,2920,1723,1781,2747,2000,2457,1874,2226,1867,1979,1608,2457,2313,1766,1914,1619
