"","SC1_0","SC2_0","SC3_0","SC1_9","SC2_9","SC3_9","SC1_15","SC2_15","SC3_15","SC1_21","SC2_21","SC3_21","SC1_27","SC2_27","SC3_27","SC1_33","SC2_33","SC3_33","SC1_40","SC2_40","SC3_40"
"hsa_piR_000045",27,18,20,52,73,196,146,26,143,101,88,149,148,171,114,64,134,202,127,170,50
"hsa_piR_000686",0,0,0,4,5,11,9,12,4,7,1,9,11,13,22,2,13,12,9,9,5
"hsa_piR_000753",1177,19,41,122,39,114,99,48,53,117,40,122,88,150,116,68,147,157,149,165,76
"hsa_piR_000775",45,0,5,5,2,1,6,3,0,1,0,1,0,1,1,1,0,5,1,2,1
"hsa_piR_000796",24,49,36,15,11,32,11,6,6,18,1,15,8,25,27,2,16,13,18,18,2
"hsa_piR_000805",78,30,22,121,68,198,88,58,29,138,38,186,29,254,254,26,265,161,130,262,93
"hsa_piR_000823",29,19,28,65,37,101,95,42,22,146,13,130,59,201,165,51,160,131,270,348,81
"hsa_piR_001104",0,0,0,13,6,12,12,5,3,15,0,15,5,20,37,6,9,8,19,17,15
"hsa_piR_001168",30,16,2,52,77,194,77,35,56,46,15,95,57,132,113,70,166,157,206,223,98
"hsa_piR_001184",181,9,11,29,11,61,46,20,47,35,6,43,19,56,31,10,35,177,38,24,17
"hsa_piR_001318",58,1,3,5,10,6,17,5,4,26,7,22,10,22,19,16,20,20,13,21,6
"hsa_piR_001356",109,7,6,34,18,65,29,12,22,41,7,50,19,76,29,13,50,174,67,67,18
"hsa_piR_001511",1,3,1,31,13,22,31,13,7,26,0,27,6,45,55,8,20,13,39,31,17
"hsa_piR_001918",8,8,2,7,7,22,13,3,6,17,4,19,4,5,11,1,8,7,15,15,3
"hsa_piR_002177",0,0,0,13,3,8,11,4,6,7,0,9,20,16,24,6,6,8,11,9,5
"hsa_piR_002286",13,3,4,19,7,28,9,6,8,22,4,26,12,25,35,8,18,12,26,11,11
"hsa_piR_002320",22,8,18,3,2,3,1,2,5,1,2,5,1,4,6,0,3,3,0,6,3
"hsa_piR_002372",1,3,0,16,11,21,12,8,1,10,2,17,12,22,32,10,13,12,21,11,13
"hsa_piR_002441",14,25,8,36,13,31,30,19,7,42,3,66,17,70,67,6,28,16,43,49,29
"hsa_piR_002468",7,8,5,35,18,85,57,35,28,61,16,95,52,98,71,21,192,128,162,160,47
"hsa_piR_002485",81,6,13,30,24,50,38,22,9,53,4,57,16,47,40,11,40,87,50,57,19
"hsa_piR_002536",0,0,0,12,6,5,7,5,2,9,0,5,6,17,20,1,8,5,8,9,14
"hsa_piR_002622",0,3,1,12,5,14,8,5,2,17,1,18,4,23,26,3,12,8,8,13,4
"hsa_piR_002852",15,5,1,15,11,28,23,11,12,21,7,28,8,23,25,9,25,24,14,18,11
"hsa_piR_003231",4,4,7,8,1,16,9,4,5,11,0,6,7,25,21,2,8,11,11,21,4
"hsa_piR_003324",6,8,6,6,6,53,26,3,6,13,4,36,7,27,9,13,12,12,26,19,2
"hsa_piR_003384",3,1,0,101,39,68,75,64,10,70,4,123,23,168,230,25,82,52,140,118,78
"hsa_piR_003672",3,1,3,11,7,9,15,8,2,8,1,18,5,8,20,0,9,14,16,17,9
"hsa_piR_003778",0,0,0,11,6,8,7,3,6,7,1,15,9,23,27,2,13,6,19,22,9
