"","Day","Experiment","Table","Cell.Trace","Peak.Intensity.df.F.","Start.Intensity.df.F.","Stop.Intensity.df.F.","Peak.Duration.s.","Duration.To.Peak.s.","Time.To.Decay.s.","Baseline.Intensity.df.F.","#Peaks","Frequency","Frequency [hz]","Differentiation","CVS","Video","#Cells_Video","#Cells_DayExp","#Cells_Day","Condition"
"1","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS1_1_200820.csv","Mean2",0.0772549825354428,0.00804250198127333,0.0194213703562378,1.473,0.982,0.491,0.0137319361687556,1,0.0016366612111293,0.00333333333333333,"LV16","CS1","1",2,15,17,"Day 15"
"2","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS1_1_200820.csv","Mean7",0.0767296493871402,0.0243820499246652,0.0190678828847172,2.455,0.491,1.964,0.0217249664046912,1,0.0016366612111293,0.00333333333333333,"LV16","CS1","1",2,15,17,"Day 15"
"3","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS1_2_200820.csv","Mean7",0.0959967867184362,0.0674597861637626,0.0383489853298394,1.473,0.491,0.982,0.052904385746801,1,0.0016366612111293,0.00333333333333333,"LV16","CS1","2",2,15,17,"Day 15"
"4","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS1_2_200820.csv","Mean9",0.0920902140979592,0.0241888556694824,0.0271786022433131,0.982,0.491,0.491,0.0256837289563977,1,0.0016366612111293,0.00333333333333333,"LV16","CS1","2",2,15,17,"Day 15"
"5","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS1_3_200820.csv","Mean5",0.0844067729945525,0.00327440067651294,0.0357922476351551,0.982,0.491,0.491,0.019533324155834,1,0.0016366612111293,0.00333333333333333,"LV16","CS1","3",1,15,17,"Day 15"
"6","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS1_5_200820.csv","Mean2",0.0753081664098613,0.0191488930338173,0.0425756224150515,1.473,0.982,0.491,0.0308622577244344,1,0.0016366612111293,0.00333333333333333,"LV16","CS1","5",1,15,17,"Day 15"
"7","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS2_1_200820.csv","Mean6",0.0880710077282118,0.0100783752172534,0.0620880382147502,2.946,1.964,0.982,0.0360832067160018,1,0.0016366612111293,0.00333333333333333,"LV16","CS2","1",1,15,17,"Day 15"
"8","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS2_2_200820.csv","Mean1",0.0991869918699188,0.0160646290007203,0.0509519398991458,2.946,0.982,1.964,0.033508284449933,1,0.0016366612111293,0.00333333333333333,"LV16","CS2","2",3,15,17,"Day 15"
"9","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS2_2_200820.csv","Mean11",0.0859768604257523,0.045482605492164,0.0312643128820917,1.473,0.491,0.982,0.0383734591871279,1,0.0016366612111293,0.00333333333333333,"LV16","CS2","2",3,15,17,"Day 15"
"10","Day 15","Cell Line 1","TIFF_LV16_CA imaging_LV16_DAY15_CS2_2_200820.csv","Mean9",0.0754856057224131,0.0200990417657258,0.0174828441805178,1.473,0.491,0.982,0.0187909429731218,1,0.0016366612111293,0.00333333333333333,"LV16","CS2","2",3,15,17,"Day 15"
