"","SC1_0","SC2_0","SC3_0","SC1_9","SC2_9","SC3_9","SC1_15","SC2_15","SC3_15","SC1_21","SC2_21","SC3_21","SC1_27","SC2_27","SC3_27","SC1_33","SC2_33","SC3_33","SC1_40","SC2_40","SC3_40","type"
"LIN28A",1.53,1.46,1.54,-0.103,0.138,-0.0347,-1.47,-1.41,-1.45,-2.58,-2.59,-2.6,-3.5,-3.38,-3.32,-3.96,-3.81,-3.81,-4.29,-4.07,-4.22,"RNA"
"HPCAL4",-2.15,-1.99,-2.2,-0.142,0.0907,0.0517,0.959,1.17,1.18,1.53,1.64,1.65,2.03,1.99,2.14,2.11,2.28,2.24,2.35,2.4,2.51,"RNA"
"PLPPR4",-0.905,-0.854,-1.15,-0.162,0.00856,0.153,1.12,1.25,1.34,1.74,1.93,1.9,2.1,2.25,2.2,2.38,2.53,2.56,2.59,2.62,2.62,"RNA"
"CXCR4",-3.94,-3.78,-3.91,-0.107,0.118,-0.0112,-1.39,-0.696,-0.858,-2.73,-2.44,-2.68,-3.91,-3.92,-4.01,-4.09,-4.28,-4.26,-4.58,-4.69,-4.52,"RNA"
"THSD7B",-5.14,-5.19,-5.25,-0.0203,0.0421,-0.0219,-0.247,-0.17,-0.206,-0.779,-0.631,-0.675,-1.39,-1.23,-1.4,-1.7,-1.45,-1.37,-2.22,-1.95,-1.87,"RNA"
"TRIM71",1.37,1.44,1.36,0.0143,0.0321,-0.0464,-0.418,-0.458,-0.514,-0.796,-0.946,-0.869,-1.1,-1.31,-1.35,-1.59,-1.73,-1.62,-1.98,-1.93,-1.95,"RNA"
"PROM1",0.871,0.851,0.851,-0.737,0.224,0.514,-2.66,-1.7,-1.48,-3.25,-2.7,-2.53,-3.42,-3.2,-2.94,-3.39,-3.28,-2.96,-3.41,-2.84,-2.75,"RNA"
"RAI14",-0.862,-0.898,-0.792,-0.0121,-0.0275,0.0396,-0.699,-0.728,-0.635,-1.39,-1.2,-1.19,-1.51,-1.49,-1.42,-2.22,-2.16,-2.04,-2.36,-2.24,-2.09,"RNA"
"LIFR",-1.15,-1.42,-1.35,-0.000243,-0.0132,0.0134,1.02,0.95,1.12,1.76,1.89,1.93,2.07,2.28,2.24,1.75,1.86,1.91,1.77,1.95,1.78,"RNA"
"GRIA1",-0.686,-0.606,-0.737,-0.0407,-0.00429,0.045,1.22,1.08,1.17,2.04,2.09,2.07,2.53,2.58,2.43,2.33,2.35,2.41,2.3,2.42,2.32,"RNA"
"RCAN2",-1.41,-1.57,-1.41,-0.204,0.189,0.0145,0.432,0.74,0.955,1.43,1.89,2.01,2.19,2.53,2.65,1.97,2.38,2.42,2.12,2.52,2.46,"RNA"
"PPP1R17",-2.68,-2.6,-2.64,-0.21,0.0433,0.166,-1.68,-1.28,-1.21,-2.56,-2.23,-2.3,-3.18,-2.99,-3.02,-2.88,-2.73,-2.57,-3.09,-2.66,-2.42,"RNA"
"CD36",-0.738,-0.77,-0.733,-0.0977,-0.0194,0.117,2.8,3.06,3.33,3.95,4.4,4.37,4.29,4.61,4.45,3.71,4.08,4.18,3.76,4.05,3.96,"RNA"
"FGF13",-1.2,-1.23,-1.32,-0.112,0.0189,0.0929,0.72,0.763,0.915,1.44,1.61,1.7,1.59,1.85,1.8,1.59,1.8,1.89,1.63,1.79,1.74,"RNA"
"ADCY8",-1.65,-1.89,-1.77,-0.102,0.000748,0.101,1.39,1.56,1.64,1.98,2.06,2.26,2.48,2.52,2.68,2.13,2.38,2.32,2.18,2.44,2.5,"RNA"
"CPT1A",0.443,0.49,0.503,-0.0619,-0.0388,0.101,0.0201,0.153,0.301,0.522,0.694,0.979,1.29,1.37,1.47,2.07,2.13,2.1,2.53,2.58,2.61,"RNA"
"GABRA5",0.852,0.819,0.771,-0.254,0.0973,0.156,1.05,1.29,1.31,1.82,2.18,2.12,2.26,2.48,2.57,2.24,2.55,2.53,2.44,2.65,2.7,"RNA"
"TYRO3",1.33,1.42,1.45,-0.0166,-0.00932,0.026,0.184,0.198,0.146,0.672,0.808,0.791,1.38,1.46,1.51,1.29,1.66,1.63,1.66,1.88,1.9,"RNA"
"IGDCC3",-1.66,-1.57,-1.62,-0.00416,-0.00412,0.00828,-0.866,-0.835,-0.929,-1.32,-1.59,-1.52,-1.84,-2.05,-2,-2.2,-2.12,-2.25,-2.56,-2.38,-2.35,"RNA"
"ALDOC",1.7,1.63,1.62,-0.255,0.0398,0.215,0.173,0.316,0.394,1.09,1.21,1.06,1.72,1.79,1.9,2.26,2.39,2.32,2.7,2.6,2.75,"RNA"
"PITPNC1",-0.397,-0.422,-0.352,-0.0135,0.0241,-0.0106,0.53,0.528,0.59,0.895,1.04,1.02,1.42,1.49,1.52,1.41,1.53,1.58,1.59,1.65,1.52,"RNA"
"GREB1L",-5.56,-5.54,-4.4,0.00236,-0.0694,0.0671,-0.285,-0.331,-0.296,-0.601,-0.655,-0.643,-0.932,-1.01,-0.958,-1.11,-1.13,-1.19,-1.37,-1.44,-1.4,"RNA"
"SNAP25",-4.75,-4.73,-4.68,-0.155,0.0399,0.116,0.173,0.31,0.469,0.552,0.797,0.876,1.05,1.24,1.33,1.22,1.45,1.47,1.43,1.58,1.59,"RNA"
"DLL3",-3.82,-3.7,-3.71,-0.0826,-0.0362,0.119,-1.34,-1.1,-1.18,-1.61,-1.7,-1.64,-1.91,-1.88,-1.99,-1.79,-1.67,-1.77,-1.84,-1.69,-1.76,"RNA"
"APOL2",2.1,2.22,2.17,-0.0418,-0.00389,0.0457,0.332,0.154,0.266,1.14,1.29,1.31,1.86,2.29,2.3,2.09,2.34,2.26,2.65,2.96,2.9,"RNA"
"SLC6A17",-1.3,-1.31,-1.3,-0.0128,-0.0875,0.1,0.906,0.602,0.512,1.59,1.31,1.52,2.87,2.3,2.59,3.02,2.68,2.55,3.22,2.91,2.91,"RNA"
"NGEF",0.436,0.649,0.605,-0.0326,-0.0813,0.114,0.35,0.342,0.287,1.54,1.45,1.65,3.62,3.01,3.45,2.46,2.51,2.31,2.87,3,3.04,"RNA"
"ENO3",-1.51,-1.48,-1.61,0.00227,-0.102,0.0998,-1.15,-1.25,-1.14,-1.92,-2.02,-1.96,-2.12,-2.11,-1.99,-1.76,-1.69,-1.8,-1.55,-1.69,-1.81,"RNA"
"CALB1",-0.268,-0.424,-0.445,-0.128,-0.12,0.248,-0.151,-0.248,-0.0956,-1.46,-1.48,-1.52,-2.29,-2.29,-2.47,-2.27,-2.31,-2.5,-2.48,-2.58,-2.73,"RNA"
"SLC7A14",-3,-2.93,-2.92,-0.0178,-0.0624,0.0802,0.533,0.594,0.656,0.872,1.06,1,1.18,1.28,1.32,1.34,1.44,1.47,1.41,1.52,1.53,"RNA"
"TRIM25",2.1,2.03,2.11,0.037,-0.0689,0.0318,0.781,0.802,0.631,1.16,1.35,1.27,1.54,1.68,1.65,1.89,1.97,1.99,2.03,2.07,2.04,"RNA"
"PCDH7",0.225,-0.1,0.271,-0.118,0.0903,0.0276,1.31,1.57,1.66,1.64,1.95,2.01,1.69,1.94,1.97,1.64,1.8,1.89,1.54,1.63,1.73,"RNA"
"IGFBPL1",-2.58,-2.61,-2.59,-0.0559,0.0854,-0.0295,-1,-0.805,-1.03,-1.38,-1.36,-1.54,-1.84,-1.74,-1.96,-1.89,-1.73,-1.82,-2.04,-1.84,-1.9,"RNA"
"ATP2B4",-0.339,-0.31,-0.412,0.041,-0.0575,0.0165,1.15,1.27,1.13,1.61,1.87,1.84,1.96,2.25,2.2,1.88,2.19,2.25,2.09,2.34,2.38,"RNA"
"THY1",1.3,1.28,1.41,-0.0621,-0.0235,0.0855,0.369,0.561,0.676,0.993,1.13,1.28,1.44,1.6,1.74,1.28,1.63,1.59,1.53,1.83,1.81,"RNA"
"PTPRT",-1.18,-1.28,-1.24,0.0164,0.146,-0.163,1.41,1.41,1.22,2.35,2.18,2.14,2.51,2.38,2.29,2.24,2.2,2.13,2.23,2.28,2.15,"RNA"
"CDH8",-0.596,-0.863,-0.794,0.127,0.0172,-0.144,2.28,2.45,2.39,2.39,2.66,2.55,2.35,2.53,2.43,2.15,2.3,2.34,1.96,2.08,2.02,"RNA"
"ENTPD3",0.215,0.192,0.278,0.0371,-0.0586,0.0215,0.316,0.473,0.407,0.972,1.03,0.951,1.72,1.92,1.94,1.99,2.53,2.55,2.31,3,2.76,"RNA"
"MAP7D2",-1.83,-1.77,-1.88,-0.0991,0.015,0.0842,0.52,0.646,0.783,1.06,1.31,1.4,1.55,1.82,1.87,1.37,1.45,1.54,1.29,1.51,1.45,"RNA"
"SYN2",-0.786,-0.82,-0.779,-0.192,-0.0266,0.218,0.751,0.904,1.05,1.6,1.68,1.9,2.15,2.22,2.17,2.04,2.17,2.25,2.19,2.24,2.34,"RNA"
"PLCL2",-2.2,-2.51,-2.2,0.112,-0.0309,-0.0815,-0.535,-0.617,-0.717,-1.07,-1.03,-1.2,-1.29,-1.35,-1.51,-1.45,-1.38,-1.45,-1.56,-1.64,-1.58,"RNA"
"AK5",-0.404,-0.342,-0.327,-0.0898,0.0771,0.0128,0.487,0.519,0.595,0.84,1.05,1.04,1.44,1.45,1.59,1.35,1.55,1.53,1.54,1.65,1.67,"RNA"
"BRINP1",1.28,1.18,1.27,0.0519,0.0979,-0.15,1.57,1.38,1.36,1.78,1.76,1.57,2.07,2.01,1.86,2.35,2.27,2.13,2.49,2.35,2.21,"RNA"
"FGF12",-1.25,-1.2,-1.16,-0.111,0.0344,0.0763,0.471,0.42,0.572,0.848,1.08,1.07,1.16,1.35,1.3,1.61,1.68,1.92,1.76,1.78,1.8,"RNA"
"BRINP3",-2.68,-2.63,-2.64,0.157,-0.0925,-0.0646,2.17,2.22,2.37,2.37,2.5,2.56,2.35,2.44,2.44,2.34,2.49,2.64,2.27,2.42,2.38,"RNA"
"GBP2",-0.115,-0.116,-0.113,-0.0138,0.0235,-0.0097,-0.0681,0.227,0.136,0.971,1.52,1.88,2.55,3.09,3.41,1.18,1.94,1.67,2,2.77,2.39,"RNA"
"DNER",-3.64,-3.69,-3.58,0.0172,-0.0213,0.00411,0.505,0.388,0.355,0.718,0.634,0.696,1.01,0.887,0.902,1.16,1.08,1.01,1.22,1.19,1.23,"RNA"
