"","z","Day","cond","Name_ID"
"SC1_9",-1.90006001315314,9,"Sequencing","CHD5"
"SC1_9.1",-1.7576718210686,9,"Sequencing","UTS2"
"SC1_9.2",-1.66922125566625,9,"Sequencing","TNFRSF9"
"SC1_9.3",-1.79605127677512,9,"Sequencing","FBXO6"
"SC1_9.4",-1.51718227097497,9,"Sequencing","NBL1"
"SC1_9.5",-1.66283629062159,9,"Sequencing","WNT4"
"SC1_9.6",-2.09322127386809,9,"Sequencing","IFNLR1"
"SC1_9.7",-1.39763776921282,9,"Sequencing","CSMD2"
"SC1_9.8",-2.01217586670595,9,"Sequencing","HPCAL4"
"SC1_9.9",-2.20974733749237,9,"Sequencing","FAAH"
"SC1_9.10",-0.557991820817322,9,"Sequencing","SLC25A3P1"
"SC1_9.11",-2.30695789198533,9,"Sequencing","PTGER3"
"SC1_9.12",-1.12560338357964,9,"Sequencing","ENSG00000269933"
"SC1_9.13",-1.58140248602674,9,"Sequencing","PTGFR"
"SC1_9.14",-1.52922166929588,9,"Sequencing","ST13P20"
"SC1_9.15",-1.35946827796651,9,"Sequencing","SAMD13"
"SC1_9.16",-1.67545980587736,9,"Sequencing","UOX"
"SC1_9.17",-1.64556169835216,9,"Sequencing","ENSG00000280099"
"SC1_9.18",-2.04341799131794,9,"Sequencing","PLPPR4"
"SC1_9.19",-2.24454532701176,9,"Sequencing","C1orf194"
"SC1_9.20",-1.50633446169498,9,"Sequencing","SLC6A17"
"SC1_9.21",-0.590632307003809,9,"Sequencing","ENSG00000224950"
"SC1_9.22",-1.47952059986831,9,"Sequencing","ECM1"
"SC1_9.23",-0.789532847174473,9,"Sequencing","S100A3"
"SC1_9.24",-1.23997392889986,9,"Sequencing","FMO2"
"SC1_9.25",-0.942800531065513,9,"Sequencing","SLC9C2"
"SC1_9.26",-1.78580523715816,9,"Sequencing","TNR"
"SC1_9.27",-1.73611311819253,9,"Sequencing","CACNA1E"
"SC1_9.28",-1.98445446314234,9,"Sequencing","BRINP3"
"SC1_9.29",-2.02420611152677,9,"Sequencing","LINC01351"
