"","Day0 (1)","Day0 (2)","Day0 (3)","Day9 (1)","Day9 (2)","Day9 (3)","Day15 (1)","Day15 (2)","Day15 (3)","Day21 (1)","Day21 (2)","Day21 (3)","Day27 (1)","Day27 (2)","Day27 (3)","Day33 (1)","Day33 (2)","Day33 (3)","Day40 (1)","Day40 (2)","Day40 (3)"
"CGE IN pcw16",25,13,21,409,394,387,425,411,407,384,386,374,345,329,318,317,304,294,291,277,278
"CGE IN pcw20",27,19,26,368,352,342,380,358,355,350,347,333,316,306,301,302,280,274,275,267,268
"CGE IN pcw21",23,12,18,414,391,385,442,421,415,410,403,383,366,344,334,340,313,303,305,290,289
"CGE IN pcw24",16,6,11,418,420,428,443,452,447,434,448,437,400,395,382,376,364,341,337,326,325
"Cyc. Prog. pcw16",219,187,208,260,259,265,237,243,244,210,236,231,178,188,176,120,124,117,93,96,97
"Cyc. Prog. pcw20",217,184,209,229,222,235,136,141,150,106,140,118,84,100,86,51,54,55,38,42,43
"Cyc. Prog. pcw21",181,157,173,202,200,223,113,123,133,90,126,110,70,92,76,47,53,52,37,44,41
"Cyc. Prog. pcw24",164,139,156,198,201,228,112,128,134,91,135,115,74,101,88,50,57,56,40,49,48
"GluN pcw16",34,30,32,482,473,472,483,480,481,477,469,464,456,436,423,429,378,349,360,328,331
"GluN pcw20",36,33,35,446,416,412,438,401,404,396,381,370,357,323,319,321,299,288,296,276,279
"GluN pcw21",31,28,29,465,459,458,479,468,467,466,462,461,453,426,402,424,373,348,362,324,332
"GluN pcw24",3,1,2,441,440,445,470,474,475,471,478,476,463,460,455,457,444,405,422,397,398
"MGE IN pcw16",15,4,8,388,375,363,408,393,389,372,367,359,327,315,311,312,295,286,282,272,271
"MGE IN pcw20",24,10,20,369,351,338,379,356,354,346,335,322,310,297,292,293,273,270,269,261,263
"MGE IN pcw21",22,9,17,433,399,390,454,435,432,419,406,392,365,343,330,336,309,298,300,283,284
"MGE IN pcw24",14,5,7,417,427,413,449,451,450,430,439,431,377,371,361,353,339,320,314,308,307
"mGPC pcw20",103,83,99,214,213,226,151,162,168,125,166,154,114,129,116,73,81,75,58,65,62
"mGPC pcw21",68,60,67,232,233,242,180,191,195,159,197,185,152,172,158,109,122,111,94,107,105
"mGPC pcw24",45,39,46,238,241,248,203,224,230,190,234,227,194,220,211,153,182,163,137,167,160
"nIPC pcw16",146,121,138,285,281,287,262,264,266,252,258,257,240,245,239,207,205,193,165,170,169
"nIPC pcw20",177,155,174,254,250,255,212,215,218,171,196,183,132,144,130,89,87,82,59,64,61
"nIPC pcw21",149,131,145,253,251,256,216,221,225,175,206,192,142,161,147,102,108,104,69,79,78
"nIPC pcw24",80,66,77,246,247,249,186,199,204,148,189,179,119,143,127,85,98,95,63,72,71
