"","SC1_0","SC2_0","SC3_0","SC1_9","SC2_9","SC3_9","SC1_15","SC2_15","SC3_15","SC1_21","SC2_21","SC3_21","SC1_27","SC2_27","SC3_27","SC1_33","SC2_33","SC3_33","SC1_40","SC2_40","SC3_40"
"hsa-miR-1-3p",0,1.38,0,0,0,0,1.27,0,1.05,2.17,2.79,2.04,3.05,2.79,2.87,3.5,3.54,2.88,3.65,3.87,3.6
"hsa-miR-100-5p",-1.01,-0.513,-0.55,-0.319,-0.232,0.551,-0.115,1.19,1.59,0.351,1.77,1.95,0.716,1.64,1.85,0.724,1.69,1.75,0.707,1.39,2
"hsa-miR-101-5p",-2.72,0.497,-0.594,-0.593,0.117,0.475,0.613,0.36,-0.219,0.77,-0.136,0.738,0.483,0.853,0.904,0.786,1.27,0.622,0.929,1.08,0.465
"hsa-miR-105-3p",-0.141,0.214,-3.12,-0.624,0.747,-0.123,0.868,0.531,0.859,0.91,0.965,1.21,1.32,1.01,1.1,1.24,1.41,1.45,1.12,1.39,0.741
"hsa-miR-105-5p",-0.244,-0.163,-0.354,0.0439,-0.196,0.152,1.17,1.14,0.77,1.34,1.18,1.65,1.64,1.75,1.56,1.88,1.86,1.93,1.78,1.64,1.8
"hsa-miR-106b-3p",0.67,0.848,1.14,-0.281,0.302,-0.0213,0.01,-0.145,0.0107,-0.249,-0.0483,-0.4,-0.0905,-0.554,-0.659,-0.103,-0.705,-0.599,-1.14,-0.963,-0.986
"hsa-miR-106b-5p",-0.636,0.277,0.449,-0.24,0.135,0.105,-0.0431,-0.0294,-0.757,-0.336,-0.647,-0.328,-0.908,-0.407,-0.521,-0.618,-0.736,-0.933,-0.735,-1.01,-1.05
"hsa-miR-10a-5p",1.71,1.72,1.75,-0.697,-0.299,0.996,0.0458,0.387,2.42,-0.205,2.6,1.72,1.7,1.27,2.03,1.98,1.63,3.16,1.53,1.96,3.06
"hsa-miR-10b-3p",-0.977,-0.977,-0.977,-0.175,-0.0196,0.195,1.74,0.661,0.576,1.67,1.99,2.53,2.54,2.4,2.69,3.11,3.08,2.6,3.26,3.41,3.31
"hsa-miR-10b-5p",-3.89,-3.87,-3.27,-0.34,0.379,-0.0395,1.17,1.69,2.43,1.41,3.18,1.95,3.22,2.55,2.75,3.7,3.08,3.46,3.01,3.5,4.05
"hsa-miR-1179",-2.21,-2.21,-2.21,-0.97,-0.0118,0.982,0.369,-0.235,0.856,0.91,0.898,0.989,0.73,1.04,1.01,-0.00745,1.05,1.22,1.25,0.713,0.881
"hsa-miR-1180-3p",0.597,0.868,1.06,-0.419,0.143,0.276,1.08,0.312,0.609,1.22,1.22,1.41,1.65,1.24,1.37,1.66,1.88,1.67,1.75,1.78,1.36
"hsa-miR-1224-3p",-2.66,-2.66,-2.66,-0.0753,0.074,0.00132,0.0103,0.204,-0.33,-0.0686,-0.0804,-0.697,-0.0723,-0.539,-0.119,-0.258,0.176,0.0423,0.0979,0.159,0.217
"hsa-miR-1224-5p",-3.86,-5.5,-5.5,0.282,0.0979,-0.38,-0.299,0.0316,-0.336,-0.106,-0.279,-0.421,-0.0448,-0.227,0.305,0.389,-0.0302,-0.125,0.213,0.428,0.704
"hsa-miR-1229-3p",0.9,-0.734,-0.734,0.0681,0.223,-0.292,0.34,0.389,0.318,0.85,2.06,0.67,0.969,1.25,1.4,1.84,1.29,1.25,1.08,1.89,0.916
"hsa-miR-124-3p",-3.39,-3.43,-3.04,-0.385,-0.084,0.469,0.751,0.174,0.229,0.798,0.798,1.06,0.946,1.14,0.868,0.92,1.43,1.16,1.26,1.3,0.794
"hsa-miR-124-5p",-2.94,-2.68,-1.94,-0.195,0.356,-0.161,-0.561,-0.0944,-1.08,-0.572,-0.824,-0.362,-0.583,-0.538,-0.406,0.209,-0.472,-1.15,-0.598,-0.522,-0.349
"hsa-miR-1246",-1.8,-2.31,-1.67,-0.0402,-0.0324,0.0726,-0.0251,-0.593,-0.556,-0.301,-0.405,-0.164,-0.416,-0.452,-0.58,-0.206,-0.18,-0.516,-0.483,-0.475,-0.737
