"","miRNA","Info","Expression","species","region"
"1","hsa-
miR-1229-3p","HSA_HIP",4.99607195470399,"Human","HIP"
"2","hsa-
miR-1229-3p","HSA_MFC",5.10049657162798,"Human","MFC"
"3","hsa-
miR-1229-3p","HSA_OFC",5.12143240544366,"Human","OFC"
"4","hsa-
miR-1229-3p","HSA_VFC",5.19476307080156,"Human","VFC"
"5","hsa-
miR-1229-3p","PTR_HIP",0,"Chimpanzee","HIP"
"6","hsa-
miR-1229-3p","PTR_MFC",0,"Chimpanzee","MFC"
"7","hsa-
miR-1229-3p","PTR_OFC",0,"Chimpanzee","OFC"
"8","hsa-
miR-1229-3p","PTR_VFC",0.207756076514401,"Chimpanzee","VFC"
"9","hsa-
miR-1229-3p","MML_HIP",0,"Macaque","HIP"
"10","hsa-
miR-1229-3p","MML_MFC",0,"Macaque","MFC"
"11","hsa-
miR-1229-3p","MML_OFC",0,"Macaque","OFC"
"12","hsa-
miR-1229-3p","MML_VFC",0,"Macaque","VFC"
"13","hsa-
miR-134-5p","HSA_HIP",10.1818505975642,"Human","HIP"
"14","hsa-
miR-134-5p","HSA_MFC",9.99687442032176,"Human","MFC"
"15","hsa-
miR-134-5p","HSA_OFC",9.82159527109216,"Human","OFC"
"16","hsa-
miR-134-5p","HSA_VFC",9.67432716819085,"Human","VFC"
"17","hsa-
miR-134-5p","PTR_HIP",10.553393466326,"Chimpanzee","HIP"
"18","hsa-
miR-134-5p","PTR_MFC",10.4393635990925,"Chimpanzee","MFC"
"19","hsa-
miR-134-5p","PTR_OFC",10.1754891613072,"Chimpanzee","OFC"
"20","hsa-
miR-134-5p","PTR_VFC",10.1716875417628,"Chimpanzee","VFC"
"21","hsa-
miR-134-5p","MML_HIP",10.2523124934065,"Macaque","HIP"
"22","hsa-
miR-134-5p","MML_MFC",10.07944251212,"Macaque","MFC"
"23","hsa-
miR-134-5p","MML_OFC",9.51741805931549,"Macaque","OFC"
"24","hsa-
miR-134-5p","MML_VFC",9.4759764179491,"Macaque","VFC"
