"","Diff","Target","Sample","Content","Cq.mean","Cond","Cond.plot","CQ.mean.U6","normU6","normU6.exp","val.Empty","norm.emp"
"1","p1","miR-1229","p1_Ctrl","Unkn-13",30.43484209724,"pLNA-Ctrl","Ctrl",20.7468347900099,9.68800730723003,0.0012123253942669,0.0018475710338132,0.656172548757048
"2","p1","miR-1229","p1_pLNA-181c","Unkn-21",30.1008780721414,"pLNA-181c","pL-181c",20.4184005737952,9.6824774983462,0.00121698111980678,0.0018475710338132,0.658692465693758
"3","p1","miR-1229","p1_pLNA-1229","Unkn-29",31.5256994535672,"pLNA-1229","pL-1229",20.9094519094284,10.6162475441388,0.000637075711341218,0.0018475710338132,0.344817979759273
"4","p1","miR-1229","p1_Empty","Unkn-05",29.8231518174883,"Empty","Empty",20.7429973657551,9.08015445173316,0.0018475710338132,0.0018475710338132,1
"5","p1","miR-1229","p1_pLNA-3943","Unkn-37",30.3700779864901,"pLNA-3943","pL-3943",20.3612015844623,10.0088764020278,0.000970572495871095,0.0018475710338132,0.525323507517832
"6","p1","miR-181c","p1_Ctrl","Unkn-11",27.4340432524359,"pLNA-Ctrl","Ctrl",20.7468347900099,6.687208462426,0.00970397492288961,0.011271071176735,0.860962970664216
"7","p1","miR-181c","p1_pLNA-181c","Unkn-19",27.9007462447051,"pLNA-181c","pL-181c",20.4184005737952,7.48234567090982,0.00559228781805403,0.011271071176735,0.496162940537297
"8","p1","miR-181c","p1_pLNA-1229","Unkn-27",27.6005588503716,"pLNA-1229","pL-1229",20.9094519094284,6.69110694094323,0.00967778805093807,0.011271071176735,0.858639600370397
"9","p1","miR-181c","p1_Empty","Unkn-03",27.2142289230786,"Empty","Empty",20.7429973657551,6.47123155732347,0.011271071176735,0.011271071176735,1
"10","p1","miR-181c","p1_pLNA-3943","Unkn-35",27.5972514075564,"pLNA-3943","pL-3943",20.3612015844623,7.2360498230941,0.00663333534091749,0.011271071176735,0.58852749990698
"16","p2","miR-1229","p2_Ctrl","Unkn-53",30.5151383365645,"pLNA-Ctrl","Ctrl",20.4044191263183,10.1107192102462,0.00090442017155107,0.00125830000629155,0.718763543693027
"17","p2","miR-1229","p2_pLNA-181c","Unkn-59",30.5399749232532,"pLNA-181c","pL-181c",20.4597960912513,10.0801788320019,0.000923769905881247,0.00125830000629155,0.734141223287263
"18","p2","miR-1229","p2_pLNA-1229","Unkn-63",31.6154475777469,"pLNA-1229","pL-1229",20.6421330615614,10.9733145161855,0.000497397019739075,0.00125830000629155,0.395292869150498
"19","p2","miR-1229","p2_Empty","Unkn-45",30.2125225368667,"Empty","Empty",20.5782141855413,9.63430835132537,0.00125830000629155,0.00125830000629155,1
"20","p2","miR-1229","p2_pLNA-3943","Unkn-67",30.4483494951872,"pLNA-3943","pL-3943",20.7943690070083,9.65398048817893,0.00124125867145609,0.00125830000629155,0.98645685865831
"21","p2","miR-181c","p2_Ctrl","Unkn-51",26.9240708206253,"pLNA-Ctrl","Ctrl",20.4044191263183,6.51965169430704,0.0108990659057239,0.0104249635652163,1.04547760167618
"22","p2","miR-181c","p2_pLNA-181c","Unkn-58",28.2309761112469,"pLNA-181c","pL-181c",20.4597960912513,7.77118001999557,0.00457764081033149,0.0104249635652163,0.439103770645793
"23","p2","miR-181c","p2_pLNA-1229","Unkn-62",27.1879469007643,"pLNA-1229","pL-1229",20.6421330615614,6.54581383920294,0.0107032011740456,0.0104249635652163,1.02668955215898
"24","p2","miR-181c","p2_Empty","Unkn-43",27.1620280337922,"Empty","Empty",20.5782141855413,6.58381384825093,0.0104249635652163,0.0104249635652163,1
"25","p2","miR-181c","p2_pLNA-3943","Unkn-66",27.6048246987724,"pLNA-3943","pL-3943",20.7943690070083,6.81045569176417,0.00890940194901557,0.0104249635652163,0.854621878846893
"31","p3","miR-1229","p3_Ctrl","Unkn-75",29.92948081446,"pLNA-Ctrl","Ctrl",21.4034633518958,8.52601746256423,0.00271277016362748,0.00283943203372026,0.955391828862752
"32","p3","miR-1229","p3_pLNA-181c","Unkn-79",29.4025629219419,"pLNA-181c","pL-181c",21.2216033702979,8.18095955164403,0.00344576600173046,0.00283943203372026,1.21354058164082
"33","p3","miR-1229","p3_pLNA-1229","Unkn-83",31.0127306081595,"pLNA-1229","pL-1229",21.459568965167,9.5531616429925,0.00133110339782029,0.00283943203372026,0.468792132374539
"34","p3","miR-1229","p3_Empty","Unkn-71",29.584028029378,"Empty","Empty",21.1238461237129,8.46018190566503,0.00283943203372026,0.00283943203372026,1
"35","p3","miR-1229","p3_pLNA-3943","Unkn-87",29.8207257805926,"pLNA-3943","pL-3943",21.5971970641944,8.22352871639817,0.00334557820437281,0.00283943203372026,1.17825613173399
"36","p3","miR-181c","p3_Ctrl","Unkn-74",28.4349631647556,"pLNA-Ctrl","Ctrl",21.4034633518958,7.03149981285987,0.00764377054747628,0.00859819998632279,0.888996599245804
"37","p3","miR-181c","p3_pLNA-181c","Unkn-78",29.3763301616314,"pLNA-181c","pL-181c",21.2216033702979,8.15472679133357,0.00350899403025408,0.00859819998632279,0.408107980255851
"38","p3","miR-181c","p3_pLNA-1229","Unkn-82",28.2998686977033,"pLNA-1229","pL-1229",21.459568965167,6.84029973253627,0.00872699246867645,0.00859819998632279,1.01497900520557
"39","p3","miR-181c","p3_Empty","Unkn-70",27.9855957418872,"Empty","Empty",21.1238461237129,6.86174961817423,0.00859819998632279,0.00859819998632279,1
"40","p3","miR-181c","p3_pLNA-3943","Unkn-86",28.238537816186,"pLNA-3943","pL-3943",21.5971970641944,6.6413407519916,0.0100174508950679,0.00859819998632279,1.16506372391928
"46","p4","miR-1229","p4_Ctrl","Unkn-14",30.7814090971684,"pLNA-Ctrl","Ctrl",21.072289939795,9.7091191573734,0.00119471386037712,0.00121142813359304,0.98620283551915
