"","TimePoint","Cond","DendriteArea","SomaArea","Count_MaskPSDbySYNdend","Count_MaskedNuclei","Count_MaskedRotSynbyPSDDend","SynapseCounts","Count_PSDMaskByDEND","Count_SynMaskByDend","FileName_MAP2","ImageNumber","Synapses_by_length","Math_RandomParticlesPerCell","Synapses_by_area","Synapses_by_Cell","Mean_IntegrIntensity_PSD95inDend","Mean_Intensity_PSD95inDend","Mean_IntegrIntensity_SyninDend","Mean_Intensity_SyninDend","CVS","Image","Length","Length_um","CVSi","DendriteArea_um2","Synapses_perArea_um2","Synapses_perLength_um","PSD_per_length_micron","PSD_per_area","PSD_per_area_um2","Syn_per_length_micron","Syn_per_area","Syn_per_area_um2","Differentiation","Day","Condition","Blinding","day","isEmpty","isEmpty2"
"1","A","1",13918,22419,4,1,0,4,12,9,"A_1_CS-L_1.tif",1,0.00307455803228286,0,0.000287397614599799,4,1.62176953814924,0.140518095844228,14.4690979454252,0.30480816364274,"CS-L","1.tif",1301,91.9220252520614,"A_1_CS-L",69.4802556270499,0.0575703120821957,0.043515142198309,0.130545426594927,0.000862192843799396,0.172710936246587,0.0979090699461952,0.000646644632849547,0.12953320218494,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"2","A","1",57846,43855,24,2,0,23,55,72,"A_1_CS-L_2.tif",2,0.00482079228673234,0,0.00039760744044532,11.5,3.25672666471113,0.186106222400708,15.8685636455193,0.30938542794083,"CS-L","2.tif",4771,337.094529191072,"A_1_CS-L",288.77388037091,0.0796470926333714,0.0682301194718088,0.16315898134563,0.000950800401064896,0.190460438905888,0.213589939216097,0.00124468416139405,0.249330029113163,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"3","A","1",54380,49825,4,2,2,4,40,31,"A_1_CS-L_3.tif",3,0.000894054537326777,1,7.35564545788893e-05,2,1.98582513481379,0.175537840678202,15.2798017407617,0.343776684498537,"CS-L","3.tif",4474,316.110023810701,"A_1_CS-L",271.471210015733,0.0147345274652446,0.0126538220831471,0.126538220831471,0.000735564545788893,0.147345274652446,0.0980671211443898,0.000570062522986392,0.114192587855645,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"4","A","1",44390,51822,7,2,0,7,25,50,"A_1_CS-L_4.tif",4,0.00265957446808511,0,0.000157693174138319,3.5,2.41614587783813,0.200970575670856,14.4731786218286,0.310151658244622,"CS-L","4.tif",2632,185.963697512241,"A_1_CS-L",221.59998184256,0.0315884502417211,0.0376417553191489,0.134434840425532,0.000563189907636855,0.112815893720433,0.268869680851064,0.00112637981527371,0.225631787440865,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"5","A","1",32057,41838,2,2,0,2,26,3,"A_1_CS-L_5.tif",5,0.00072463768115942,0,6.23888698256231e-05,1,1.89978696807073,0.11592748423005,8.2875816822052,0.260918865900357,"CS-L","5.tif",2760,195.007524746879,"A_1_CS-L",160.032228383125,0.0124974826646286,0.0102560144927536,0.133328188405797,0.0008110553077331,0.162467274640172,0.0153840217391304,9.35833047384347e-05,0.0187462239969429,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"6","A","1",38762,24479,3,1,0,3,22,36,"A_1_CS-L_6.tif",6,0.000997340425531915,0,7.73953872349208e-05,3,1.9379290796139,0.158033248210286,14.2549236077401,0.388007269226582,"CS-L","6.tif",3008,212.52994001399,"A_1_CS-L",193.504359003859,0.0155035267186936,0.0141156582446808,0.10351482712766,0.000567566173056086,0.113692529270419,0.16938789893617,0.00092874464681905,0.186042320624323,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"7","A","1",39782,47887,5,2,0,3,26,37,"A_1_CS-L_7.tif",7,0.000939555277168807,0,7.54109898949274e-05,1.5,2.25781173602893,0.171017684927563,11.8021247088909,0.302190882127124,"CS-L","7.tif",3193,225.601096564052,"A_1_CS-L",198.596316234754,0.0151060203778091,0.0132978077043533,0.115247666771062,0.000653561912422704,0.130918843274345,0.164006295020357,0.000930068875370771,0.186307584659645,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"8","A","1",24990,24067,11,1,0,9,25,45,"A_1_CS-L_8.tif",8,0.00425330812854442,0,0.000360144057623049,9,2.645352255404,0.185681542194233,19.4729127248128,0.352693739330042,"CS-L","8.tif",2116,149.505768972607,"A_1_CS-L",124.752952156918,0.0721425813529412,0.0601983459357278,0.167217627599244,0.00100040016006403,0.200396059313726,0.300991729678639,0.00180072028811525,0.360712906764706,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"9","A","1",19482,24512,3,1,0,3,19,12,"A_1_CS-R_1.tif",9,0.00156821745948772,0,0.000153988296889436,3,1.46998349969324,0.121698561388822,15.351302108417,0.363550918503296,"CS-R","1.tif",1913,135.162824217674,"A_1_CS-R",97.2563831100867,0.0308463044179242,0.0221954521693675,0.140571197072661,0.000975259213633097,0.195359927980187,0.0887818086774699,0.000615953187557746,0.123385217671697,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
"10","A","1",26453,18856,6,1,0,7,29,28,"A_1_CS-R_2.tif",10,0.00303555941023417,0,0.000264620269912675,7,1.79485665981112,0.137470446834392,10.3904304142509,0.284812942920254,"CS-R","2.tif",2306,162.930200024023,"A_1_CS-R",132.056416302799,0.0530076477613125,0.0429631830008673,0.177990329575022,0.00109628397535251,0.219603112154009,0.171852732003469,0.0010584810796507,0.21203059104525,"p1","Day21","pLNA-1229","A_1",21,"p6","p8"
