"","TimePoint","Cond","ImageNumber","ObjectNumber","File","NumberBranchEnds","NumberNonTrunkBranches","NumberTrunks","TotalObjectSkeletonLength","CVS","Image","Differentiation","Day","Condition","Blinding","day","TotalLength_um","CVSi","Imagei","isEmpty","isEmpty2"
"1","A","1",1,1,"A_1_1_1",4,4,3,87.2548360228539,"1","1","p1","Day21","pLNA-1229","A_1",21,6.16498173732302,"A_1_1","A_1_1_1","p6","p8"
"2","A","1",1,2,"A_1_1_1",3,0,4,132.083262145519,"1","1","p1","Day21","pLNA-1229","A_1",21,9.33232971430827,"A_1_1","A_1_1_1","p6","p8"
"3","A","1",1,3,"A_1_1_1",7,2,5,328.634564995766,"1","1","p1","Day21","pLNA-1229","A_1",21,23.2196424152506,"A_1_1","A_1_1_1","p6","p8"
"4","A","1",1,4,"A_1_1_1",6,2,4,219.65180850029,"1","1","p1","Day21","pLNA-1229","A_1",21,15.5194766238467,"A_1_1","A_1_1_1","p6","p8"
"5","A","1",1,5,"A_1_1_1",4,1,3,112.112699866295,"1","1","p1","Day21","pLNA-1229","A_1",21,7.9213116281217,"A_1_1","A_1_1_1","p6","p8"
"6","A","1",1,6,"A_1_1_1",0,0,1,0,"1","1","p1","Day21","pLNA-1229","A_1",21,0,"A_1_1","A_1_1_1","p6","p8"
"7","A","1",1,7,"A_1_1_1",8,6,4,272.291418015957,"1","1","p1","Day21","pLNA-1229","A_1",21,19.2387229844599,"A_1_1","A_1_1_1","p6","p8"
"8","A","1",1,8,"A_1_1_1",2,0,2,55.4264076352119,"1","1","p1","Day21","pLNA-1229","A_1",21,3.91614730382398,"A_1_1","A_1_1_1","p6","p8"
"9","A","1",1,9,"A_1_1_1",0,0,0,0,"1","1","p1","Day21","pLNA-1229","A_1",21,0,"A_1_1","A_1_1_1","p6","p8"
"10","A","1",1,10,"A_1_1_1",4,3,2,157.409165561199,"1","1","p1","Day21","pLNA-1229","A_1",21,11.1217288944062,"A_1_1","A_1_1_1","p6","p8"
"11","A","1",1,11,"A_1_1_1",2,1,1,50.5563501119614,"1","1","p1","Day21","pLNA-1229","A_1",21,3.57205387520659,"A_1_1","A_1_1_1","p6","p8"
"12","A","1",1,12,"A_1_1_1",2,0,4,149.52691334486,"1","1","p1","Day21","pLNA-1229","A_1",21,10.564809150153,"A_1_1","A_1_1_1","p6","p8"
"13","A","1",1,13,"A_1_1_1",2,1,1,129.426409542561,"1","1","p1","Day21","pLNA-1229","A_1",21,9.14461005861252,"A_1_1","A_1_1_1","p6","p8"
"14","A","1",1,14,"A_1_1_1",3,1,2,175.024390101433,"1","1","p1","Day21","pLNA-1229","A_1",21,12.3663308275408,"A_1_1","A_1_1_1","p6","p8"
"15","A","1",1,15,"A_1_1_1",4,1,3,155.154331505299,"1","1","p1","Day21","pLNA-1229","A_1",21,10.9624138190598,"A_1_1","A_1_1_1","p6","p8"
