"","file_name","x","condition","Differentiation","DishID"
"1","2023_05_22_0003",4.0367311156503,"pLNA-1229","m1","m1.pLNA-1229"
"2","2023_05_22_0005",3.8654766333446,"pLNA-1229","m1","m1.pLNA-1229"
"3","2023_05_22_0007",3.43951604269382,"pLNA-1229","m1","m1.pLNA-1229"
"4","2023_05_22_0010",3.45873452754051,"pLNA-1229","m1","m1.pLNA-1229"
"5","2023_05_22_0012",3.68365670684439,"pLNA-1229","m1","m1.pLNA-1229"
"6","2023_05_22_0014",3.27666785295858,"pLNA-1229","m1","m1.pLNA-1229"
"7","2023_05_22_0018",3.44274232616418,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"8","2023_05_22_0021",3.87666761407452,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"9","2023_05_22_0023",3.19811379140586,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"10","2023_05_22_0026",3.53061118843463,"pLNA-1229","m1","m1.pLNA-1229"
"11","2023_05_22_0028",3.30208836981084,"pLNA-1229","m1","m1.pLNA-1229"
"12","2023_05_23_0001",3.46057312477619,"pLNA-1229","m1","m1.pLNA-1229"
"13","2023_05_23_0005",3.56868059073651,"pLNA-1229","m1","m1.pLNA-1229"
"14","2023_05_23_0008",3.48885910074494,"pLNA-1229","m1","m1.pLNA-1229"
"15","2023_05_23_0010",3.32524028723561,"pLNA-1229","m1","m1.pLNA-1229"
"16","2023_05_23_0017",3.71185222187711,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"17","2023_05_23_0019",3.41086175336551,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"18","2023_05_23_0021",3.17290063485745,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"19","2023_05_23_0026",3.51079776147026,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"20","2023_05_31_0001",3.57379567607846,"pLNA-Ctrl","m2","m2.pLNA-Ctrl"
"21","2023_05_31_0006",3.27717007131904,"pLNA-Ctrl","m2","m2.pLNA-Ctrl"
"22","2023_05_31_0010",3.88813505025692,"pLNA-1229","m2","m2.pLNA-1229"
"23","2023_05_31_0012",3.51977824426225,"pLNA-1229","m2","m2.pLNA-1229"
"24","2023_05_31_0016",3.95524920882675,"pLNA-1229","m2","m2.pLNA-1229"
"25","2023_05_31_0018",3.70346703865964,"pLNA-1229","m2","m2.pLNA-1229"
"26","2023_05_31_0020",3.48082181262371,"pLNA-1229","m2","m2.pLNA-1229"
"27","2023_05_31_0022",3.80692938349792,"pLNA-1229","m2","m2.pLNA-1229"
"28","2023_06_05_0001",3.39473324095018,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"29","2023_06_05_0003",3.04624671613147,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"30","2023_06_05_0009",3.17090421841517,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"31","2023_06_05_0011",3.33598117625686,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"32","2023_06_06_0002",2.98428944718169,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"33","2023_06_06_0008",3.65412158168043,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"34","2023_06_06_0012",3.40686782856257,"pLNA-1229","m3","m3.pLNA-1229"
"35","2023_06_06_0015",3.42492295958412,"pLNA-1229","m3","m3.pLNA-1229"
"36","2023_06_06_0017",4.49397838154798,"pLNA-1229","m3","m3.pLNA-1229"
