"","file_name","x","condition","Differentiation","DishID"
"1","2023_05_22_0003",3.63288303072845,"pLNA-1229","m1","m1.pLNA-1229"
"2","2023_05_22_0005",3.45501316326444,"pLNA-1229","m1","m1.pLNA-1229"
"3","2023_05_22_0007",3.07866999079527,"pLNA-1229","m1","m1.pLNA-1229"
"4","2023_05_22_0010",2.98478405631024,"pLNA-1229","m1","m1.pLNA-1229"
"5","2023_05_22_0012",3.25673262468746,"pLNA-1229","m1","m1.pLNA-1229"
"6","2023_05_22_0014",2.94718992557305,"pLNA-1229","m1","m1.pLNA-1229"
"7","2023_05_22_0018",3.09686749587845,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"8","2023_05_22_0021",3.4186610558289,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"9","2023_05_22_0023",2.7382499223961,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"10","2023_05_22_0026",3.03075197826354,"pLNA-1229","m1","m1.pLNA-1229"
"11","2023_05_22_0028",2.81625931080011,"pLNA-1229","m1","m1.pLNA-1229"
"12","2023_05_23_0001",2.93894109877759,"pLNA-1229","m1","m1.pLNA-1229"
"13","2023_05_23_0005",3.06830361084487,"pLNA-1229","m1","m1.pLNA-1229"
"14","2023_05_23_0008",2.87330267501679,"pLNA-1229","m1","m1.pLNA-1229"
"15","2023_05_23_0010",2.90756487862378,"pLNA-1229","m1","m1.pLNA-1229"
"16","2023_05_23_0017",3.17889711424658,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"17","2023_05_23_0019",3.09395550264443,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"18","2023_05_23_0021",2.73421111844051,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"19","2023_05_23_0026",3.11162233854851,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"20","2023_05_31_0001",2.89351501274087,"pLNA-Ctrl","m2","m2.pLNA-Ctrl"
"21","2023_05_31_0006",2.79757897298664,"pLNA-Ctrl","m2","m2.pLNA-Ctrl"
"22","2023_05_31_0010",3.23862178907841,"pLNA-1229","m2","m2.pLNA-1229"
"23","2023_05_31_0012",3.01927558208736,"pLNA-1229","m2","m2.pLNA-1229"
"24","2023_05_31_0016",3.35313753915007,"pLNA-1229","m2","m2.pLNA-1229"
"25","2023_05_31_0018",3.21890974647987,"pLNA-1229","m2","m2.pLNA-1229"
"26","2023_05_31_0020",2.98344192036312,"pLNA-1229","m2","m2.pLNA-1229"
"27","2023_05_31_0022",3.31876721174319,"pLNA-1229","m2","m2.pLNA-1229"
"28","2023_06_05_0001",2.87249786628914,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"29","2023_06_05_0003",2.58221317797688,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"30","2023_06_05_0009",2.73259570886829,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"31","2023_06_05_0011",2.74037372379109,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"32","2023_06_06_0002",2.54447581783259,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"33","2023_06_06_0008",3.2883457822209,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"34","2023_06_06_0012",2.87228957937947,"pLNA-1229","m3","m3.pLNA-1229"
"35","2023_06_06_0015",2.99358508509789,"pLNA-1229","m3","m3.pLNA-1229"
"36","2023_06_06_0017",3.944396618505,"pLNA-1229","m3","m3.pLNA-1229"
