"","file_name","x","condition","Differentiation","DishID"
"1","2023_05_22_0003",29.5606518164079,"pLNA-1229","m1","m1.pLNA-1229"
"2","2023_05_22_0005",17.6911658252446,"pLNA-1229","m1","m1.pLNA-1229"
"3","2023_05_22_0007",12.2888813930745,"pLNA-1229","m1","m1.pLNA-1229"
"4","2023_05_22_0010",18.4222301977353,"pLNA-1229","m1","m1.pLNA-1229"
"5","2023_05_22_0012",21.2762918452332,"pLNA-1229","m1","m1.pLNA-1229"
"6","2023_05_22_0014",13.7001300170153,"pLNA-1229","m1","m1.pLNA-1229"
"7","2023_05_22_0018",12.9201641035809,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"8","2023_05_22_0021",17.4434417006543,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"9","2023_05_22_0023",23.5270567257532,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"10","2023_05_22_0026",17.6157589962965,"pLNA-1229","m1","m1.pLNA-1229"
"11","2023_05_22_0028",14.2122024219884,"pLNA-1229","m1","m1.pLNA-1229"
"12","2023_05_23_0001",24.8610317533436,"pLNA-1229","m1","m1.pLNA-1229"
"13","2023_05_23_0005",22.4557417599031,"pLNA-1229","m1","m1.pLNA-1229"
"14","2023_05_23_0008",24.373446903827,"pLNA-1229","m1","m1.pLNA-1229"
"15","2023_05_23_0010",14.3305359556908,"pLNA-1229","m1","m1.pLNA-1229"
"16","2023_05_23_0017",16.6455309257348,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"17","2023_05_23_0019",12.2302720344459,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"18","2023_05_23_0021",8.82515179624031,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"19","2023_05_23_0026",12.3215496875035,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"20","2023_05_31_0001",22.5907878322976,"pLNA-Ctrl","m2","m2.pLNA-Ctrl"
"21","2023_05_31_0006",20.9780060301727,"pLNA-Ctrl","m2","m2.pLNA-Ctrl"
"22","2023_05_31_0010",23.6890820627018,"pLNA-1229","m2","m2.pLNA-1229"
"23","2023_05_31_0012",26.9015646758041,"pLNA-1229","m2","m2.pLNA-1229"
"24","2023_05_31_0016",23.564209311222,"pLNA-1229","m2","m2.pLNA-1229"
"25","2023_05_31_0018",25.8872805456131,"pLNA-1229","m2","m2.pLNA-1229"
"26","2023_05_31_0020",23.6935009920447,"pLNA-1229","m2","m2.pLNA-1229"
"27","2023_05_31_0022",22.0894130608949,"pLNA-1229","m2","m2.pLNA-1229"
"28","2023_06_05_0009",26.3985227509711,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"29","2023_06_05_0011",18.9700239787557,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"30","2023_06_06_0012",23.3628601960422,"pLNA-1229","m3","m3.pLNA-1229"
"31","2023_06_06_0015",18.7304651656355,"pLNA-1229","m3","m3.pLNA-1229"
"32","2023_06_06_0017",29.3028681370047,"pLNA-1229","m3","m3.pLNA-1229"
