"","file_name","x","condition","Differentiation","DishID"
"1","2023_05_22_0003",9.66011099605583,"pLNA-1229","m1","m1.pLNA-1229"
"2","2023_05_22_0005",8.80211963344871,"pLNA-1229","m1","m1.pLNA-1229"
"3","2023_05_22_0007",8.35610979726873,"pLNA-1229","m1","m1.pLNA-1229"
"4","2023_05_22_0010",9.3912124405874,"pLNA-1229","m1","m1.pLNA-1229"
"5","2023_05_22_0012",9.67880188045417,"pLNA-1229","m1","m1.pLNA-1229"
"6","2023_05_22_0014",7.65235591145748,"pLNA-1229","m1","m1.pLNA-1229"
"7","2023_05_22_0018",8.01687803211654,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"8","2023_05_22_0021",9.08863822746054,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"9","2023_05_22_0023",9.11422064719835,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"10","2023_05_22_0026",9.23388062042418,"pLNA-1229","m1","m1.pLNA-1229"
"11","2023_05_22_0028",9.19706958834137,"pLNA-1229","m1","m1.pLNA-1229"
"12","2023_05_23_0001",10.4569207426942,"pLNA-1229","m1","m1.pLNA-1229"
"13","2023_05_23_0005",9.92226892292516,"pLNA-1229","m1","m1.pLNA-1229"
"14","2023_05_23_0008",10.3119673239128,"pLNA-1229","m1","m1.pLNA-1229"
"15","2023_05_23_0010",8.7157394516634,"pLNA-1229","m1","m1.pLNA-1229"
"16","2023_05_23_0017",9.10548129912423,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"17","2023_05_23_0019",7.64880540112548,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"18","2023_05_23_0021",7.9852809769751,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"19","2023_05_23_0026",7.87143889255367,"pLNA-Ctrl","m1","m1.pLNA-Ctrl"
"20","2023_05_31_0001",9.40412416759531,"pLNA-Ctrl","m2","m2.pLNA-Ctrl"
"21","2023_05_31_0006",9.23360002045027,"pLNA-Ctrl","m2","m2.pLNA-Ctrl"
"22","2023_05_31_0010",9.51073779854765,"pLNA-1229","m2","m2.pLNA-1229"
"23","2023_05_31_0012",9.82767921382584,"pLNA-1229","m2","m2.pLNA-1229"
"24","2023_05_31_0016",10.1971929765451,"pLNA-1229","m2","m2.pLNA-1229"
"25","2023_05_31_0018",9.97448038257859,"pLNA-1229","m2","m2.pLNA-1229"
"26","2023_05_31_0020",9.94284747184898,"pLNA-1229","m2","m2.pLNA-1229"
"27","2023_05_31_0022",9.6663797492166,"pLNA-1229","m2","m2.pLNA-1229"
"28","2023_06_05_0009",9.13024105080504,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"29","2023_06_05_0011",9.02179722571602,"pLNA-Ctrl","m3","m3.pLNA-Ctrl"
"30","2023_06_06_0012",9.76828070952914,"pLNA-1229","m3","m3.pLNA-1229"
"31","2023_06_06_0015",8.85500290583384,"pLNA-1229","m3","m3.pLNA-1229"
"32","2023_06_06_0017",9.94269145740512,"pLNA-1229","m3","m3.pLNA-1229"
