"","Novogene","Dnase","Sample.Name","diff","condition","condition2","isEmpty","SV1","SV2","SV3"
"B_18","B_18","Yes","p1_Empty","p1","Empty","control",TRUE,-0.00155778783831906,-0.524764289538031,-0.304612856913754
"B_20","B_20","Yes","p1_pLNA-181c","p1","pLNA-181c","pLNA-181c",FALSE,0.0279350762116882,-0.111643501594594,-0.107571343323223
"B_9","B_9","Yes","p1_pLNA-Ctrl","p1","pLNA-Ctrl","control",FALSE,0.147805644310015,-0.228342209080841,-0.0830067932594199
"B_7","B_7","Yes","p2_Empty","p2","Empty","control",TRUE,0.235981103801054,0.0920498271317094,-0.0603736983393964
"B_16","B_16","Yes","p2_pLNA-1229","p2","pLNA-1229","pLNA-1229",FALSE,0.086471467229867,-0.233931389024341,0.100186926507634
"B_5","B_5","Yes","p2_pLNA-181c","p2","pLNA-181c","pLNA-181c",FALSE,0.0883424944412873,0.186743582940456,0.0980007042417207
"B_10","B_10","Yes","p2_pLNA-Ctrl","p2","pLNA-Ctrl","control",FALSE,0.343567822936929,-0.125335648831498,0.0926871057633336
"B_13","B_13","Yes","p3_Empty","p3","Empty","control",TRUE,-0.458985318167711,0.0185830209599516,0.325498711734635
"B_11","B_11","Yes","p3_pLNA-1229","p3","pLNA-1229","pLNA-1229",FALSE,-0.238276856450412,-0.129349546291322,-0.441539634605317
"B_15","B_15","Yes","p3_pLNA-181c","p3","pLNA-181c","pLNA-181c",FALSE,-0.325176830830021,0.0928175564134638,0.117481354998092
"B_3","B_3","Yes","p3_pLNA-Ctrl","p3","pLNA-Ctrl","control",FALSE,-0.467338585062934,-0.0157870798553893,-0.102845425207539
"B_1","B_1","Yes","p4_Empty","p4","Empty","control",TRUE,0.108721760381171,0.139631600666717,0.102832113423179
"B_6","B_6","Yes","p4_pLNA-1229","p4","pLNA-1229","pLNA-1229",FALSE,0.188034509292134,0.299504257203637,0.158965569600556
"B_19","B_19","Yes","p4_pLNA-181c","p4","pLNA-181c","pLNA-181c",FALSE,-0.0778437092480382,0.0235778855086747,0.473819783356876
"B_17","B_17","Yes","p4_pLNA-Ctrl","p4","pLNA-Ctrl","control",FALSE,0.166943615350228,-0.0589158501910408,0.143098130101911
