"","logFC","logCPM","LR","PValue","FDR","names","dir","symbol"
"ENSG00000121410.A1BG",0.0229633152567265,4.6599704627984,0.0888964087458568,0.765584859368291,0.996924660785995,"ENSG00000121410.A1BG","upr","A1BG"
"ENSG00000175899.A2M",-0.0828699302812619,5.85151587303907,0.450796572985158,0.501956917117194,0.99560395403542,"ENSG00000175899.A2M","downr","A2M"
"ENSG00000128274.A4GALT",-0.00398663864238443,4.32631383872175,0.00235126305218891,0.961325874005355,0.996924660785995,"ENSG00000128274.A4GALT","downr","A4GALT"
"ENSG00000094914.AAAS",-0.0176353247002297,4.86853131540745,0.0503347496767574,0.822481804897166,0.996924660785995,"ENSG00000094914.AAAS","downr","AAAS"
"ENSG00000081760.AACS",0.0858904895360029,4.42756459861289,0.963384824078174,0.3263355446364,0.986816411214075,"ENSG00000081760.AACS","upr","AACS"
"ENSG00000109576.AADAT",0.0541223247845417,3.96275139440883,0.378744283879954,0.538276041637362,0.996924660785995,"ENSG00000109576.AADAT","upr","AADAT"
"ENSG00000103591.AAGAB",-0.0250018731404689,6.36770901508584,0.0649515828345457,0.798834318006679,0.996924660785995,"ENSG00000103591.AAGAB","downr","AAGAB"
"ENSG00000115977.AAK1",0.0916389210629047,4.25616798129743,0.800597148352816,0.37091489194264,0.991943960031022,"ENSG00000115977.AAK1","upr","AAK1"
"ENSG00000087884.AAMDC",-0.108641954446055,4.04396086161798,1.50873360787577,0.219332428306773,0.975716185065013,"ENSG00000087884.AAMDC","downr","AAMDC"
"ENSG00000127837.AAMP",0.0822365963327166,6.47980353658997,2.01731315896818,0.155514105131055,0.933869977524971,"ENSG00000127837.AAMP","upr","AAMP"
"ENSG00000131043.AAR2",-0.0806820458051101,4.65169001434545,1.12064767803358,0.289779034858805,0.986816411214075,"ENSG00000131043.AAR2","downr","AAR2"
"ENSG00000205002.AARD",0.0498914043863612,0.43540627156051,0.0270783095325822,0.869294345110103,0.996924660785995,"ENSG00000205002.AARD","upr","AARD"
"ENSG00000090861.AARS1",0.125350188114739,5.78525887450294,3.71015262093986,0.0540824456203834,0.791521901173198,"ENSG00000090861.AARS1","upr","AARS1"
"ENSG00000124608.AARS2",-0.0608178749785627,2.54415451686373,0.139489783354481,0.708788764356994,0.996924660785995,"ENSG00000124608.AARS2","downr","AARS2"
"ENSG00000266967.AARSD1",0.0914218090762113,6.47399770139892,2.31166113678309,0.128406759369291,0.908101684561009,"ENSG00000266967.AARSD1","upr","AARSD1"
"ENSG00000234969.AARSD1P1",-0.0924344996065596,0.541669590010186,0.0916011377048314,0.762151424221438,0.996924660785995,"ENSG00000234969.AARSD1P1","downr","AARSD1P1"
"ENSG00000157426.AASDH",0.132913149777406,3.46255344651029,1.16225356063142,0.280998661659259,0.986816411214075,"ENSG00000157426.AASDH","upr","AASDH"
"ENSG00000149313.AASDHPPT",-0.0386043586830297,7.87752310854223,0.370968179132543,0.542477000004935,0.996924660785995,"ENSG00000149313.AASDHPPT","downr","AASDHPPT"
"ENSG00000008311.AASS",-0.347955696185905,1.7225424942063,2.58139884667267,0.108126070461545,0.882159105672596,"ENSG00000008311.AASS","downr","AASS"
"ENSG00000276072.AATF",0.168945867939283,4.1234621599224,3.4701382074887,0.0624860896463692,0.81801900247833,"ENSG00000276072.AATF","upr","AATF"
"ENSG00000181409.AATK",0.0497719680085724,2.04548934852202,0.0958847081394136,0.756825181993053,0.996924660785995,"ENSG00000181409.AATK","upr","AATK"
"ENSG00000183044.ABAT",0.0295687100892349,2.95892072192753,0.0619806149145408,0.80339244775057,0.996924660785995,"ENSG00000183044.ABAT","upr","ABAT"
"ENSG00000165029.ABCA1",0.329344565881272,3.75726790734817,8.35630152206594,0.00384352066765756,0.259910523162379,"ENSG00000165029.ABCA1","upr","ABCA1"
"ENSG00000154263.ABCA10",-0.427313380894495,-1.21646115026379,0.864452809757219,0.352495597144974,0.988871060449398,"ENSG00000154263.ABCA10","downr","ABCA10"
"ENSG00000251595.ABCA11P",0.0422856876971714,1.04569884788187,0.0286256390529669,0.865646305093974,0.996924660785995,"ENSG00000251595.ABCA11P","upr","ABCA11P"
"ENSG00000179869.ABCA13",-0.0238581005135929,-0.433688479878034,0.0034990362738565,0.952830521556499,0.996924660785995,"ENSG00000179869.ABCA13","downr","ABCA13"
"ENSG00000238098.ABCA17P",0.203960044392079,0.374686556861064,0.461962852073924,0.496708057656296,0.994929150920909,"ENSG00000238098.ABCA17P","upr","ABCA17P"
"ENSG00000107331.ABCA2",0.105985390661132,2.23102247227794,0.241189553365061,0.623348273769151,0.996924660785995,"ENSG00000107331.ABCA2","upr","ABCA2"
"ENSG00000167972.ABCA3",-0.0212844612784287,5.82664173859661,0.0924173091883631,0.76112625068392,0.996924660785995,"ENSG00000167972.ABCA3","downr","ABCA3"
"ENSG00000154265.ABCA5",-0.024921001651265,4.70282570392692,0.106780192801816,0.74384004600432,0.996924660785995,"ENSG00000154265.ABCA5","downr","ABCA5"
"ENSG00000064687.ABCA7",0.0600133729895964,3.73775793362549,0.297707905486444,0.585322938988488,0.996924660785995,"ENSG00000064687.ABCA7","upr","ABCA7"
"ENSG00000154258.ABCA9",-0.284411817468027,-0.813386154980871,0.366394186550608,0.544976335926274,0.996924660785995,"ENSG00000154258.ABCA9","downr","ABCA9"
"ENSG00000085563.ABCB1",-0.143174529380266,2.37201130960763,0.551268887262191,0.457799690540173,0.992705605531973,"ENSG00000085563.ABCB1","downr","ABCB1"
"ENSG00000135776.ABCB10",-0.0244848585127955,3.39651402892396,0.0467725385776525,0.828777606363137,0.996924660785995,"ENSG00000135776.ABCB10","downr","ABCB10"
"ENSG00000276582.ABCB11",-0.184127717413606,0.896369191267909,0.60166192736394,0.437944627153878,0.992705605531973,"ENSG00000276582.ABCB11","downr","ABCB11"
"ENSG00000115657.ABCB6",0.00179548823143923,4.12897225742885,0.00042783163191018,0.983497659628972,0.998186695465803,"ENSG00000115657.ABCB6","upr","ABCB6"
"ENSG00000131269.ABCB7",-0.0725421059137138,2.78377137919778,0.344981255744328,0.556967962050078,0.996924660785995,"ENSG00000131269.ABCB7","downr","ABCB7"
"ENSG00000197150.ABCB8",0.0288070027582177,3.79270274040167,0.0938524935514682,0.759335475878571,0.996924660785995,"ENSG00000197150.ABCB8","upr","ABCB8"
"ENSG00000150967.ABCB9",-0.250316267491814,3.39590736567157,6.89246725274764,0.00865597146885454,0.404353635754195,"ENSG00000150967.ABCB9","downr","ABCB9"
"ENSG00000278183.ABCC1",0.206101928586107,1.41316564471321,0.762547676522335,0.382532407948229,0.992705605531973,"ENSG00000278183.ABCC1","upr","ABCC1"
"ENSG00000124574.ABCC10",0.0792636328569284,3.6781102967268,0.71767929496239,0.39690619908965,0.992705605531973,"ENSG00000124574.ABCC10","upr","ABCC10"
