"","B_18","B_20","B_9","B_7","B_16","B_5","B_10","B_13","B_11","B_15","B_3","B_1","B_6","B_19","B_17"
"USB1",11.1921839084395,11.2322706814082,11.1986670641804,11.2284943072732,9.23097003394981,11.1850673636636,11.1164086657501,11.2216816834106,9.14238590561551,11.250791233978,11.1893858284757,11.2032350506626,9.12386436887153,11.1746968674233,11.3411333913797
"MT-ND4L",12.6760677027593,12.9830390585299,12.725227108983,12.6567789445454,12.0825327902747,12.8887292055572,12.7005930662804,12.729931036259,11.9169432594896,12.9089759517917,12.7015326103203,12.8314232569478,11.8600792942402,12.8691763226586,12.766848154928
"MT-CYB",15.9549076145551,16.2869134475033,16.0919082319551,16.0465400784416,15.2942316239861,16.1489503785087,15.9994836264001,16.1000080307666,15.1624281266735,16.1048396875071,16.0093796374398,16.1243141971172,15.0471592420771,16.1200158659219,16.1249984250857
"MT-ND5",14.4379644916749,14.6883663336765,14.5671447330311,14.4570632124024,13.8070506752811,14.5858343243331,14.3843637606825,14.5186476300706,13.6067485711955,14.5851177660289,14.4536069853828,14.5450965765867,13.5321841664049,14.632593564276,14.5536564316382
"RAB7A",12.9408024602889,12.8244939977411,12.9473895464741,12.8954347304921,12.4324555359075,12.9048276685906,12.8771151050444,12.9445431222857,12.4213254806179,12.8697351099918,12.9120805420021,12.9163610436113,12.4601513307705,12.7669699603967,12.9605561631576
"LINGO1",10.4970895553629,10.5795377299336,10.5357573041631,10.5654113711673,10.0787583490328,10.5055198901297,10.550423006522,10.5450979977131,10.0061349480016,10.5193653272051,10.5489019763071,10.5863441688332,10.0237428863011,10.3865780343745,10.5588608060843
"NRSN2",11.1316484856156,11.1588849467882,11.1485007867319,11.2129803453411,10.6414708768543,11.2044491457379,11.1727019454673,11.1683319623341,10.7447182463655,11.1837909862376,11.1558273614393,11.1499763576057,10.7348132024162,11.0768991553342,11.1859070572581
"SBK1",10.844406543117,11.0880879741489,10.8956579979583,10.901588224521,10.3621981874423,11.0933120601493,10.831473083669,10.9269425714241,10.3811630524688,11.0712160843519,10.8695847849614,10.9005434479101,10.3544326572105,10.9441246802397,10.9767649203835
"PIANP",9.62584560974635,9.82131948116143,9.71158084463345,9.73291199707321,9.24321724538558,9.86334582441395,9.64441096535855,9.68727783591906,9.2945119762473,9.84768702371657,9.64449957367257,9.69216179414034,9.20861669257641,9.79816769939022,9.73770585321448
"CDK5R2",10.159729295439,10.2093040510835,10.1816998388342,10.2951311714644,9.80503079515079,10.1525199027449,10.1882909235735,10.1546816629593,9.7370998627363,10.1875578169131,10.174762652782,10.1353682366285,9.75502810335594,10.1513619195667,10.2001569513016
