"","GO.ID","Term","Annotated","Significant","Expected","Fold_Enrichment","Rank in Fisher.classic","Fisher.elim","Fisher.classic","Classic_Fishe_BH_Corr","Sig_Genes","up","down","label1","label2","rank"
"1","GO:1902600","proton transmembrane transport",151,22,4.31,5.1,1,5e-08,"2.9e-10",5.8e-08,"c(""ATP1A3"", ""ATP6V0A1"", ""ATP6V0B"", ""ATP6V1A"", ""ATP6V1E1"", ""ATP6V1E2"", ""ATP6V1G2"", ""MT-ATP6"", ""MT-ATP8"", ""MT-CO1"", ""MT-CO2"", ""MT-CYB"", ""MT-ND1"", ""MT-ND2"", ""MT-ND4"", ""MT-ND4L"", ""MT-ND5"", ""NDUFS7"", ""SLC11A2"", ""SLC17A6"", ""SLC36A1"", ""UQCRC1"")",3,19,1.1e-05,101.11,1
"2","GO:0035542","regulation of SNARE complex assembly",14,5,0.4,12.5,21,3e-05,"3.0e-05",0.000533333333333333,"c(""PRRT2"", ""STXBP1"", ""TGFBRAP1"", ""VPS16"", ""VPS39"")",1,4,1.1e-05,101.11,2
"3","GO:1903955","positive regulation of protein targeting...",30,6,0.86,6.98,31,0.00017,"0.00017",0.002,"c(""ATG13"", ""CSNK2A2"", ""GSK3A"", ""HSPA1L"", ""PINK1"", ""SREBF2"")",2,4,1.1e-05,101.11,3
"4","GO:0001666","response to hypoxia",233,20,6.64,3.01,14,2e-04,"1.2e-05",0.000266666666666667,"c(""AIFM1"", ""BECN1"", ""CHRNA4"", ""DRD2"", ""HSD11B2"", ""MMP2"", ""MT-CO1"", ""MT-CO2"", ""MT-CYB"", ""MT-ND1"", ""MT-ND2"", ""MT-ND4"", ""MT-ND5"", ""PINK1"", ""PPARD"", ""SIRT2"", ""SLC11A2"", ""SOD2"", ""SRC"", ""TMBIM6"")",5,15,1.1e-05,101.11,4
"5","GO:0071404","cellular response to low-density lipopro...",23,5,0.66,7.58,44,4e-04,"0.00040",0.00363636363636364,"c(""ABCA1"", ""CD68"", ""CD9"", ""SREBF2"", ""TICAM1"")",2,3,1.1e-05,101.11,5
"6","GO:0006120","mitochondrial electron transport, NADH t...",50,7,1.43,4.9,49,5e-04,"0.00050",0.00434782608695652,"c(""MT-ND1"", ""MT-ND2"", ""MT-ND4"", ""MT-ND4L"", ""MT-ND5"", ""NDUFS7"", ""PINK1"")",2,5,1.1e-05,101.11,6
"7","GO:0042776","proton motive force-driven mitochondrial...",67,8,1.91,4.19,52,0.00061,"0.00061",0.00508333333333333,"c(""MT-ATP6"", ""MT-ATP8"", ""MT-ND1"", ""MT-ND2"", ""MT-ND4"", ""MT-ND4L"", ""MT-ND5"", ""NDUFS7"")",1,7,1.1e-05,101.11,7
"8","GO:0099502","calcium-dependent activation of synaptic...",15,4,0.43,9.3,56,0.00069,"0.00069",0.00511111111111111,"c(""PRRT2"", ""RPH3A"", ""SYT11"", ""SYT5"")",0,4,1.1e-05,101.11,8
"9","GO:0097401","synaptic vesicle lumen acidification",15,4,0.43,9.3,57,0.00069,"0.00069",0.00511111111111111,"c(""ATP6V0A1"", ""ATP6V1A"", ""ATP6V1E1"", ""ATP6V1G2"")",0,4,1.1e-05,101.11,9
"10","GO:0055093","response to hyperoxia",16,4,0.46,8.7,65,9e-04,"0.00090",0.00642857142857143,"c(""MMP2"", ""MT-ATP6"", ""MT-CYB"", ""SOD2"")",2,2,1.1e-05,101.11,10
"11","GO:0051954","positive regulation of amine transport",29,5,0.83,6.02,68,0.00124,"0.00124",0.00855172413793103,"c(""DRD2"", ""PINK1"", ""RAB3B"", ""SLC38A1"", ""STXBP1"")",1,4,1.1e-05,101.11,11
"13","GO:0034067","protein localization to Golgi apparatus",31,5,0.88,5.68,72,0.00169,"0.00169",0.0103030303030303,"c(""PACS1"", ""RAB6A"", ""RIPOR1"", ""SYS1"", ""TMED10"")",0,5,1.1e-05,101.11,12
"14","GO:0051152","positive regulation of smooth muscle cel...",9,3,0.26,11.54,73,0.0017,"0.00170",0.0103030303030303,"c(""OLFM2"", ""PIAS1"", ""SOD2"")",1,2,1.1e-05,101.11,13
"15","GO:0030007","intracellular potassium ion homeostasis",9,3,0.26,11.54,74,0.0017,"0.00170",0.0103030303030303,"c(""ATP1A3"", ""ATP1B2"", ""KCTD7"")",0,3,1.1e-05,101.11,14
"16","GO:0032981","mitochondrial respiratory chain complex ...",62,7,1.77,3.95,76,0.00185,"0.00185",0.0105555555555556,"c(""AIFM1"", ""FOXRED1"", ""MT-ND1"", ""MT-ND2"", ""MT-ND4"", ""MT-ND5"", ""NDUFS7"")",3,4,1.1e-05,101.11,15
