"","B_18","B_20","B_9","B_7","B_16","B_5","B_10","B_13","B_11","B_15","B_3","B_1","B_6","B_19","B_17"
"MT-ATP6",15.6633870139234,15.9269703432375,15.663310829421,15.6000771428336,15.5816428529595,15.7888530803206,15.7558604380715,15.7415516594008,15.45153493365,15.7304144595974,15.6716305340541,15.8148540467199,15.3410954220257,15.8517837220458,15.7290680613313
"MT-ATP8",11.6705803836233,11.8886277117074,11.7102638843728,11.6337558759402,11.4651465574754,11.9129740233722,11.5953386335344,11.7564002293911,11.252344202831,11.8184033364165,11.614083398818,11.7234486908569,11.2458296234806,11.6327024962094,11.8644992630865
"MT-CO1",17.2694760280709,17.437696488165,17.2789993927553,17.2836809890641,16.9072950786776,17.5080145876485,17.049653203885,17.1949010651964,16.6711159955756,17.5098743547712,17.156420971335,17.0417522075142,16.8047753079546,17.4341396279733,17.3047367218704
"MT-CO2",17.278455752797,17.4609231184444,17.345214943979,17.3204657413581,17.0439199623008,17.3381191436595,17.3564084318582,17.349005638126,16.9506779110044,17.3489074332271,17.3450384366127,17.4334489743985,16.9078207238622,17.3175732547892,17.3347142942298
"MT-CO3",17.2389297064128,17.4148459462413,17.2459458482708,17.2900216993762,17.1617264142044,17.2096828442811,17.3791223262722,17.3294187886687,17.1081918200424,17.1856298854976,17.3225298763755,17.3597191028612,17.0874214493396,17.2144874553401,17.2704912464007
"MT-CYB",15.9549076145551,16.2869134475033,16.0919082319551,16.0465400784416,15.2942316239861,16.1489503785087,15.9994836264001,16.1000080307666,15.1624281266735,16.1048396875071,16.0093796374398,16.1243141971172,15.0471592420771,16.1200158659219,16.1249984250857
"MT-ND1",14.0045127784159,14.2938592789676,13.9518982710037,13.8160513199002,13.8109374848507,14.2452327594522,13.9963996138109,14.0155678943422,13.5776762678693,14.217581709538,13.937624366112,14.1262536313445,13.493713382086,14.2745005819008,14.0764633730763
"MT-ND2",14.5473163440885,14.7794790876984,14.5570459654153,14.4087441588989,14.3192362904264,14.7832250011677,14.5264488038229,14.5633996476721,14.0817344728059,14.7247949303255,14.4813014789538,14.6544075994253,14.0236172026105,14.7230158491016,14.6090715018929
"MT-ND3",10.5746739690288,10.7252166298967,10.2726112149398,10.2225179253942,10.5895734894643,10.7083877450711,10.6378460406173,10.4996113863616,10.4070453223621,10.5950701460781,10.4606285165287,10.5460973399711,10.5416799159482,10.5127453452693,10.47181484867
"MT-ND4",16.2401292155696,16.5316383690272,16.2243094747852,16.1089833404099,15.8877345540091,16.3936972916076,16.2677520692862,16.2722420761849,15.6615715573489,16.3789931341352,16.2201766469711,16.3726081653645,15.5767947158686,16.5120135370665,16.2817246064866
"MT-ND4L",12.6760677027593,12.9830390585299,12.725227108983,12.6567789445454,12.0825327902747,12.8887292055572,12.7005930662804,12.729931036259,11.9169432594896,12.9089759517917,12.7015326103203,12.8314232569478,11.8600792942402,12.8691763226586,12.766848154928
"MT-ND5",14.4379644916749,14.6883663336765,14.5671447330311,14.4570632124024,13.8070506752811,14.5858343243331,14.3843637606825,14.5186476300706,13.6067485711955,14.5851177660289,14.4536069853828,14.5450965765867,13.5321841664049,14.632593564276,14.5536564316382
"MT-ND6",12.8033333360544,12.8781380851598,12.7288460492761,12.4767068471132,12.6963909783325,13.0105467286778,12.6989999368639,12.690873346158,12.3397016913656,12.8630327621664,12.5797628026759,12.7461967571433,12.3067685403929,13.0687730719035,12.709501497653
