"","blinding","Count_MitoinSoma","Count_Soma","Count_mtDNA","Count_mtDNAinMito","Count_mtDNAoutside","ImageNumber","MitoLength","MitoArea","mtDNAIntensity","Diff","file","Condition","Percentage_of_mtDNA"
"1","nv11_1",0,1,2380,853,1527,"01",16.5787831513261,66.1716068642746,0.00965379237381876,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_01.vsi_zmax.tif","Ctrl",0.358403361344538
"2","nv11_10",185,4,3914,2908,1006,"11",18.8431684067181,90.6761234679982,0.00935511767200183,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_11.vsi_zmax.tif","Ctrl",0.742973939703628
"3","nv11_11",133,1,3103,2411,692,"04",17.8927467300832,85.6844233055886,0.00936923672362399,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_04.vsi_zmax.tif","Ctrl",0.776990009668063
"4","nv11_12",38,1,3975,2746,1229,"08",18.7093764223942,87.5835229858898,0.0120839148592182,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_1229_08.vsi_zmax.tif","1229",0.690817610062893
"5","nv11_13",113,1,3252,2690,562,"06",20.2290129151292,102.599400369004,0.00941937612491146,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_06.vsi_zmax.tif","Ctrl",0.827183271832718
"6","nv11_14",97,1,2720,1814,906,"05",19.5205015249068,94.993900372755,0.0129016866156213,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_1229_05.vsi_zmax.tif","1229",0.666911764705882
"7","nv11_15",304,3,3395,1995,1400,"02",17.8051593323217,83.0333839150228,0.0111826537403502,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_1229_02.vsi_zmax.tif","1229",0.587628865979381
"8","nv11_16",263,2,3144,2583,561,"07",18.9596499756928,96.7343218279047,0.0109121796060753,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_Ctrl_07.vsi_zmax.tif","Ctrl",0.821564885496183
"9","nv11_17",287,1,4147,2843,1304,"06",18.3144456886898,89.973124300112,0.0131886870645946,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_1229_06.vsi_zmax.tif","1229",0.685555823486858
"10","nv11_18",63,1,3187,2064,1123,"12",18.3998364677024,90.1719814663396,0.0117988840037755,"n1","20250402_Nv11_Rhod2_PKMO_Sybr_DIV22_zstack_1229_12.vsi_zmax.tif","1229",0.647631000941324
