"","img","sample","blinded_name","n_acidic","mito_mass","mito_number","acidic_normalized_neutral_mass","acidic_normalized_neutral_numbers","Diff"
"3","241122_IG1_1229_010","pLNA-1229","A_15",5,123378,1492,4.05258636061534e-05,0.00335120643431635,"r1"
"6","241122_IG1_1229_004","pLNA-1229","A_19",12,99375,1165,0.000120754716981132,0.0103004291845494,"r1"
"8","241122_IG1_1229_009","pLNA-1229","A_20",19,102172,1224,0.000185960928630153,0.0155228758169935,"r1"
"9","241122_IG1_1229_003","pLNA-1229","A_23",14,124628,1338,0.000112334306897326,0.0104633781763827,"r1"
"10","241122_IG1_1229_005","pLNA-1229","A_24",11,103987,1213,0.000105782453575928,0.0090684253915911,"r1"
"11","241122_IG1_1229_011","pLNA-1229","A_25",13,133738,1490,9.72049828769684e-05,0.0087248322147651,"r1"
"12","241122_IG1_control_006","pLNA-Ctrl","A_26",8,111698,1458,7.16216942111766e-05,0.00548696844993141,"r1"
"13","241122_IG1_control_003","pLNA-Ctrl","A_27",10,119394,1425,8.37563026617753e-05,0.00701754385964912,"r1"
"14","241122_IG1_1229_001","pLNA-1229","A_28",4,81795,911,4.89027446665444e-05,0.00439077936333699,"r1"
"15","241122_IG1_1229_008","pLNA-1229","A_29",6,54046,676,0.000111016541464678,0.00887573964497041,"r1"
"16","241122_IG1_control_011","pLNA-Ctrl","A_2",18,103295,1259,0.000174258192555303,0.0142970611596505,"r1"
"17","241122_IG1_control_010","pLNA-Ctrl","A_30",14,116950,1381,0.000119709277469004,0.0101375814627082,"r1"
"20","241122_IG1_control_005","pLNA-Ctrl","A_3",20,140280,1638,0.000142571998859424,0.0122100122100122,"r1"
"21","241122_IG1_1229_002","pLNA-1229","A_4",0,130640,1577,0,0,"r1"
"22","241122_IG1_control_004","pLNA-Ctrl","A_5",13,146500,1791,8.87372013651877e-05,0.00725851479620324,"r1"
"24","241122_IG1_control_007","pLNA-Ctrl","A_7",14,131009,1568,0.000106862887282553,0.00892857142857143,"r1"
"25","241122_IG1_control_009","pLNA-Ctrl","A_8",12,132475,1662,9.05831288922438e-05,0.0072202166064982,"r1"
"28","241129_IG2_control_006","pLNA-Ctrl","A_11",4,109216,1380,3.66246703779666e-05,0.00289855072463768,"r2"
"30","241129_IG2_control_011","pLNA-Ctrl","A_14",6,50726,759,0.000118282537554706,0.00790513833992095,"r2"
"31","241129_IG2_1229_001","pLNA-1229","A_15",8,87892,1224,9.10207982524007e-05,0.0065359477124183,"r2"
"33","241129_IG2_1229_011","pLNA-1229","A_18",6,57358,811,0.000104606157815823,0.00739827373612824,"r2"
"34","241129_IG2_1229_007","pLNA-1229","A_21",6,44917,713,0.000133579713694147,0.00841514726507714,"r2"
"35","241129_IG2_control_001","pLNA-Ctrl","A_23",21,86693,1285,0.000242234090410991,0.0163424124513619,"r2"
"36","241129_IG2_1229_009","pLNA-1229","A_25",7,66930,1019,0.000104586881816824,0.00686947988223749,"r2"
"37","241129_IG2_1229_008","pLNA-1229","A_26",1,52905,800,1.89018051223892e-05,0.00125,"r2"
"38","241129_IG2_1229_006","pLNA-1229","A_27",11,53533,733,0.000205480731511404,0.0150068212824011,"r2"
"39","241129_IG2_1229_004","pLNA-1229","A_28",6,95267,1427,6.29808853013111e-05,0.00420462508759636,"r2"
"40","241129_IG2_control_008","pLNA-Ctrl","A_29",3,64251,939,4.6691880282019e-05,0.00319488817891374,"r2"
"42","241129_IG2_control_007","pLNA-Ctrl","A_30",5,90800,1176,5.50660792951542e-05,0.00425170068027211,"r2"
"43","241129_IG2_1229_010","pLNA-1229","A_31",5,84102,1134,5.94516182730494e-05,0.00440917107583774,"r2"
"46","241129_IG2_control_003","pLNA-Ctrl","A_3",9,49757,717,0.000180879072291336,0.0125523012552301,"r2"
"47","241129_IG2_1229_003","pLNA-1229","A_4",4,109509,1572,3.65266781725703e-05,0.00254452926208651,"r2"
"48","241129_IG2_control_002","pLNA-Ctrl","A_5",12,78487,1085,0.000152891561659893,0.0110599078341014,"r2"
"53","241206_MS3_mtkeima_1229_006","pLNA-1229","A_20",3,120713,1379,2.48523357053507e-05,0.00217548948513416,"r3"
"54","241206_MS3_mtkeima_Control_006","pLNA-Ctrl","A_17",3,97052,1150,3.09112640646251e-05,0.00260869565217391,"r3"
"55","241206_MS3_mtkeima_Control_002","pLNA-Ctrl","A_28",18,97127,1132,0.00018532436912496,0.0159010600706714,"r3"
"56","241206_MS3_mtkeima_Control_003","pLNA-Ctrl","A_13",9,85877,994,0.000104801052668351,0.00905432595573441,"r3"
"59","241206_MS3_mtkeima_1229_008","pLNA-1229","A_7",8,112924,1306,7.08441075413552e-05,0.00612557427258806,"r3"
"60","241206_MS3_mtkeima_1229_009","pLNA-1229","A_4",2,135132,1547,1.48003433679661e-05,0.00129282482223659,"r3"
"63","241206_MS3_mtkeima_Control_005","pLNA-Ctrl","A_11",8,113319,1263,7.0597163758946e-05,0.0063341250989707,"r3"
"64","241206_MS3_mtkeima_Control_010","pLNA-Ctrl","A_3",14,139491,1573,0.000100364898093784,0.00890019071837254,"r3"
"67","241206_MS3_mtkeima_1229_010","pLNA-1229","A_21",0,133903,1586,0,0,"r3"
"68","241206_MS3_mtkeima_Control_008","pLNA-Ctrl","A_26",10,130788,1426,7.64596140318684e-05,0.00701262272089762,"r3"
"69","241206_MS3_mtkeima_Control_009","pLNA-Ctrl","A_18",5,100521,1148,4.97408501706111e-05,0.00435540069686411,"r3"
"71","241206_MS3_mtkeima_1229_003","pLNA-1229","A_15",0,194947,2124,0,0,"r3"
"73","241206_MS3_mtkeima_1229_001","pLNA-1229","A_2",10,107326,1313,9.31740677934517e-05,0.00761614623000762,"r3"
"74","241206_MS3_mtkeima_1229_002","pLNA-1229","A_1",10,106187,1286,9.41734863966399e-05,0.00777604976671851,"r3"
