"","Differentiation","Condition","Day","Image","x"
"42","m2","pLNA-1229","Day 36","B_1",0.1955730589399
"43","m1","pLNA-1229","Day 36","B_10",0.199007635835841
"44","m1","pLNA-Ctrl","Day 36","B_11",0.210782565119817
"45","m1","pLNA-Ctrl","Day 36","B_12",0.208892531569329
"46","m1","pLNA-Ctrl","Day 36","B_13",0.212610344570581
"47","m3","pLNA-Ctrl","Day 36","B_14",0.20247641701819
"48","m2","pLNA-Ctrl","Day 36","B_15",0.205839921389057
"49","m1","pLNA-Ctrl","Day 36","B_16",0.181586859781249
"50","m1","pLNA-1229","Day 36","B_17",0.202300783071639
"51","m2","pLNA-Ctrl","Day 36","B_18",0.208569829982535
"52","m2","pLNA-Ctrl","Day 36","B_19",0.20490611865146
"53","m2","pLNA-1229","Day 36","B_2",0.19069967688987
"54","m1","pLNA-Ctrl","Day 36","B_20",0.214378331244595
"55","m3","pLNA-1229","Day 36","B_21",0.194169288764252
"56","m1","pLNA-1229","Day 36","B_22",0.203270274073404
"57","m2","pLNA-1229","Day 36","B_23",0.188432193600378
"58","m3","pLNA-1229","Day 36","B_24",0.192418418918841
"59","m2","pLNA-Ctrl","Day 36","B_25",0.199572304733391
"60","m1","pLNA-1229","Day 36","B_26",0.163856987548931
"61","m3","pLNA-Ctrl","Day 36","B_27",0.193774611231074
"62","m3","pLNA-1229","Day 36","B_28",0.189620408221311
"63","m3","pLNA-1229","Day 36","B_29",0.198812096300077
"64","m3","pLNA-Ctrl","Day 36","B_3",0.193323877903311
"65","m1","pLNA-Ctrl","Day 36","B_30",0.212384265886556
"66","m2","pLNA-Ctrl","Day 36","B_31",0.190872693629396
"67","m2","pLNA-Ctrl","Day 36","B_32",0.209103405020876
"68","m3","pLNA-Ctrl","Day 36","B_33",0.205285555577461
"69","m3","pLNA-1229","Day 36","B_34",0.174897631835954
"70","m2","pLNA-1229","Day 36","B_35",0.194518146368123
"71","m3","pLNA-1229","Day 36","B_36",0.197633768786693
"72","m1","pLNA-1229","Day 36","B_37",0.203399234198072
"73","m2","pLNA-1229","Day 36","B_38",0.184252553293343
"74","m3","pLNA-1229","Day 36","B_39",0.178138378316969
"75","m1","pLNA-1229","Day 36","B_4",0.189629449358288
"76","m2","pLNA-1229","Day 36","B_40",0.190837214623969
"77","m3","pLNA-Ctrl","Day 36","B_41",0.203594604664727
"78","m2","pLNA-1229","Day 36","B_42",0.193684291170962
"79","m3","pLNA-Ctrl","Day 36","B_43",0.209725384972
"80","m3","pLNA-Ctrl","Day 36","B_44",0.21772345155436
"81","m2","pLNA-Ctrl","Day 36","B_5",0.196749924650848
"82","m1","pLNA-Ctrl","Day 36","B_6",0.219776338611288
"83","m1","pLNA-Ctrl","Day 36","B_7",0.237056326830504
"84","m3","pLNA-Ctrl","Day 36","B_8",0.212148839989711
"85","m2","pLNA-1229","Day 36","B_9",0.198839803131727
