"","Day","Diff","Cond","Val"
"1","Day 27","m1","pLNA-Ctrl",3717116.66666667
"4","Day 27","m1","pLNA-1229",4295450
"2","Day 27","m2","pLNA-Ctrl",3845116.66666667
"5","Day 27","m2","pLNA-1229",3840616.66666667
"3","Day 27","m3","pLNA-Ctrl",4536116.66666667
"6","Day 27","m3","pLNA-1229",4602116.66666667
"11","Day 36","m1","pLNA-Ctrl",7714116.66666667
"21","Day 36","m1","pLNA-1229",8310783.33333333
"31","Day 36","m2","pLNA-Ctrl",7060116.66666667
"41","Day 36","m2","pLNA-1229",7824116.66666667
"51","Day 36","m3","pLNA-Ctrl",7738783.33333333
"61","Day 36","m3","pLNA-1229",7843783.33333333
"7","Day 36","m4","pLNA-Ctrl",5534343.33333333
"8","Day 36","m4","pLNA-1229",6374343.33333333
