"","Day","Differentiation","Condition","Drug","pLNA","DishID","VideoID","CellID","log_amp_mean","amp_mean"
"1","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.1","m1.MA.pLNA-1229.CS1.1.Mean1",-2.45795757214361,0.0856096240089083
"2","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS1","m2.MA.pLNA-1229.CS1.1","m2.MA.pLNA-1229.CS1.1.Mean1",-2.23669521086526,0.108509442008881
"3","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS1","m3.MA.pLNA-1229.CS1.1","m3.MA.pLNA-1229.CS1.1.Mean1",-2.13772233459026,0.120658855509064
"4","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS1","m2.MC.pLNA-1229.CS1.1","m2.MC.pLNA-1229.CS1.1.Mean1",-1.93584808389308,0.147029905236382
"5","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS1","m3.MC.pLNA-1229.CS1.1","m3.MC.pLNA-1229.CS1.1.Mean1",-1.39833483226157,0.258812198067633
"6","Day37","m1","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m1.MA.pLNA-Ctrl.CS1","m1.MA.pLNA-Ctrl.CS1.1","m1.MA.pLNA-Ctrl.CS1.1.Mean1",-2.41066751410567,0.0901898467163549
"7","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS1","m3.MA.pLNA-Ctrl.CS1.1","m3.MA.pLNA-Ctrl.CS1.1.Mean1",-2.21882045176968,0.110935769905928
"8","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.1","m1.MC.pLNA-Ctrl.CS1.1.Mean1",-1.38404346181396,0.257558623381365
"9","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS1","m3.MC.pLNA-Ctrl.CS1.1","m3.MC.pLNA-Ctrl.CS1.1.Mean1",-1.77370077261395,0.179354811534203
"10","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS2","m2.MA.pLNA-1229.CS2.1","m2.MA.pLNA-1229.CS2.1.Mean1",-1.55189979751701,0.213406794977999
"11","Day37","m3","pLNA-1229_MA","MA","pLNA-1229","m3.MA.pLNA-1229.CS2","m3.MA.pLNA-1229.CS2.1","m3.MA.pLNA-1229.CS2.1.Mean1",-0.990185632664029,0.386139195668953
"12","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS2","m3.MC.pLNA-Ctrl.CS2.1","m3.MC.pLNA-Ctrl.CS2.1.Mean1",-2.28769684272973,0.10368818440922
"13","Day37","m1","pLNA-1229_MA","MA","pLNA-1229","m1.MA.pLNA-1229.CS1","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1.2.Mean1",-1.51929218444384,0.22253404293763
"14","Day37","m1","pLNA-1229_MC","MC","pLNA-1229","m1.MC.pLNA-1229.CS1","m1.MC.pLNA-1229.CS1.2","m1.MC.pLNA-1229.CS1.2.Mean1",-1.21777435848859,0.300615330058578
"15","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS1","m2.MC.pLNA-1229.CS1.2","m2.MC.pLNA-1229.CS1.2.Mean1",-2.26193469973644,0.104148793068751
"16","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS1","m3.MC.pLNA-1229.CS1.2","m3.MC.pLNA-1229.CS1.2.Mean1",-0.718320722002904,0.49175559496964
"17","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS1","m2.MA.pLNA-Ctrl.CS1.2","m2.MA.pLNA-Ctrl.CS1.2.Mean1",-0.948476070596199,0.391496992920609
"18","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS1","m3.MA.pLNA-Ctrl.CS1.2","m3.MA.pLNA-Ctrl.CS1.2.Mean1",-2.29949309836583,0.102210500484061
"19","Day37","m1","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m1.MC.pLNA-Ctrl.CS1","m1.MC.pLNA-Ctrl.CS1.2","m1.MC.pLNA-Ctrl.CS1.2.Mean1",-2.25376243701453,0.108936369307548
"20","Day37","m2","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m2.MC.pLNA-Ctrl.CS1","m2.MC.pLNA-Ctrl.CS1.2","m2.MC.pLNA-Ctrl.CS1.2.Mean1",-2.13345171212268,0.121528540065862
"21","Day37","m3","pLNA-Ctrl_MC","MC","pLNA-Ctrl","m3.MC.pLNA-Ctrl.CS1","m3.MC.pLNA-Ctrl.CS1.2","m3.MC.pLNA-Ctrl.CS1.2.Mean1",-2.28214833924363,0.107734774824563
"22","Day37","m2","pLNA-1229_MA","MA","pLNA-1229","m2.MA.pLNA-1229.CS2","m2.MA.pLNA-1229.CS2.2","m2.MA.pLNA-1229.CS2.2.Mean1",-2.4068935746675,0.0909651464244803
"23","Day37","m2","pLNA-1229_MC","MC","pLNA-1229","m2.MC.pLNA-1229.CS2","m2.MC.pLNA-1229.CS2.2","m2.MC.pLNA-1229.CS2.2.Mean1",-1.57521887678033,0.220364392436419
"24","Day37","m3","pLNA-1229_MC","MC","pLNA-1229","m3.MC.pLNA-1229.CS2","m3.MC.pLNA-1229.CS2.2","m3.MC.pLNA-1229.CS2.2.Mean1",-2.21264389235995,0.110446877512968
"25","Day37","m2","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m2.MA.pLNA-Ctrl.CS2","m2.MA.pLNA-Ctrl.CS2.2","m2.MA.pLNA-Ctrl.CS2.2.Mean1",-1.77570004750677,0.173334786810286
"26","Day37","m3","pLNA-Ctrl_MA","MA","pLNA-Ctrl","m3.MA.pLNA-Ctrl.CS2","m3.MA.pLNA-Ctrl.CS2.2","m3.MA.pLNA-Ctrl.CS2.2.Mean1",-2.09951755213026,0.125611772404493
