"","CellID","spikes","Day","Condition","VideoID","DishID","Differentiation","Drug","pLNA","Recording_s","Recording_min","Freq"
"1","m1.MA.pLNA-1229.CS1.1.Mean1",1,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.1","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0037037037037037
"2","m1.MA.pLNA-1229.CS1.1.Mean2",20,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.1","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0740740740740741
"3","m1.MA.pLNA-1229.CS1.1.Mean3",35,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.1","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.12962962962963
"4","m1.MA.pLNA-1229.CS1.2.Mean1",28,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.103703703703704
"5","m1.MA.pLNA-1229.CS1.2.Mean2",27,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.1
"6","m1.MA.pLNA-1229.CS1.2.Mean3",28,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.103703703703704
"7","m1.MA.pLNA-1229.CS1.2.Mean5",27,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.1
"8","m1.MA.pLNA-1229.CS1.2.Mean6",10,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.2","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.037037037037037
"9","m1.MA.pLNA-1229.CS1.3.Mean1",26,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.3","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0962962962962963
"10","m1.MA.pLNA-1229.CS1.3.Mean2",25,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.3","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0925925925925926
"11","m1.MA.pLNA-1229.CS1.3.Mean5",16,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.3","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0592592592592593
"12","m1.MA.pLNA-1229.CS1.4.Mean1",9,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.4","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0333333333333333
"13","m1.MA.pLNA-1229.CS1.4.Mean2",20,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.4","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0740740740740741
"14","m1.MA.pLNA-1229.CS1.4.Mean3",17,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.4","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.062962962962963
"15","m1.MA.pLNA-1229.CS1.4.Mean4",12,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.4","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0444444444444444
"16","m1.MA.pLNA-1229.CS1.5.Mean1",16,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.5","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0592592592592593
"17","m1.MA.pLNA-1229.CS1.5.Mean2",16,"Day37","pLNA-1229_MA","m1.MA.pLNA-1229.CS1.5","m1.MA.pLNA-1229.CS1","m1","MA","pLNA-1229",270,4.5,0.0592592592592593
"18","m1.MA.pLNA-Ctrl.CS1.1.Mean1",8,"Day37","pLNA-Ctrl_MA","m1.MA.pLNA-Ctrl.CS1.1","m1.MA.pLNA-Ctrl.CS1","m1","MA","pLNA-Ctrl",270,4.5,0.0296296296296296
"19","m1.MA.pLNA-Ctrl.CS1.2.Mean2",26,"Day37","pLNA-Ctrl_MA","m1.MA.pLNA-Ctrl.CS1.2","m1.MA.pLNA-Ctrl.CS1","m1","MA","pLNA-Ctrl",270,4.5,0.0962962962962963
"20","m1.MA.pLNA-Ctrl.CS1.2.Mean3",26,"Day37","pLNA-Ctrl_MA","m1.MA.pLNA-Ctrl.CS1.2","m1.MA.pLNA-Ctrl.CS1","m1","MA","pLNA-Ctrl",270,4.5,0.0962962962962963
"21","m1.MA.pLNA-Ctrl.CS1.3.Mean2",19,"Day37","pLNA-Ctrl_MA","m1.MA.pLNA-Ctrl.CS1.3","m1.MA.pLNA-Ctrl.CS1","m1","MA","pLNA-Ctrl",270,4.5,0.0703703703703704
"22","m1.MA.pLNA-Ctrl.CS1.4.Mean1",21,"Day37","pLNA-Ctrl_MA","m1.MA.pLNA-Ctrl.CS1.4","m1.MA.pLNA-Ctrl.CS1","m1","MA","pLNA-Ctrl",270,4.5,0.0777777777777778
"23","m1.MA.pLNA-Ctrl.CS1.4.Mean3",9,"Day37","pLNA-Ctrl_MA","m1.MA.pLNA-Ctrl.CS1.4","m1.MA.pLNA-Ctrl.CS1","m1","MA","pLNA-Ctrl",270,4.5,0.0333333333333333
"24","m1.MA.pLNA-Ctrl.CS1.5.Mean1",15,"Day37","pLNA-Ctrl_MA","m1.MA.pLNA-Ctrl.CS1.5","m1.MA.pLNA-Ctrl.CS1","m1","MA","pLNA-Ctrl",270,4.5,0.0555555555555556
"25","m1.MA.pLNA-Ctrl.CS1.5.Mean2",15,"Day37","pLNA-Ctrl_MA","m1.MA.pLNA-Ctrl.CS1.5","m1.MA.pLNA-Ctrl.CS1","m1","MA","pLNA-Ctrl",270,4.5,0.0555555555555556
"26","m1.MC.pLNA-1229.CS1.1.Mean3",9,"Day37","pLNA-1229_MC","m1.MC.pLNA-1229.CS1.1","m1.MC.pLNA-1229.CS1","m1","MC","pLNA-1229",270,4.5,0.0333333333333333
"27","m1.MC.pLNA-1229.CS1.2.Mean1",6,"Day37","pLNA-1229_MC","m1.MC.pLNA-1229.CS1.2","m1.MC.pLNA-1229.CS1","m1","MC","pLNA-1229",270,4.5,0.0222222222222222
"28","m1.MC.pLNA-1229.CS1.2.Mean2",6,"Day37","pLNA-1229_MC","m1.MC.pLNA-1229.CS1.2","m1.MC.pLNA-1229.CS1","m1","MC","pLNA-1229",270,4.5,0.0222222222222222
"29","m1.MC.pLNA-1229.CS1.2.Mean3",6,"Day37","pLNA-1229_MC","m1.MC.pLNA-1229.CS1.2","m1.MC.pLNA-1229.CS1","m1","MC","pLNA-1229",270,4.5,0.0222222222222222
"30","m1.MC.pLNA-1229.CS1.3.Mean1",6,"Day37","pLNA-1229_MC","m1.MC.pLNA-1229.CS1.3","m1.MC.pLNA-1229.CS1","m1","MC","pLNA-1229",270,4.5,0.0222222222222222
"31","m1.MC.pLNA-1229.CS1.3.Mean2",6,"Day37","pLNA-1229_MC","m1.MC.pLNA-1229.CS1.3","m1.MC.pLNA-1229.CS1","m1","MC","pLNA-1229",270,4.5,0.0222222222222222
"32","m1.MC.pLNA-1229.CS1.4.Mean1",5,"Day37","pLNA-1229_MC","m1.MC.pLNA-1229.CS1.4","m1.MC.pLNA-1229.CS1","m1","MC","pLNA-1229",270,4.5,0.0185185185185185
"33","m1.MC.pLNA-1229.CS1.5.Mean3",4,"Day37","pLNA-1229_MC","m1.MC.pLNA-1229.CS1.5","m1.MC.pLNA-1229.CS1","m1","MC","pLNA-1229",270,4.5,0.0148148148148148
"34","m1.MC.pLNA-Ctrl.CS1.1.Mean1",25,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.1","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0925925925925926
"35","m1.MC.pLNA-Ctrl.CS1.1.Mean2",25,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.1","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0925925925925926
"36","m1.MC.pLNA-Ctrl.CS1.2.Mean1",7,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.2","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0259259259259259
"37","m1.MC.pLNA-Ctrl.CS1.2.Mean2",20,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.2","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0740740740740741
"38","m1.MC.pLNA-Ctrl.CS1.3.Mean1",21,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.3","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0777777777777778
"39","m1.MC.pLNA-Ctrl.CS1.4.Mean1",18,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.4","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0666666666666667
"40","m1.MC.pLNA-Ctrl.CS1.4.Mean3",18,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.4","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0666666666666667
"41","m1.MC.pLNA-Ctrl.CS1.4.Mean4",18,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.4","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0666666666666667
"42","m1.MC.pLNA-Ctrl.CS1.4.Mean5",18,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.4","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0666666666666667
"43","m1.MC.pLNA-Ctrl.CS1.5.Mean1",14,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.5","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0518518518518519
"44","m1.MC.pLNA-Ctrl.CS1.5.Mean2",8,"Day37","pLNA-Ctrl_MC","m1.MC.pLNA-Ctrl.CS1.5","m1.MC.pLNA-Ctrl.CS1","m1","MC","pLNA-Ctrl",270,4.5,0.0296296296296296
"45","m2.MA.pLNA-1229.CS1.1.Mean1",23,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS1.1","m2.MA.pLNA-1229.CS1","m2","MA","pLNA-1229",270,4.5,0.0851851851851852
"46","m2.MA.pLNA-1229.CS1.1.Mean3",1,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS1.1","m2.MA.pLNA-1229.CS1","m2","MA","pLNA-1229",270,4.5,0.0037037037037037
"47","m2.MA.pLNA-1229.CS1.2.Mean3",14,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS1.2","m2.MA.pLNA-1229.CS1","m2","MA","pLNA-1229",270,4.5,0.0518518518518519
"48","m2.MA.pLNA-1229.CS1.2.Mean5",6,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS1.2","m2.MA.pLNA-1229.CS1","m2","MA","pLNA-1229",270,4.5,0.0222222222222222
"49","m2.MA.pLNA-1229.CS1.4.Mean1",16,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS1.4","m2.MA.pLNA-1229.CS1","m2","MA","pLNA-1229",270,4.5,0.0592592592592593
"50","m2.MA.pLNA-1229.CS1.4.Mean2",18,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS1.4","m2.MA.pLNA-1229.CS1","m2","MA","pLNA-1229",270,4.5,0.0666666666666667
"51","m2.MA.pLNA-1229.CS1.4.Mean3",19,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS1.4","m2.MA.pLNA-1229.CS1","m2","MA","pLNA-1229",270,4.5,0.0703703703703704
"52","m2.MA.pLNA-1229.CS1.5.Mean1",15,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS1.5","m2.MA.pLNA-1229.CS1","m2","MA","pLNA-1229",270,4.5,0.0555555555555556
"53","m2.MA.pLNA-1229.CS2.1.Mean1",12,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS2.1","m2.MA.pLNA-1229.CS2","m2","MA","pLNA-1229",270,4.5,0.0444444444444444
"54","m2.MA.pLNA-1229.CS2.2.Mean1",6,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS2.2","m2.MA.pLNA-1229.CS2","m2","MA","pLNA-1229",270,4.5,0.0222222222222222
"55","m2.MA.pLNA-1229.CS2.2.Mean2",12,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS2.2","m2.MA.pLNA-1229.CS2","m2","MA","pLNA-1229",270,4.5,0.0444444444444444
"56","m2.MA.pLNA-1229.CS2.2.Mean3",12,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS2.2","m2.MA.pLNA-1229.CS2","m2","MA","pLNA-1229",270,4.5,0.0444444444444444
"57","m2.MA.pLNA-1229.CS2.3.Mean1",11,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS2.3","m2.MA.pLNA-1229.CS2","m2","MA","pLNA-1229",270,4.5,0.0407407407407407
"58","m2.MA.pLNA-1229.CS2.4.Mean1",11,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS2.4","m2.MA.pLNA-1229.CS2","m2","MA","pLNA-1229",270,4.5,0.0407407407407407
"59","m2.MA.pLNA-1229.CS2.4.Mean2",11,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS2.4","m2.MA.pLNA-1229.CS2","m2","MA","pLNA-1229",270,4.5,0.0407407407407407
"60","m2.MA.pLNA-1229.CS2.5.Mean1",7,"Day37","pLNA-1229_MA","m2.MA.pLNA-1229.CS2.5","m2.MA.pLNA-1229.CS2","m2","MA","pLNA-1229",270,4.5,0.0259259259259259
"61","m2.MA.pLNA-Ctrl.CS1.1.Mean2",15,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS1.1","m2.MA.pLNA-Ctrl.CS1","m2","MA","pLNA-Ctrl",270,4.5,0.0555555555555556
"62","m2.MA.pLNA-Ctrl.CS1.2.Mean1",23,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS1.2","m2.MA.pLNA-Ctrl.CS1","m2","MA","pLNA-Ctrl",270,4.5,0.0851851851851852
"63","m2.MA.pLNA-Ctrl.CS1.2.Mean2",23,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS1.2","m2.MA.pLNA-Ctrl.CS1","m2","MA","pLNA-Ctrl",270,4.5,0.0851851851851852
"64","m2.MA.pLNA-Ctrl.CS1.3.Mean1",20,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS1.3","m2.MA.pLNA-Ctrl.CS1","m2","MA","pLNA-Ctrl",270,4.5,0.0740740740740741
"65","m2.MA.pLNA-Ctrl.CS1.3.Mean2",19,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS1.3","m2.MA.pLNA-Ctrl.CS1","m2","MA","pLNA-Ctrl",270,4.5,0.0703703703703704
"66","m2.MA.pLNA-Ctrl.CS1.4.Mean1",16,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS1.4","m2.MA.pLNA-Ctrl.CS1","m2","MA","pLNA-Ctrl",270,4.5,0.0592592592592593
"67","m2.MA.pLNA-Ctrl.CS1.5.Mean1",15,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS1.5","m2.MA.pLNA-Ctrl.CS1","m2","MA","pLNA-Ctrl",270,4.5,0.0555555555555556
"68","m2.MA.pLNA-Ctrl.CS1.5.Mean2",15,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS1.5","m2.MA.pLNA-Ctrl.CS1","m2","MA","pLNA-Ctrl",270,4.5,0.0555555555555556
"69","m2.MA.pLNA-Ctrl.CS2.1.Mean2",15,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS2.1","m2.MA.pLNA-Ctrl.CS2","m2","MA","pLNA-Ctrl",270,4.5,0.0555555555555556
"70","m2.MA.pLNA-Ctrl.CS2.2.Mean1",16,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS2.2","m2.MA.pLNA-Ctrl.CS2","m2","MA","pLNA-Ctrl",270,4.5,0.0592592592592593
"71","m2.MA.pLNA-Ctrl.CS2.2.Mean2",7,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS2.2","m2.MA.pLNA-Ctrl.CS2","m2","MA","pLNA-Ctrl",270,4.5,0.0259259259259259
"72","m2.MA.pLNA-Ctrl.CS2.3.Mean1",6,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS2.3","m2.MA.pLNA-Ctrl.CS2","m2","MA","pLNA-Ctrl",270,4.5,0.0222222222222222
"73","m2.MA.pLNA-Ctrl.CS2.3.Mean2",9,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS2.3","m2.MA.pLNA-Ctrl.CS2","m2","MA","pLNA-Ctrl",270,4.5,0.0333333333333333
"74","m2.MA.pLNA-Ctrl.CS2.4.Mean2",2,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS2.4","m2.MA.pLNA-Ctrl.CS2","m2","MA","pLNA-Ctrl",270,4.5,0.00740740740740741
"75","m2.MA.pLNA-Ctrl.CS2.5.Mean1",10,"Day37","pLNA-Ctrl_MA","m2.MA.pLNA-Ctrl.CS2.5","m2.MA.pLNA-Ctrl.CS2","m2","MA","pLNA-Ctrl",270,4.5,0.037037037037037
"76","m2.MC.pLNA-1229.CS1.1.Mean1",3,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS1.1","m2.MC.pLNA-1229.CS1","m2","MC","pLNA-1229",270,4.5,0.0111111111111111
"77","m2.MC.pLNA-1229.CS1.2.Mean1",1,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS1.2","m2.MC.pLNA-1229.CS1","m2","MC","pLNA-1229",270,4.5,0.0037037037037037
"78","m2.MC.pLNA-1229.CS1.4.Mean3",4,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS1.4","m2.MC.pLNA-1229.CS1","m2","MC","pLNA-1229",270,4.5,0.0148148148148148
"79","m2.MC.pLNA-1229.CS1.5.Mean1",1,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS1.5","m2.MC.pLNA-1229.CS1","m2","MC","pLNA-1229",270,4.5,0.0037037037037037
"80","m2.MC.pLNA-1229.CS1.5.Mean3",1,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS1.5","m2.MC.pLNA-1229.CS1","m2","MC","pLNA-1229",270,4.5,0.0037037037037037
"81","m2.MC.pLNA-1229.CS2.1.Mean2",10,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.1","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.037037037037037
"82","m2.MC.pLNA-1229.CS2.2.Mean1",12,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.2","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.0444444444444444
"83","m2.MC.pLNA-1229.CS2.2.Mean2",12,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.2","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.0444444444444444
"84","m2.MC.pLNA-1229.CS2.2.Mean3",25,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.2","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.0925925925925926
"85","m2.MC.pLNA-1229.CS2.3.Mean1",1,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.3","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.0037037037037037
"86","m2.MC.pLNA-1229.CS2.3.Mean3",11,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.3","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.0407407407407407
"87","m2.MC.pLNA-1229.CS2.3.Mean4",11,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.3","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.0407407407407407
"88","m2.MC.pLNA-1229.CS2.4.Mean1",6,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.4","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.0222222222222222
"89","m2.MC.pLNA-1229.CS2.5.Mean1",10,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.5","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.037037037037037
"90","m2.MC.pLNA-1229.CS2.5.Mean2",10,"Day37","pLNA-1229_MC","m2.MC.pLNA-1229.CS2.5","m2.MC.pLNA-1229.CS2","m2","MC","pLNA-1229",270,4.5,0.037037037037037
"91","m2.MC.pLNA-Ctrl.CS1.1.Mean2",12,"Day37","pLNA-Ctrl_MC","m2.MC.pLNA-Ctrl.CS1.1","m2.MC.pLNA-Ctrl.CS1","m2","MC","pLNA-Ctrl",270,4.5,0.0444444444444444
