"","GO.ID","Term","Annotated","Significant","Expected","Fold_Enrichment","Rank in Fisher.classic","Fisher.elim","Fisher.classic","Classic_Fishe_BH_Corr","Sig_Genes","up","down","Info","rank","label1","label2"
"1","GO:0043202","lysosomal lumen",81,9,2.42,3.71900826446281,1,0.00067,"0.00067",0.1135,"c(""AGRN"", ""CHID1"", ""CTSL"", ""GALC"", ""GPC2"", ""LUM"", ""RNASET2"", ""SDC2"", ""TXNDC5"")",7,1,"Cellular Component",1,1.1e-05,1.11
"2","GO:0071782","endoplasmic reticulum tubular network",28,5,0.84,5.95238095238095,2,0.00128,"0.00128",0.1135,"c(""ARL6IP1"", ""ASPH"", ""LNPK"", ""RAB18"", ""REEP3"")",4,1,"Cellular Component",2,1.1e-05,1.11
"5","GO:0009986","cell surface",495,25,14.77,1.6926201760325,9,0.00727,"0.00727",0.147,"c(""ACE"", ""ADCYAP1R1"", ""AMOT"", ""ANTXR2"", ""ASIC1"", ""ATP6AP2"", ""CD9"", ""ECE1"", ""EGFL7"", ""GPC2"", ""KCNH2"", ""LMO7"", ""LRFN2"", ""MELTF"", ""MFAP3"", ""NPTN"", ""NTRK1"", ""PDIA3"", ""PPFIA4"", ""RAMP1"", ""SCARB1"", ""SDC2"", ""SLC39A6"", ""SLC6A2"", ""TYRO3"")",18,4,"Cellular Component",3,1.1e-05,1.11
"8","GO:0005771","multivesicular body",50,5,1.49,3.35570469798658,14,0.01625,"0.01625",0.180652173913043,"c(""ABCA3"", ""ABCB6"", ""CTSL"", ""LAPTM4B"", ""STEAP3"")",5,0,"Cellular Component",4,1.1e-05,1.11
"12","GO:0044853","plasma membrane raft",74,6,2.21,2.71493212669683,18,0.02292,"0.02292",0.180652173913043,"c(""ADCYAP1R1"", ""ADD2"", ""CBL"", ""CTNNA1"", ""GASK1A"", ""SCARB1"")",2,4,"Cellular Component",5,1.1e-05,1.11
"13","GO:0030425","dendrite",497,23,14.83,1.55091031692515,19,0.02495,"0.02495",0.180652173913043,"c(""ABHD12"", ""ATP6AP2"", ""ATXN10"", ""BDNF"", ""BRINP2"", ""CDKL5"", ""DGKI"", ""HCN3"", ""MAST1"", ""MTOR"", ""NEURL1"", ""NIN"", ""NTRK1"", ""PDLIM4"", ""PRR7"", ""RTN1"", ""SLC4A8"", ""SYT4"", ""TIAM1"", ""TMEM108"", ""TRAK1"", ""UHMK1"", ""URI1"")",10,9,"Cellular Component",6,1.1e-05,1.11
"14","GO:0097447","dendritic tree",497,23,14.83,1.55091031692515,20,0.02495,"0.02495",0.180652173913043,"c(""ABHD12"", ""ATP6AP2"", ""ATXN10"", ""BDNF"", ""BRINP2"", ""CDKL5"", ""DGKI"", ""HCN3"", ""MAST1"", ""MTOR"", ""NEURL1"", ""NIN"", ""NTRK1"", ""PDLIM4"", ""PRR7"", ""RTN1"", ""SLC4A8"", ""SYT4"", ""TIAM1"", ""TMEM108"", ""TRAK1"", ""UHMK1"", ""URI1"")",10,9,"Cellular Component",7,1.1e-05,1.11
"15","GO:0000315","organellar large ribosomal subunit",56,5,1.67,2.9940119760479,21,0.02537,"0.02537",0.180652173913043,"c(""GADD45GIP1"", ""MRPL10"", ""MRPL12"", ""MRPL19"", ""MRPL24"")",3,0,"Cellular Component",8,1.1e-05,1.11
"16","GO:0005762","mitochondrial large ribosomal subunit",56,5,1.67,2.9940119760479,22,0.02537,"0.02537",0.180652173913043,"c(""GADD45GIP1"", ""MRPL10"", ""MRPL12"", ""MRPL19"", ""MRPL24"")",3,0,"Cellular Component",9,1.1e-05,1.11
"22","GO:0005788","endoplasmic reticulum lumen",217,12,6.47,1.85471406491499,29,0.02968,"0.02968",0.180652173913043,"c(""BDNF"", ""CERCAM"", ""CES2"", ""COL18A1"", ""IGFBP3"", ""MELTF"", ""MYDGF"", ""PDIA3"", ""RNASET2"", ""SDC2"", ""SIL1"", ""TXNDC5"")",8,1,"Cellular Component",10,1.1e-05,1.11
