"","Mimic","Reporter","Replicate","mean","group"
"1","miR-1229","Synj2bp 3'UTR","N1",0.776787301462573,"Synj2bp 3'UTR _ miR-1229"
"2","miR-1229","Synj2bp 3'UTR","N2",1.01488524854083,"Synj2bp 3'UTR _ miR-1229"
"3","miR-1229","Synj2bp 3'UTR","N3",0.96640155616743,"Synj2bp 3'UTR _ miR-1229"
"4","miR-1229","Synj2bp 3'UTR mut.","N1",1.26341583046668,"Synj2bp 3'UTR mut. _ miR-1229"
"5","miR-1229","Synj2bp 3'UTR mut.","N2",1.22217585621885,"Synj2bp 3'UTR mut. _ miR-1229"
"6","miR-1229","Synj2bp 3'UTR mut.","N3",1.4990050338333,"Synj2bp 3'UTR mut. _ miR-1229"
"7","Ctrl.","Synj2bp 3'UTR","N1",1.40828985979349,"Synj2bp 3'UTR _ Ctrl."
"8","Ctrl.","Synj2bp 3'UTR","N2",1.21163420254303,"Synj2bp 3'UTR _ Ctrl."
"9","Ctrl.","Synj2bp 3'UTR","N3",1.18551045578273,"Synj2bp 3'UTR _ Ctrl."
"10","Ctrl.","Synj2bp 3'UTR mut.","N1",1.45588129442897,"Synj2bp 3'UTR mut. _ Ctrl."
"11","Ctrl.","Synj2bp 3'UTR mut.","N2",1.2745921880397,"Synj2bp 3'UTR mut. _ Ctrl."
"12","Ctrl.","Synj2bp 3'UTR mut.","N3",1.41131909442159,"Synj2bp 3'UTR mut. _ Ctrl."
