"Table.ID","Cell.Trace","Peak.Time[Frame]","Peak.Intensity[df/F]","Table","Peak.Start[Frame]","Peak.Stop[Frame]","Start.Intensity[df/F]","Stop.Intensity[df/F]","Peak.Duration[s]","Duration.To.Peak[s]","Time.To.Decay[s]","Baseline.Intensity[df/F]","Amplitude","Peak.Time[s]","Peak.Start[s]","Peak.Stop[s]"
"1",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_1_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_2_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_3_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_4_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_5_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_6_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_7_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_8_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_9_141021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Mean8",344,0.0850154191197084,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_10_141021.csv",340,345,-0.0128559413672955,0.041651648043574,2.455,1.964,0.491,0.0143978533381392,5.30808902011098,168.904,166.94,169.395
"10","Mean9",344,0.084159011592924,"Tiff_LV18_CA imaging_LV18_DAY15_CS2_10_141021.csv",341,346,-0.0126559428777729,0.03707529383449,2.455,1.473,0.982,0.0122096754783586,5.40819379437852,168.904,167.431,169.886
"11",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY21_CS1_1_201021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY21_CS1_2_201021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY21_CS1_3_201021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY21_CS1_4_201021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY21_CS1_5_201021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY21_CS2_1_201021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Mean3",5,0.0753792298716452,"Tiff_LV18_CA imaging_LV18_DAY21_CS2_2_201021.csv",3,7,0.00519253208868137,0.0196032672112018,1.964,0.982,0.982,0.0123978996499416,5.08000000000003,2.455,1.473,3.437
"18",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY21_CS2_3_201021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,"Tiff_LV18_CA imaging_LV18_DAY21_CS2_4_201021.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
