Differentiation,Day,Condition,Blinding
p1,Day21,Empty,A_2
p1,Day21,pLNA-Ctrl,A_5
p1,Day21,pLNA-181,A_4
p1,Day21,pLNA-3943,A_3
p1,Day21,pLNA-1229,A_1
p1,Day27,Empty,B_3
p1,Day27,pLNA-Ctrl,B_4
p1,Day27,pLNA-181,B_5
p1,Day27,pLNA-3943,B_2
p1,Day27,pLNA-1229,B_1
p1,Day33,Empty,C_2
p1,Day33,pLNA-Ctrl,C_3
p1,Day33,pLNA-181,C_1
p1,Day33,pLNA-3943,C_5
p1,Day33,pLNA-1229,C_4
p2,Day21,Empty,D_2
p2,Day21,pLNA-Ctrl,D_5
p2,Day21,pLNA-181,D_1
p2,Day21,pLNA-3943,D_4
p2,Day21,pLNA-1229,D_3
p2,Day27,Empty,E_3
p2,Day27,pLNA-Ctrl,E_1
p2,Day27,pLNA-181,E_2
p2,Day27,pLNA-3943,E_4
p2,Day27,pLNA-1229,E_5
p2,Day33,Empty,F_5
p2,Day33,pLNA-Ctrl,F_3
p2,Day33,pLNA-181,F_1
p2,Day33,pLNA-3943,F_4
p2,Day33,pLNA-1229,F_2
p3,Day21,Empty,G_2
p3,Day21,pLNA-Ctrl,G_4
p3,Day21,pLNA-181,G_1
p3,Day21,pLNA-3943,G_3
p3,Day21,pLNA-1229,G_5
p3,Day27,Empty,H_3
p3,Day27,pLNA-Ctrl,H_1
p3,Day27,pLNA-181,H_4
p3,Day27,pLNA-3943,H_2
p3,Day27,pLNA-1229,H_5
p3,Day33,Empty,J_5
p3,Day33,pLNA-Ctrl,J_2
p3,Day33,pLNA-181,J_4
p3,Day33,pLNA-3943,J_3
p3,Day33,pLNA-1229,J_1
p4,Day21,Empty,K_4
p4,Day21,pLNA-Ctrl,K_2
p4,Day21,pLNA-181,K_5
p4,Day21,pLNA-3943,K_1
p4,Day21,pLNA-1229,K_3
p4,Day27,Empty,L_2
p4,Day27,pLNA-Ctrl,L_1
p4,Day27,pLNA-181,L_3
p4,Day27,pLNA-3943,L_4
p4,Day27,pLNA-1229,L_5
p4,Day33,Empty,M_5
p4,Day33,pLNA-Ctrl,M_4
p4,Day33,pLNA-181,M_3
p4,Day33,pLNA-3943,M_1
p4,Day33,pLNA-1229,M_2
