"","seqnames","start","end","width","strand","type","log_kd","p3.score","note","position","miRNA"
"1","EIF4G2",640,647,8,"*","8mer",-5662,0,"-",640,"miR-1229-3p"
"2","HIPK2",7418,7425,8,"*","8mer",-5272,0,"-",7418,"miR-1229-3p"
"3","HIPK2",11153,11160,8,"*","8mer",-4769,0,"-",11153,"miR-1229-3p"
"4","HIPK2",5975,5982,8,"*","6mer",-2958,0,"-",5975,"miR-1229-3p"
"5","HIPK2",6549,6556,8,"*","6mer",-2547,0,"-",6549,"miR-1229-3p"
"6","HIPK2",4754,4761,8,"*","6mer",-1747,0,"-",4754,"miR-1229-3p"
"12","ARL6IP1",1064,1071,8,"*","7mer-m8",-4687,5,"-",1064,"miR-1229-3p"
"13","SYNJ2BP",563,570,8,"*","8mer",-5093,4,"-",563,"miR-1229-3p"
"14","SYNJ2BP",2237,2244,8,"*","8mer",-4763,0,"-",2237,"miR-1229-3p"
"15","SYNJ2BP",463,470,8,"*","7mer-a1",-3333,0,"-",463,"miR-1229-3p"
"16","SYNJ2BP",3841,3848,8,"*","6mer",-2411,3,"-",3841,"miR-1229-3p"
"51","DLGAP4",1577,1584,8,"*","7mer-a1",-3653,4,"-",1577,"miR-1229-3p"
