"","gene_id","logFC","logCPM","LR","PValue","FDR","gene_name","repression","8mer","7mer","6mer","non-canonical","ORF.canonical","ORF.nonCanonical","symbol"
"2857","ENSG00000108960",-0.826383238373896,6.34557732981751,191.379858381107,1.58907118541733e-43,2.37454907236912e-39,"MMD",-0.52136394354351,0,1,0,0,0,0,"MMD"
"11461","ENSG00000187720",0.928233554474041,5.2121698510742,181.043863479205,2.86751786302943e-41,2.14246597136244e-37,"THSD4",NA,NA,NA,NA,NA,NA,NA,NA
"2971","ENSG00000110321",-1.19528651603376,9.57103936369104,177.6541790621,1.57625470892343e-40,7.85132470514761e-37,"EIF4G2",-1.13359388415673,1,0,0,0,0,0,"EIF4G2"
"4253","ENSG00000123989",0.727933109225468,7.01627960831498,171.495839896313,3.48713133270314e-39,1.30270508761457e-35,"CHPF",NA,NA,NA,NA,NA,NA,NA,NA
"6055","ENSG00000139970",-0.625225498948953,7.30835425204646,152.221430872302,5.66801244543165e-35,1.6939421994417e-31,"RTN1",-0.835925429698763,0,1,0,0,0,0,"RTN1"
"12545","ENSG00000213420",-0.821029180046379,6.71654429868703,132.045570457122,1.46223752594229e-30,3.64170255835926e-27,"GPC2",-0.266124512370115,0,0,1,0,1,0,"GPC2"
"8572","ENSG00000164713",-0.694208852240018,6.30030924157152,127.942985383915,1.1551410344581e-29,2.34809210580011e-26,"BRI3",-1.08733936024714,1,0,0,0,0,0,"BRI3"
"10048","ENSG00000174705",-0.662728909134454,6.94000929641702,127.77511997514,1.25709274218034e-29,2.34809210580011e-26,"SH3PXD2B",-1.22641216716708,1,1,1,0,0,0,"SH3PXD2B"
"710","ENSG00000064393",-0.942680339389601,6.56220828005082,126.063140481303,2.97854106412495e-29,4.94537101346878e-26,"HIPK2",-1.69185065232666,2,0,3,0,1,0,"HIPK2"
"292","ENSG00000018236",0.597436202969774,6.11011793312298,122.766605489175,1.5685631689132e-28,2.34390394330699e-25,"CNTN1",-0.0541162520233784,0,0,0,0,1,0,"CNTN1"
"5707","ENSG00000137142",-1.11584029894389,8.57935781089712,120.151677083175,5.86040604565043e-28,7.96109523092312e-25,"IGFBPL1",-0.576732031640761,0,1,0,0,0,0,"IGFBPL1"
"7761","ENSG00000158669",-0.5865364967406,6.62022162751257,119.528251988723,8.02443143119169e-28,9.99242323969145e-25,"GPAT4",NA,NA,NA,NA,NA,NA,NA,NA
"5243","ENSG00000133961",-0.620404680716977,5.99983604612585,118.832018811247,1.13984942399761e-27,1.31021307252279e-24,"NUMB",-1.05281426141542,1,0,0,0,0,0,"NUMB"
"654","ENSG00000060656",0.702427801639952,7.12769903287559,116.140312651062,4.42830968799563e-27,4.72658797626563e-24,"PTPRU",NA,NA,NA,NA,NA,NA,NA,NA
"2625","ENSG00000106609",0.69636616298713,6.98024204022901,115.556927630632,5.94283706387096e-27,5.66585291050183e-24,"TMEM248",NA,NA,NA,NA,NA,NA,NA,NA
"2644","ENSG00000106771",-0.641605664727673,5.96993423892413,115.516042504313,6.06662963046438e-27,5.66585291050183e-24,"TMEM245",-0.596788358988528,0,1,1,0,0,0,"TMEM245"
"3682","ENSG00000117298",0.868767670465119,6.88232564189991,113.848495977628,1.40655041144178e-26,1.23635781165733e-23,"ECE1",-0.50412505399195,0,1,1,0,0,0,"ECE1"
"231","ENSG00000011426",-0.574797349837927,6.33830976166821,111.427066600503,4.77035687993614e-26,3.96019126982698e-23,"ANLN",-0.247658603403989,0,0,1,0,0,0,"ANLN"
"7369","ENSG00000153904",0.609930756451941,7.72220171166883,105.815250857424,8.09402630774637e-25,6.36573869035021e-22,"DDAH1",-0.219128803051862,0,0,1,0,0,0,"DDAH1"
"6389","ENSG00000143222",0.510963840999714,6.10155177245085,103.239827784965,2.96936317364599e-24,2.2185596951896e-21,"UFC1",NA,NA,NA,NA,NA,NA,NA,NA
"5374","ENSG00000134986",-0.503642607588781,8.12181228465546,102.980493964674,3.38464386313534e-24,2.40841586889673e-21,"NREP",-0.255077439046599,0,0,1,0,0,0,"NREP"
"763","ENSG00000065802",-0.53483853951184,6.45185588749765,100.900407378081,9.67266414827445e-24,6.56993728943932e-21,"ASB1",-1.39573818262337,1,1,0,0,1,0,"ASB1"
"2237","ENSG00000103335",0.699154244646732,5.61866215784309,96.0936040801444,1.09578230196013e-22,6.99969928468156e-20,"PIEZO1",-0.082414728674758,0,0,0,0,1,0,"PIEZO1"
"11726","ENSG00000196358",-0.802845383065566,4.67713452346504,96.0428728450369,1.12422393650778e-22,6.99969928468156e-20,"NTNG2",-0.96770427081839,1,1,1,0,0,0,"NTNG2"
"8025","ENSG00000161671",0.943182588484879,7.59079548119574,95.3316356857118,1.61019311727539e-22,9.62444630057845e-20,"EMC10",-1.46666456722977,1,1,3,0,0,0,"EMC10"
"928","ENSG00000071054",-0.516418866518717,8.23756241008598,92.909786459325,5.47331877813819e-22,3.14568471160458e-19,"MAP4K4",-0.895670654028321,1,0,0,0,2,0,"MAP4K4"
"5316","ENSG00000134508",0.596958060521329,5.38969842575577,92.6123637851187,6.36088057157435e-22,3.27760822003571e-19,"CABLES1",-0.713391657875097,0,1,0,0,0,0,"CABLES1"
"5812","ENSG00000137942",-0.506565555772995,6.72414597111041,92.6143457747474,6.35451349331721e-22,3.27760822003571e-19,"FNBP1L",-0.272917386896465,0,0,1,0,0,0,"FNBP1L"
"13291","ENSG00000243232",0.628574686667172,5.95826374499124,92.6133093727809,6.35784210590272e-22,3.27760822003571e-19,"PCDHAC2",-0.233285112331872,0,0,1,0,0,0,"PCDHAC2"
"1159","ENSG00000078369",0.447758460596774,9.52737917896305,91.822116609109,9.48286877870482e-22,4.710645221131e-19,"GNB1",NA,NA,NA,NA,NA,NA,NA,NA
"7247","ENSG00000152332",0.88852994523161,6.59772820118879,91.7604471526347,9.78304304038785e-22,4.710645221131e-19,"UHMK1",NA,NA,NA,NA,NA,NA,NA,NA
"13171","ENSG00000239264",0.736043558148241,7.11791221147912,91.6997605480729,1.00877097688678e-21,4.710645221131e-19,"TXNDC5",-0.190752616851149,0,0,1,0,0,0,"TXNDC5"
"875","ENSG00000069482",0.454507091124481,6.57514843257842,91.1752410574525,1.31495325448784e-21,5.95434741873086e-19,"GAL",NA,NA,NA,NA,NA,NA,NA,NA
"5159","ENSG00000132970",0.51542771138824,6.26401477106297,88.3460470716643,5.49493052757316e-21,2.4150219668684e-18,"WASF3",NA,NA,NA,NA,NA,NA,NA,NA
"10288","ENSG00000177000",-0.538419185946043,5.55623365881567,86.7831762994312,1.21095279291541e-20,5.17007645272428e-18,"MTHFR",-0.659777283568562,0,0,2,0,1,0,"MTHFR"
"11287","ENSG00000186063",0.74971871079615,6.35393166882836,85.0595951101215,2.89506465234089e-20,1.20169308610917e-17,"AIDA",NA,NA,NA,NA,NA,NA,NA,NA
"4324","ENSG00000124562",1.04859766276611,5.92161024807405,84.7655325310583,3.35929699316375e-20,1.35670202618503e-17,"SNRPC",-0.0812138693661891,0,0,0,0,1,0,"SNRPC"
"9823","ENSG00000172831",-0.518113438353999,5.66901351381075,83.413054909129,6.65808437581895e-20,2.61820407441744e-17,"CES2",-0.309370672777578,0,0,1,0,0,0,"CES2"
"9504","ENSG00000170540",-0.64516223706701,7.49924189052162,83.0957698210125,7.81727967983762e-20,2.99522077579009e-17,"ARL6IP1",-0.923254925878823,0,1,0,0,0,0,"ARL6IP1"
"953","ENSG00000072042",0.724813589326203,5.68573227172021,82.854500742443,8.83209221087021e-20,3.29944884767584e-17,"RDH11",NA,NA,NA,NA,NA,NA,NA,NA
"4100","ENSG00000122126",-0.475853829825191,6.49460143423792,81.4461653994339,1.80101319280327e-19,6.56403418050225e-17,"OCRL",-0.372770139059141,0,0,1,0,2,0,"OCRL"
"11741","ENSG00000196396",-0.509515584418663,6.00590042306978,81.1754338396333,2.06543597685627e-19,7.3485261433722e-17,"PTPN1",-0.723361442094104,0,1,1,0,0,0,"PTPN1"
"6141","ENSG00000140650",0.604627422593725,5.9843168650056,80.9847060629293,2.27471329263472e-19,7.85825582280677e-17,"PMM2",NA,NA,NA,NA,NA,NA,NA,NA
"9016","ENSG00000167378",-0.519634596190587,6.47235356615165,80.9065588086398,2.36646933029716e-19,7.85825582280677e-17,"IRGQ",-1.23798525885779,1,0,1,0,0,0,"IRGQ"
"13348","ENSG00000244687",0.981217937697163,6.48520176088399,80.9151354466978,2.35622091068543e-19,7.85825582280677e-17,"UBE2V1",NA,NA,NA,NA,NA,NA,NA,NA
"5291","ENSG00000134313",-0.409953513229014,8.2849679487303,80.8468446854745,2.43906977906118e-19,7.92326515402416e-17,"KIDINS220",-1.51820881136834,0,2,0,0,4,0,"KIDINS220"
"2763","ENSG00000108179",0.567552350660196,6.59128349512135,80.5389227444473,2.85034798683006e-19,9.06228722706416e-17,"PPIF",-0.24463799687681,0,0,0,0,1,0,"PPIF"
"5820","ENSG00000137996",0.799356329259799,4.898415319717,80.2139772992641,3.35982128073081e-19,1.04595436245751e-16,"RTCA",NA,NA,NA,NA,NA,NA,NA,NA
"14612","ENSG00000283979",0.457359713901404,7.52127584840886,79.5556599310548,4.68829823258284e-19,1.42973960182623e-16,"RFLNB",NA,NA,NA,NA,NA,NA,NA,NA
"4983","ENSG00000131473",0.526626271603023,8.81418078297985,78.9515889228566,6.36507220027794e-19,1.90226547777507e-16,"ACLY",-0.114673921556248,0,0,0,0,1,0,"ACLY"
"259","ENSG00000013561",0.713927837489179,5.21654448506476,78.3599481500136,8.58757906985021e-19,2.51616066746611e-16,"RNF14",-0.0766410380282419,0,0,0,0,1,0,"RNF14"
"1225","ENSG00000080845",-0.479004327348124,6.61684258150091,77.6707857678631,1.21728532920263e-18,3.4980566681298e-16,"DLGAP4",-0.674459473734289,0,1,0,0,1,0,"DLGAP4"
"14435","ENSG00000281601",-0.829663995229231,4.58754134694285,77.3204125503399,1.45355975965414e-18,4.0982157525494e-16,"ZNF780B",NA,NA,NA,NA,NA,NA,NA,NA
