"","miRNA","Sequences","Columns","Reading.direction","Mean.pairwise.identity","Shannon.entropy","G+C.content","Mean.single.sequence.MFE","Consensus.MFE","Energy.contribution","Covariance.contribution","Combinations/Pair","Mean.z-score","Structure.conservation.index","Background.model","Decision.model","SVM.decision.value","SVM.RNA-class.probability","Prediction","org","ID","min_exp","max_exp","mean_exp","median_exp","expressed","seed_mismatch"
"1","hsa-let-7b",2,83,"forward",98.8,0.01205,0.5241,-49.05,-49.05,-49.05,0,1,-7.67,1,"dinucleotide","sequence based alignment quality",1.81,0.970189,"RNA","calJac3","hsa-let-7b-5p",0,2.88,0.813047619047619,0,TRUE,FALSE
"2","hsa-mir-101-1",11,75,"forward",99.08,0.02084,0.46545,-36.24,-36.2,-36.2,0,1,-5.56,1,"dinucleotide","sequence based alignment quality",3.27,0.998134,"RNA","all","hsa-miR-101-3p",6.81,9.01,7.8847619047619,7.86,TRUE,FALSE
"3","hsa-mir-1229",4,69,"forward",97.1,0.04703,0.69928,-36.9,-31.95,-32.7,0.75,1,-1.48,0.87,"dinucleotide","sequence based alignment quality",-0.31,0.349525,"OTHER","all","hsa-miR-1229-3p",0,2.79,1.49157142857143,1.63,TRUE,TRUE
"4","hsa-mir-1270",2,83,"forward",98.8,0.01205,0.39759,-31.4,-30.75,-31.25,0.5,1,-4.57,0.98,"dinucleotide","sequence based alignment quality",3.42,0.998622,"RNA","gorGor6","hsa-miR-1270",1.13,4.53,2.66619047619048,2.59,TRUE,FALSE
"5","hsa-mir-1271",2,86,"forward",97.67,0.02326,0.51163,-49.3,-49.55,-49.3,-0.25,1.03,-6.79,1.01,"dinucleotide","sequence based alignment quality",2.5,0.991805,"RNA","canFam5","hsa-miR-1271-5p",1.95,3.41,2.82,2.88,TRUE,FALSE
"6","hsa-mir-1272",2,129,"forward",99.22,0.00775,0.47674,-41.95,-42.2,-41.95,-0.25,1.02,-1.66,1.01,"dinucleotide","sequence based alignment quality",1.45,0.941991,"RNA","panTro6","hsa-miR-1272",0,3.89,0.79652380952381,0,TRUE,FALSE
"7","hsa-mir-1283-1",4,87,"forward",97.32,0.04522,0.45115,-44.55,-44.03,-44.65,0.62,1.03,-6.95,0.99,"dinucleotide","sequence based alignment quality",2.45,0.991035,"RNA","all","hsa-miR-1283",0,4.71,1.73157142857143,1.65,TRUE,FALSE
"8","hsa-mir-1283-2",2,87,"forward",95.4,0.04598,0.43678,-39.05,-39.05,-40.55,1.5,1,-6.52,1,"dinucleotide","sequence based alignment quality",2.74,0.994828,"RNA","gorGor6","hsa-miR-1283",0,4.71,1.73157142857143,1.65,TRUE,FALSE
"9","hsa-mir-1285-2",2,88,"forward",96.59,0.03409,0.51705,-29.3,-29.65,-29.65,0,1.07,-1.27,1.01,"dinucleotide","sequence based alignment quality",0.98,0.867239,"RNA","ponAbe3","hsa-miR-1285-3p",1.4,4.08,3.29761904761905,3.52,TRUE,FALSE
"10","hsa-mir-1299",2,83,"forward",96.39,0.03614,0.50602,-29.08,-28.39,-29.14,0.75,1.03,-1.59,0.98,"dinucleotide","sequence based alignment quality",1.12,0.894321,"RNA","panTro6","hsa-miR-1299",0,3.09,1.87514285714286,2.31,TRUE,FALSE
"11","hsa-mir-1304",2,91,"forward",97.8,0.02198,0.52747,-72.75,-72.45,-72.7,0.25,1.03,-15.12,1,"dinucleotide","sequence based alignment quality",1.4,0.936453,"RNA","gorGor6","hsa-miR-1304-3p",1.65,5.94,3.72047619047619,3.59,TRUE,TRUE
"12","hsa-mir-130b",2,82,"forward",98.78,0.0122,0.57927,-36.65,-36.65,-36.65,0,1,-3.1,1,"dinucleotide","sequence based alignment quality",2.93,0.996447,"RNA","gorGor6","hsa-miR-130b-3p",6.18,7.14,6.71809523809524,6.74,TRUE,FALSE
"13","hsa-mir-141",2,95,"forward",95.79,0.04211,0.56086,-48.65,-48.6,-48.35,-0.25,1.03,-5.77,1,"dinucleotide","sequence based alignment quality",3.19,0.997862,"RNA","calJac3","hsa-miR-141-3p",2.37,5.66,3.55095238095238,3.46,TRUE,FALSE
"14","hsa-mir-1468",2,86,"forward",93.02,0.06977,0.4186,-34.75,-34.02,-34.27,0.25,1.03,-6.42,0.98,"dinucleotide","sequence based alignment quality",2.87,0.996028,"RNA","bosTau9","hsa-miR-1468-5p",3.57,4.81,4.42857142857143,4.47,TRUE,FALSE
"15","hsa-mir-149",2,89,"forward",92.13,0.07865,0.70225,-55.25,-56.2,-55.45,-0.75,1.11,-3.67,1.02,"dinucleotide","sequence based alignment quality",3.51,0.998845,"RNA","mm39","hsa-miR-149-5p",5.63,9.34,8.48333333333333,8.84,TRUE,FALSE
"16","hsa-mir-181d",2,137,"forward",98.54,0.0146,0.59854,-69.25,-69.2,-69.2,0,1,-3.77,1,"dinucleotide","sequence based alignment quality",3.32,0.998316,"RNA","macFas5","hsa-miR-181d-5p",3.14,7.38,5.9152380952381,6.66,TRUE,FALSE
"17","hsa-mir-1908",2,80,"forward",98.75,0.0125,0.80625,-46.8,-46,-46.5,0.5,1,-0.92,0.98,"dinucleotide","sequence based alignment quality",-0.06,0.464871,"OTHER","panTro6","hsa-miR-1908-5p",0,3.95,2.22895238095238,2.44,TRUE,FALSE
"18","hsa-mir-210",2,110,"forward",99.09,0.00909,0.72727,-57.85,-57.8,-58.3,0.5,1,-2.84,1,"dinucleotide","sequence based alignment quality",2.71,0.994562,"RNA","gorGor6","hsa-miR-210-3p",2.77,4.81,4.04142857142857,4.07,TRUE,FALSE
"19","hsa-mir-2110",2,75,"forward",98.67,0.01333,0.62,-33.95,-34.2,-33.95,-0.25,1.03,-2.49,1.01,"dinucleotide","sequence based alignment quality",2.48,0.991516,"RNA","gorGor6","hsa-miR-2110",0,3.13,1.95190476190476,1.98,TRUE,FALSE
"20","hsa-mir-215",2,110,"forward",95.45,0.04545,0.34704,-33.25,-33.5,-33.25,-0.25,1.03,-3.74,1.01,"dinucleotide","sequence based alignment quality",3.43,0.998652,"RNA","calJac3","hsa-miR-215-5p",0,4.4,2.56104761904762,2.54,TRUE,FALSE
"21","hsa-mir-2277",2,93,"forward",95.7,0.04301,0.71505,-50.27,-49.84,-50.34,0.5,1.06,-1.32,0.99,"dinucleotide","sequence based alignment quality",0.85,0.834451,"RNA","gorGor6","hsa-miR-2277-5p",0,3.34,1.81228571428571,1.94,TRUE,FALSE
"22","hsa-mir-2355",2,87,"forward",96.55,0.03448,0.40805,-31.4,-31.65,-31.4,-0.25,1.03,-4.46,1.01,"dinucleotide","sequence based alignment quality",3.54,0.998892,"RNA","bosTau9","hsa-miR-2355-5p",2.23,4.8,3.94285714285714,4,TRUE,FALSE
"23","hsa-mir-2682",2,110,"forward",96.36,0.03636,0.54545,-43.8,-43.7,-43.7,0,1.06,-2.22,1,"dinucleotide","sequence based alignment quality",2.17,0.984819,"RNA","calJac3","hsa-miR-2682-5p",0,4.97,3.92714285714286,4.51,TRUE,TRUE
"24","hsa-mir-296",5,80,"forward",99.5,0.00902,0.61,-44.68,-44.5,-44.7,0.2,1,-3.27,1,"dinucleotide","sequence based alignment quality",3.04,0.997112,"RNA","primates","hsa-miR-296-3p",0,3.63,1.52471428571429,1.44,TRUE,FALSE
"25","hsa-mir-3135b",2,68,"forward",97.06,0.02941,0.63235,-34.2,-34.2,-34.2,0,1,-2.39,1,"dinucleotide","sequence based alignment quality",2.34,0.988966,"RNA","gorGor6","hsa-miR-3135b",0,2.99,1.73252380952381,1.72,TRUE,FALSE
"26","hsa-mir-3141",2,61,"forward",95.08,0.04918,0.68852,-34.55,-33.45,-33.45,0,1.1,-2.53,0.97,"dinucleotide","sequence based alignment quality",2.31,0.988219,"RNA","ponAbe3","hsa-miR-3141",0,2.95,1.59052380952381,1.7,TRUE,TRUE
"27","hsa-mir-3151",2,77,"forward",94.81,0.05195,0.64055,-57.05,-58.25,-58.75,0.5,1.06,-7.41,1.02,"dinucleotide","sequence based alignment quality",1.95,0.976825,"RNA","ponAbe3","hsa-miR-3151-3p",1.12,5.16,3.93761904761905,4.09,TRUE,FALSE
"28","hsa-mir-3176",2,90,"forward",96.67,0.03333,0.73739,-49.55,-50.05,-49.55,-0.5,1.06,-1.46,1.01,"dinucleotide","sequence based alignment quality",1.26,0.918318,"RNA","panTro6","hsa-miR-3176",0,4.26,2.30285714285714,2.25,TRUE,FALSE
"29","hsa-mir-3177",2,82,"forward",93.9,0.06098,0.62087,-41.6,-41,-40.5,-0.5,1.07,-3.25,0.99,"dinucleotide","sequence based alignment quality",3.13,0.997564,"RNA","gorGor6","hsa-miR-3177-3p",1.38,3.53,2.80095238095238,2.93,TRUE,FALSE
"30","hsa-mir-3180-1",2,94,"forward",98.94,0.01064,0.76064,-62.1,-61.3,-61.3,0,1,-4.77,0.99,"dinucleotide","sequence based alignment quality",3.44,0.998659,"RNA","panTro6","hsa-miR-3180-3p",1.55,4.2,2.46333333333333,2.36,TRUE,FALSE
