"","gene_id","logFC","logCPM","LR","PValue","FDR","gene_name","repression","8mer","7mer","6mer","non-canonical","ORF.canonical","ORF.nonCanonical","symbol"
"14445","ENSG00000282755",-10.2815935251374,-1.92371067616452,89.331214634465,3.33948210983975e-21,4.96080067416695e-17,"ENSG00000282755",NA,NA,NA,NA,NA,NA,NA,NA
"9683","ENSG00000171116",6.93200904010224,-2.13851395756051,43.6068724513024,4.01426848896603e-11,2.98159792017952e-07,"HSFX1",NA,NA,NA,NA,NA,NA,NA,NA
"4898","ENSG00000130748",-0.353706715098095,6.2006541951288,34.1332693100751,5.14638178751433e-09,2.54831671511751e-05,"TMEM160",NA,NA,NA,NA,NA,NA,NA,NA
"10820","ENSG00000181555",0.391494391081804,4.12267061573758,31.0182860028039,2.55608874105796e-08,9.49267456210399e-05,"SETD2",-0.214507265524248,0,0,0,0,4,0,"SETD2"
"13901","ENSG00000270299",6.72291269055292,-2.09554753512317,28.4986411900527,9.3764269414081e-08,0.000278573644429235,"ENSG00000270299",NA,NA,NA,NA,NA,NA,NA,NA
"12463","ENSG00000204789",0.45236399862498,4.196904019683,27.0581984635377,1.97421146215041e-07,0.000488781854504073,"ZNF204P",NA,NA,NA,NA,NA,NA,NA,NA
"7376","ENSG00000153048",-0.609347003600748,6.8311393274469,22.762144958181,1.83341781894155e-06,0.00389077452862525,"CARHSP1",NA,NA,NA,NA,NA,NA,NA,NA
"907","ENSG00000070770",0.406971890324144,3.82792722635598,22.1482597467014,2.52384645628361e-06,0.00468646738851162,"CSNK2A2",-0.274182294843666,0,1,2,0,0,0,"CSNK2A2"
"3479","ENSG00000115306",0.36246425583186,7.34856788909587,20.3668667231634,6.39271195057497e-06,0.00872362894235278,"SPTBN1",-0.377203734410038,0,1,1,0,1,0,"SPTBN1"
"9075","ENSG00000167165",3.63937351604427,-1.45443615717504,20.3468979863326,6.45977235717809e-06,0.00872362894235278,"UGT1A6",NA,NA,NA,NA,NA,NA,NA,NA
"13573","ENSG00000255730",4.29527861723328,-0.781738858906522,20.3833526688256,6.33787460093173e-06,0.00872362894235278,"ENSG00000255730",NA,NA,NA,NA,NA,NA,NA,NA
"6827","ENSG00000146540",-0.26011027749541,6.43681639723615,19.8337859675587,8.44762404715611e-06,0.00896353251575029,"C7orf50",NA,NA,NA,NA,NA,NA,NA,NA
"9322","ENSG00000168594",0.752816890158271,1.71651674501048,20.0330160277945,7.61165514700886e-06,0.00896353251575029,"ADAM29",NA,NA,NA,NA,NA,NA,NA,NA
