"","seqnames","start","end","width","strand","type","log_kd","p3.score","note","ORF","symbol.x","V3","logFC","logCPM","LR","PValue","FDR","medianLength","gene_name","repression","8mer","7mer","6mer","non-canonical","ORF.canonical","ORF.non-canonical","symbol.y","gene_id"
"1584","ENST00000258874",276,283,8,"*","8mer",-5662,0,"-",TRUE,"MTHFS","ENSG00000136371.11",0.123736984053955,1.6303959960875,0.140665287345422,0.707620520438755,1,1903.2885,"MTHFS",-0.701096163110916,0,0,1,0,1,0,"MTHFS","ENSG00000136371"
"2804","ENST00000268184",589,596,8,"*","8mer",-5662,0,"-",TRUE,"CRTC3","ENSG00000140577.17",-0.0759116833889734,1.60122405299519,0.000738912037309802,0.978313825370137,1,5136.149,"CRTC3",-0.753968129426498,0,0,1,0,2,0,"CRTC3","ENSG00000140577"
"7228","ENST00000336904",959,966,8,"*","8mer",-5662,0,"-",FALSE,"SNCA","ENSG00000145335.17",0.117871700202929,4.28657645274213,0.757378146412926,0.38415027247822,1,2067.704,"SNCA",-1.21829805079648,1,0,1,0,0,0,"SNCA","ENSG00000145335"
"7545","ENST00000339995",3364,3371,8,"*","8mer",-5662,0,"-",FALSE,"EIF4G2","ENSG00000110321.19",-0.164697220592297,7.60407230797611,0.400753961383895,0.526700136532015,1,3424.2215,"EIF4G2",-1.13359388415673,1,0,0,0,0,0,"EIF4G2","ENSG00000110321"
"8043","ENST00000345009",875,882,8,"*","8mer",-5662,0,"-",FALSE,"SNCA","ENSG00000145335.17",0.311908033802702,2.34015503069395,0.974344891928932,0.323598960671357,1,609.0345,"SNCA",-1.13359388415673,1,0,0,0,0,0,"SNCA","ENSG00000145335"
"11638","ENST00000373418",58,65,8,"*","8mer",-5662,0,"-",TRUE,"PHC2","ENSG00000134686.20",0.0564425218692095,4.999469374085,0.29842056678364,0.584874281858452,1,2232.1755,"PHC2",-0.590135458517757,0,0,0,0,1,0,"PHC2","ENSG00000134686"
"12021","ENST00000375120",6135,6142,8,"*","8mer",-5662,4,"-",FALSE,"OTUD3","ENSG00000169914.6",-0.0568983775657864,1.81681272048511,0.038158520317408,0.845125172298357,1,6085.3095,"OTUD3",-1.18102718777841,1,0,0,0,0,0,"OTUD3","ENSG00000169914"
"14351","ENST00000394986",959,966,8,"*","8mer",-5662,0,"-",FALSE,"SNCA","ENSG00000145335.17",-0.00320992786105641,7.01549122128852,0.000796543451926368,0.977484212318527,1,1063.488,"SNCA",-1.13359388415673,1,0,0,0,0,0,"SNCA","ENSG00000145335"
"14354","ENST00000394991",959,966,8,"*","8mer",-5662,0,"-",FALSE,"SNCA","ENSG00000145335.17",-0.137902347678639,5.98255012117186,1.09127230354703,0.296189479405406,1,2209.349,"SNCA",-1.21829805079648,1,0,1,0,0,0,"SNCA","ENSG00000145335"
"16985","ENST00000422989",7083,7090,8,"*","8mer",-5662,0,"-",FALSE,"IRGQ","ENSG00000167378.10",0.00877821787270845,2.63393008873274,0.000790893453071817,0.977564187184585,1,9307.7605,"IRGQ",-1.23798525885779,1,0,1,0,0,0,"IRGQ","ENSG00000167378"
