"","gene_id","logFC","logCPM","LR","PValue","FDR","gene_name","repression","8mer","7mer","6mer","non-canonical","ORF.canonical","ORF.nonCanonical","symbol"
"2971","ENSG00000110321",-1.16575952877849,9.57104897399927,290.185044365764,4.53144660019666e-65,6.77134065467386e-61,"EIF4G2",-1.13359388415673,1,0,0,0,0,0,"EIF4G2"
"13348","ENSG00000244687",1.05566580142978,6.48525238922361,262.448516144106,5.0212000306019e-59,3.75158960286421e-55,"UBE2V1",NA,NA,NA,NA,NA,NA,NA,NA
"3682","ENSG00000117298",0.846548155471017,6.88238195712163,243.646526526467,6.30411894493006e-55,3.14008164646966e-51,"ECE1",-0.50412505399195,0,1,1,0,0,0,"ECE1"
"7247","ENSG00000152332",0.935727750681388,6.59779966708755,227.083923017677,2.5781468227132e-51,9.63131199295084e-48,"UHMK1",NA,NA,NA,NA,NA,NA,NA,NA
"12545","ENSG00000213420",-0.884284720950681,6.71654157407214,221.892010618951,3.49700035731788e-50,1.04511352678802e-46,"GPC2",-0.266124512370115,0,0,1,0,1,0,"GPC2"
"710","ENSG00000064393",-0.974257871231205,6.56229619027042,217.747122608226,2.80417334075448e-49,6.98379370514904e-46,"HIPK2",-1.69185065232666,2,0,3,0,1,0,"HIPK2"
"8025","ENSG00000161671",0.927208905849114,7.59083423006306,186.880965093216,1.52467738537182e-42,3.25475059565872e-39,"EMC10",-1.46666456722977,1,1,3,0,0,0,"EMC10"
"5707","ENSG00000137142",-1.12219362172368,8.57938266399159,182.519784512701,1.36543102768996e-41,2.55045448084639e-38,"IGFBPL1",-0.576732031640761,0,1,0,0,0,0,"IGFBPL1"
"14485","ENSG00000282230",0.860797733776241,5.26496566821797,175.020093323296,5.92678012802139e-40,9.84043060589152e-37,"ADAM9",NA,NA,NA,NA,NA,NA,NA,NA
"11287","ENSG00000186063",0.795599564132474,6.3539633521279,172.813748565903,1.79739900314941e-39,2.68585333040617e-36,"AIDA",NA,NA,NA,NA,NA,NA,NA,NA
