"","start","end","seqnames","y"
"1",1,762,"EIF4G2",0
"2",1,11357,"HIPK2",0
"6",1,1583,"ARL6IP1",0
"7",1,6492,"SYNJ2BP",0
"26",1,1602,"DLGAP4",0
