"","gene_id","logFC","logCPM","LR","PValue","FDR","gene_name","transcript","repression","8mer","7mer","6mer","non-canonical","ORF.canonical","ORF.nonCanonical","symbol"
"2191","ENSG00000103005",-2.62054837876,6.42281338949719,1258.52688791825,1.16418778587248e-275,1.72940095591358e-271,"USB1","ENST00000563149",-1.0549500844819,0,2,0,0,0,0,"USB1"
"12604","ENSG00000212907",-0.765313832694892,8.29521231453737,125.919296506462,3.20245505313519e-29,2.37862349071616e-25,"MT-ND4L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12271","ENSG00000198727",-0.844537440367869,11.7237577341584,110.229567307158,8.72750862140363e-26,4.32157135236503e-22,"MT-CYB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12290","ENSG00000198786",-0.812757684223056,10.1428695142454,106.754346693531,5.03916299107386e-25,1.87141915581006e-21,"MT-ND5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060","ENSG00000075785",-0.498930839672935,8.36278584915184,94.4639226787763,2.4960034866839e-22,7.41562635893787e-19,"RAB7A","ENST00000490093",-0.25906805155232,0,0,1,0,0,0,"RAB7A"
"9500","ENSG00000169783",-0.673460799233784,5.77690573291324,86.6861355996355,1.27185317546896e-20,3.14889648693191e-17,"LINGO1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4469","ENSG00000125841",-0.514718232418309,6.56957824775465,79.5846956324274,4.61990288404403e-19,9.80409390606773e-16,"NRSN2","ENST00000608736",-0.677041682153934,1,0,0,0,0,0,"NRSN2"
"11641","ENSG00000188322",-0.639626299075553,6.3690809014332,78.3839896553728,8.4836978089914e-19,1.57531663690709e-15,"SBK1","ENST00000341901",-0.220515485025078,0,1,0,0,0,0,"SBK1"
"6019","ENSG00000139200",-0.646966548509404,4.83229721995003,71.6482330036365,2.57192293726884e-17,4.24510169256985e-14,"PIANP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9734","ENSG00000171450",-0.554855662766538,5.38372215342307,58.2200354479999,2.34379860088958e-14,3.48171282162147e-11,"CDK5R2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2464","ENSG00000105409",-0.512981862523034,7.9893341192018,57.2856573929878,3.76893709753339e-14,5.08977823489623e-11,"ATP1A3","ENST00000441343",-0.41812430020922,0,0,0,0,1,0,"ATP1A3"
"13137","ENSG00000234920",-0.381196990084339,8.665249795109,54.1293277642127,1.87718428027551e-13,2.32379770695772e-10,"ATP6V1G2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9848","ENSG00000172269",-0.450815899381865,5.60949585071125,49.0703928083515,2.46939525590808e-12,2.82175896357804e-09,"DPAGT1","ENST00000392834",-0.200936949632244,0,0,1,0,0,0,"DPAGT1"
"10663","ENSG00000179820",-0.660905912324008,4.665537693577,43.8993771574949,3.45698864357881e-11,3.66811187859737e-08,"MYADM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5055","ENSG00000132128",-0.431866187355727,5.44752821404016,43.3674579420943,4.53670516059573e-11,4.49285034404331e-08,"LRRC41","ENST00000498402",-0.255297994023786,0,0,1,0,0,0,"LRRC41"
"9103","ENSG00000167371",-0.466287277227403,6.01059350554162,42.619851174095,6.6481252175341e-11,6.17236875665431e-08,"PRRT2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2413","ENSG00000105088",-0.462883783550446,5.7286924309044,41.6732771673824,1.07873385322954e-10,9.42623022924988e-08,"OLFM2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3628","ENSG00000116604",-0.701219130610153,3.63792476615888,38.6131631127923,5.16692793817894e-10,4.03972181692885e-07,"MEF2D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5144","ENSG00000132718",-0.342119249095151,8.06928170069216,38.6341398902854,5.1116941396951e-10,4.03972181692885e-07,"SYT11","ENST00000368324",-1.15476422457595,0,1,1,0,0,0,"SYT11"
"3782","ENSG00000118263",-0.393497533897072,5.79665706375959,36.5020405523382,1.52506513510606e-09,1.08662772220669e-06,"KLF7","ENST00000309446",-0.758637655636887,0,1,0,0,2,0,"KLF7"
"13186","ENSG00000236560",-0.347869769125591,7.11790990569437,36.4879521113489,1.53612804889535e-09,1.08662772220669e-06,"PPP1R11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1769","ENSG00000100167",-0.318025841505121,7.78048461237363,36.2583642423851,1.72816713709949e-09,1.16690558280059e-06,"SEPTIN3","ENST00000396425",-0.281091366367456,0,0,1,0,0,0,"SEPTIN3"
"7958","ENSG00000160094",-0.45946173837504,4.28013300554428,34.3733231728817,4.54916039762564e-09,2.93816424811865e-06,"ZNF362",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5737","ENSG00000137103",-0.428130973530053,4.70691543599847,31.7327583634044,1.76912857388851e-08,1.05458832215876e-05,"TMEM8B","ENST00000377991",-1.09111406960679,0,2,1,0,0,0,"TMEM8B"
