"","gene_id","logFC","logCPM","LR","PValue","FDR","gene_name","repression","8mer","7mer","6mer","non-canonical","ORF.canonical","ORF.nonCanonical","symbol"
"9683","ENSG00000171116",7.45414231374999,-2.13851395756051,54.3160034292765,1.70705905188571e-13,2.53583622157622e-09,"HSFX1",NA,NA,NA,NA,NA,NA,NA,NA
"399","ENSG00000034713",0.301676215373986,9.61931205093321,33.2100484229333,8.27219569283764e-09,6.14417335085515e-05,"GABARAPL2",-0.381590883002597,0,0,1,0,0,0,"GABARAPL2"
"13303","ENSG00000241549",-0.623119431664227,2.93831599203066,22.903425262859,1.70348026819067e-06,0.00843506646132412,"GUSBP2",NA,NA,NA,NA,NA,NA,NA,NA
"13439","ENSG00000248710",-11.0354775764851,-1.66658436310181,22.1831120238401,2.4784429776483e-06,0.00920431760824138,"ENSG00000248710",NA,NA,NA,NA,NA,NA,NA,NA
"3404","ENSG00000114737",0.624202578653333,2.47188862196208,20.524284809735,5.88794777629762e-06,0.0136571083456419,"CISH",NA,NA,NA,NA,NA,NA,NA,NA
"3873","ENSG00000119414",0.302540530672972,5.27172902217847,20.2738599371492,6.711125400355e-06,0.0136571083456419,"PPP6C",NA,NA,NA,NA,NA,NA,NA,NA
"8709","ENSG00000165029",0.51304520130181,3.75726790734817,20.4801489362376,6.02529228114917e-06,0.0136571083456419,"ABCA1",-0.53864329998734,0,0,1,0,4,0,"ABCA1"
"12592","ENSG00000206579",0.329116149606875,5.69012818951517,20.098641907985,7.35488837193772e-06,0.0136571083456419,"XKR4",-1.39881902447486,0,2,3,0,1,0,"XKR4"
"8383","ENSG00000163568",1.43065910359097,-0.00941402658741157,18.6975665698169,1.53177846076312e-05,0.025282854482929,"AIM2",NA,NA,NA,NA,NA,NA,NA,NA
"11731","ENSG00000189067",0.484232242621344,4.64891720349118,17.3173253946767,3.16289944636639e-05,0.0469848712757727,"LITAF",-1.07705060757043,1,0,0,0,1,0,"LITAF"
"12691","ENSG00000213999",3.54743096104126,-1.60475756828864,16.9471171972291,3.84356409519057e-05,0.05190558603096,"MEF2B",NA,NA,NA,NA,NA,NA,NA,NA
"6652","ENSG00000144785",-3.21111617200326,-0.0661826649964684,16.3892815228752,5.1576061366134e-05,0.06384686596616,"ENSG00000144785",NA,NA,NA,NA,NA,NA,NA,NA
"10685","ENSG00000179965",-0.328976569436857,4.28609203446495,15.8510786078235,6.8527465853618e-05,0.0783058080965765,"ZNF771",-0.61933395841849,0,1,1,0,0,0,"ZNF771"
"10082","ENSG00000174028",-10.1764758395496,0.941293169529402,15.6886791172692,7.46697618174846e-05,0.0792299508427667,"FAM3C2P",NA,NA,NA,NA,NA,NA,NA,NA
"1441","ENSG00000088881",0.546426934801184,2.98520613626054,15.3536817156789,8.91470396361832e-05,0.0882852849197001,"EBF4",-0.79151350847941,0,1,0,0,2,0,"EBF4"
"4138","ENSG00000122299",0.374563043023762,4.49083647851747,15.0818317491004,0.000102949378223542,0.0955820633444198,"ZC3H7A",-0.210583974755731,0,0,0,0,1,0,"ZC3H7A"
"675","ENSG00000063241",-0.313957388269896,4.83477803704454,14.6974786373099,0.000126215149967754,0.110289767810058,"ISOC2",-0.206432386412297,0,0,1,0,1,0,"ISOC2"
"9075","ENSG00000167165",3.22547834282941,-1.45443615717504,14.5664570787051,0.000135301707235541,0.111661492276887,"UGT1A6",NA,NA,NA,NA,NA,NA,NA,NA
"7768","ENSG00000157837",0.248063447327666,5.63857433840977,14.2130322181384,0.000163236077697215,0.127624838641691,"SPPL3",-0.817862978107037,0,1,1,0,0,0,"SPPL3"
"13649","ENSG00000258790",0.618337634004796,3.40914798078578,14.0054779701712,0.00018227880981351,0.135387585988984,"ENSG00000258790",NA,NA,NA,NA,NA,NA,NA,NA
"7529","ENSG00000154975",0.385689743273349,6.24508366971484,13.7895872230712,0.000204466333405393,0.144635589654148,"CA10",-0.136762754334372,0,0,0,0,1,0,"CA10"
"11314","ENSG00000185483",0.523963482834429,2.87622433505628,13.5895656462798,0.000227446251192094,0.15357791188448,"ROR1",-0.177622570685249,0,0,0,0,2,0,"ROR1"
"586","ENSG00000055813",0.362112504324938,3.64346938030997,13.3387759105887,0.000259973995054407,0.167909291153618,"CCDC85A",-0.0862809653846847,0,0,0,0,1,0,"CCDC85A"
"3308","ENSG00000113594",0.264137741714794,6.71783909476545,13.1647948937188,0.000285258009318366,0.169209938680945,"LIFR",-1.20919231009873,0,0,3,0,1,0,"LIFR"
"4148","ENSG00000122420",0.46256729784731,2.78338204880251,13.0945248743171,0.00029616010809186,0.169209938680945,"PTGFR",-0.879729496428056,0,1,1,0,1,0,"PTGFR"
"6685","ENSG00000145194",-1.18277374529495,0.634698025642172,13.1496506789695,0.000287572851020307,0.169209938680945,"ECE2",NA,NA,NA,NA,NA,NA,NA,NA
"663","ENSG00000062582",0.265428709534133,6.1526695693575,12.8852058442401,0.000331189714935825,0.182215674643395,"MRPS24",NA,NA,NA,NA,NA,NA,NA,NA
"12567","ENSG00000206073",1.55052767964236,-0.0127929105466592,12.5387910557461,0.000398590101203535,0.211466284049232,"SERPINB4",NA,NA,NA,NA,NA,NA,NA,NA
"13137","ENSG00000234920",-0.181824161198278,8.665249795109,12.3814307622511,0.000433624746352354,0.214716520235474,"ATP6V1G2",NA,NA,NA,NA,NA,NA,NA,NA
"14670","ENSG00000285304",-5.9862737718278,-1.66599272624641,12.3849966285572,0.000432797418170595,0.214716520235474,"ENSG00000285304",NA,NA,NA,NA,NA,NA,NA,NA
"6263","ENSG00000141441",0.459631383187975,4.36035806263734,12.2847272003978,0.000456680148735725,0.218838180950619,"GAREM1",-0.903826595963434,0,1,0,0,0,0,"GAREM1"
"4189","ENSG00000122786",-0.313894209695137,4.15505221338495,11.7419248507905,0.000611077915607949,0.281373551550153,"CALD1",NA,NA,NA,NA,NA,NA,NA,NA
"13551","ENSG00000254996",-1.38677955998075,0.829736640411366,11.6998120861534,0.00062506409970751,0.281373551550153,"ANKHD1-EIF4EBP3",NA,NA,NA,NA,NA,NA,NA,NA
"907","ENSG00000070770",0.308437059999662,3.82792722635598,11.3760720647522,0.000743962735249618,0.325046071533326,"CSNK2A2",NA,NA,NA,NA,NA,NA,NA,NA
"3813","ENSG00000118640",0.317365178848097,4.51165058821249,11.2310912488374,0.00080438334998392,0.331919851778087,"VAMP8",NA,NA,NA,NA,NA,NA,NA,NA
"9451","ENSG00000169435",1.76035229260649,-1.05407726424264,11.2463130421427,0.000797813341923498,0.331919851778087,"RASSF6",NA,NA,NA,NA,NA,NA,NA,NA
"315","ENSG00000022267",0.195777211090696,7.71444651407182,10.9725151709161,0.000924731656946158,0.355094555488361,"FHL1",-0.404349537704976,0,0,1,0,0,0,"FHL1"
"697","ENSG00000064489",-4.24057338461649,-1.5776260621506,10.9574948717924,0.000932257668397582,0.355094555488361,"BORCS8-MEF2B",NA,NA,NA,NA,NA,NA,NA,NA
"8684","ENSG00000164929",0.210001704459975,8.05902684067062,11.0115180510644,0.000905474583731204,0.355094555488361,"BAALC",NA,NA,NA,NA,NA,NA,NA,NA
"2143","ENSG00000102554",0.689818388811604,1.63176890491726,10.5844237140776,0.00114044440741242,0.416017087485878,"KLF5",NA,NA,NA,NA,NA,NA,NA,NA
"11900","ENSG00000196656",0.524306016313081,5.79396998123905,10.5718738565577,0.00114821276249889,0.416017087485878,"ENSG00000196656",NA,NA,NA,NA,NA,NA,NA,NA
"7827","ENSG00000158486",-1.12437848127947,0.120037026469853,10.4515241071344,0.00122548297997791,0.422913769959561,"DNAH3",NA,NA,NA,NA,NA,NA,NA,NA
"10426","ENSG00000177425",0.510914273905469,1.83790308934289,10.4712278480508,0.00121248105789863,0.422913769959561,"PAWR",-0.449848480527595,0,0,1,0,1,0,"PAWR"
